month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,130,57~236,轻度污染,99,138,1.293,47,36,18
2014-01,172,97~248,中度污染,131,182,1.594,46,46,27
2014-02,114,26~224,轻度污染,86,118,1.375,34,34,32
2014-03,77,39~143,良,56,89,1.139,39,39,62
2014-04,62,30~90,良,43,69,1.137,26,35,70
2014-05,72,33~137,良,48,85,1.045,21,36,80
2014-06,61,24~145,良,36,58,1.067,13,33,79
2014-07,86,32~172,良,31,62,0.852,17,31,138
2014-08,73,23~136,良,32,59,0.939,16,31,119
2014-09,61,14~100,良,39,67,1.08,14,32,76
2014-10,96,44~213,良,70,104,1.11,18,44,62
2014-11,116,47~194,轻度污染,87,124,1.08,17,42,17
2014-12,126,55~223,轻度污染,96,119,1.384,23,42,17
2015-01,160,50~262,中度污染,123,171,1.49,27,51,22
2015-02,109,28~191,轻度污染,82,115,1.171,18,44,45
2015-03,73,42~115,良,51,86,1.135,18,47,74
2015-04,74,23~130,良,46,80,0.993,16,47,108
2015-05,67,38~94,良,40,73,0.916,13,44,93
2015-06,57,33~104,良,36,60,0.967,9,36,74
2015-07,70,33~107,良,46,78,0.958,13,39,102
2015-08,70,32~126,良,43,69,0.961,12,39,103
2015-09,59,30~102,良,34,54,1.123,12,40,68
2015-10,71,42~112,良,48,77,1.142,16,49,60
2015-11,66,40~100,良,47,70,1.347,17,41,20
2015-12,90,44~182,良,65,89,1.165,23,48,20
2016-01,96,43~202,良,71,91,1.335,20,49,24
2016-02,96,32~205,良,71,90,1.024,15,47,57
2016-03,82,30~148,良,57,85,0.955,18,55,78
2016-04,71,40~122,良,45,67,0.83,12,51,70
2016-05,77,35~141,良,48,78,0.777,10,43,107
2016-06,75,29~158,良,42,63,0.75,9,39,114
2016-07,69,35~140,良,34,58,0.723,11,35,112
2016-08,72,35~116,良,41,64,0.806,11,36,109
2016-09,95,52~186,良,70,93,1,11,49,75
2016-10,61,39~94,良,40,62,0.984,11,43,51
2016-11,78,35~123,良,53,82,1.123,15,52,24
2016-12,100,52~152,轻度污染,74,106,1.232,14,56,24
2017-01,117,42~220,轻度污染,88,121,1.306,16,53,28
2017-02,87,45~164,良,63,89,1.214,13,50,40
2017-03,69,43~113,良,45,75,1.023,15,54,49
2017-04,65,35~97,良,35,64,0.93,13,48,82
2017-05,77,36~145,良,36,65,0.91,12,47,112
2017-06,76,41~131,良,35,58,0.957,10,44,108
2017-07,93,38~193,良,26,52,0.8,11,36,146
2017-08,85,30~163,良,23,45,0.803,10,33,139
2017-09,56,28~100,良,24,43,0.907,9,38,72
2017-10,52,25~111,良,27,43,0.948,9,40,41
2017-11,80,47~132,良,56,88,1.073,13,54,40
2017-12,109,49~202,轻度污染,82,122,1.21,13,58,19
2018-01,79,35~190,良,55,81,1.097,11,49,24
2018-02,78,32~156,良,57,80,0.993,9,41,46
2018-03,59,37~93,良,32,57,0.903,9,45,61
2018-04,62,29~108,良,27,57,0.797,9,41,98
2018-05,67,29~130,良,26,51,0.771,8,40,100
2018-06,69,36~172,良,25,44,0.763,8,38,104
2018-07,70,32~126,良,22,39,0.665,7,29,116
2018-08,93,40~138,良,26,46,0.726,8,35,150
2018-09,54,32~111,良,25,41,0.767,7,36,63
2018-10,61,38~108,良,39,62,0.906,8,46,33
2018-11,67,32~100,良,46,69,0.887,10,45,28
2018-12,73,33~178,良,52,74,0.958,9,41,17
2019-01,100,48~175,轻度污染,74,102,1.135,9,47,26
2019-02,66,28~113,良,48,65,0.9,9,31,52
2019-03,68,37~104,良,46,71,0.806,9,46,70
2019-04,73,34~137,良,30,52,0.783,8,39,114
2019-05,60,30~108,良,32,53,0.787,6,36,91
2019-06,61,33~153,良,24,40,0.83,6,34,98
2019-07,71,32~158,良,21,36,0.761,6,30,118
2019-08,101,35~203,轻度污染,24,44,0.739,8,33,156
2019-09,66,32~128,良,30,49,0.783,7,38,101
2019-10,49,27~95,优,24,38,0.797,6,35,51
2019-11,56,37~84,良,36,57,0.817,7,40,26
2019-12,88,42~149,良,65,92,1.032,9,49,20
