month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,197,40~484,中度污染,158,183,1.44,62,71,54
2014-01,170,73~355,中度污染,133,140,1.29,49,57,56
2014-02,83,29~144,良,62,43,0.836,19,32,51
2014-03,86,34~138,良,64,71,0.868,31,38,87
2014-04,86,41~155,良,64,82,0.833,30,37,97
2014-05,88,42~145,良,58,80,0.887,25,29,128
2014-06,100,36~192,良,53,67,0.87,22,26,144
2014-07,76,24~140,良,40,56,0.823,20,21,123
2014-08,79,30~149,良,45,59,0.871,22,25,128
2014-09,85,26~131,良,54,69,1.293,25,25,123
2014-10,101,70~154,轻度污染,67,98,0.794,30,40,148
2014-11,85,34~125,良,63,98,1.107,34,55,71
2014-12,94,62~134,良,67,121,1.174,53,64,54
2015-01,122,41~285,轻度污染,92,125,1.374,47,66,54
2015-02,77,26~137,良,56,78,1.032,20,40,69
2015-03,70,26~147,良,49,66,1.003,22,46,77
2015-04,81,34~122,良,51,73,0.88,26,44,121
2015-05,89,45~150,良,52,67,0.823,20,37,131
2015-06,65,40~99,良,39,50,0.8,20,26,106
2015-07,69,19~114,良,35,46,0.703,16,16,117
2015-08,76,20~147,良,40,57,0.755,16,23,121
2015-09,89,36~156,良,51,67,0.803,19,32,132
2015-10,85,39~150,良,57,79,0.826,21,42,114
2015-11,74,37~139,良,49,62,1.05,20,50,37
2015-12,111,53~212,轻度污染,81,94,1.123,24,57,36
2016-01,96,55~175,良,68,85,1.074,18,50,39
2016-02,85,38~160,良,62,83,0.786,12,31,75
2016-03,92,37~175,良,68,91,0.913,19,46,85
2016-04,64,38~108,良,41,58,0.957,13,39,80
2016-05,71,36~129,良,42,60,0.9,12,33,102
2016-06,62,22~110,良,34,50,0.75,14,19,105
2016-07,69,33~130,良,30,46,0.629,15,20,119
2016-08,80,30~139,良,30,42,0.603,10,18,133
2016-09,70,19~124,良,36,50,0.67,11,30,106
2016-10,57,32~90,良,35,54,0.813,14,37,67
2016-11,70,31~112,良,47,72,0.957,18,49,58
2016-12,91,44~159,良,65,93,1.029,22,58,57
2017-01,87,39~221,良,62,77,0.942,12,41,51
2017-02,82,28~144,良,60,65,0.85,10,38,69
2017-03,69,37~132,良,46,58,0.835,13,43,81
2017-04,86,33~135,良,41,63,0.85,14,37,136
2017-05,98,35~193,良,34,53,0.729,10,30,154
2017-06,58,36~132,良,26,35,0.803,7,29,101
2017-07,76,30~178,良,25,40,0.629,8,21,128
2017-08,71,32~133,良,23,35,0.648,7,20,124
2017-09,80,35~134,良,28,47,0.76,9,30,129
2017-10,69,37~132,良,34,56,0.71,12,38,111
2017-11,74,35~116,良,48,71,0.937,16,53,71
2017-12,104,49~190,轻度污染,72,94,1.061,21,63,30
2018-01,73,34~128,良,46,65,0.871,15,48,43
2018-02,65,27~119,良,44,61,0.725,10,32,69
2018-03,60,27~91,良,33,53,0.632,11,39,89
2018-04,74,37~133,良,37,69,0.667,12,34,112
2018-05,69,32~121,良,28,46,0.642,9,27,119
2018-06,68,31~134,良,26,42,0.573,9,24,117
2018-07,57,23~152,良,19,33,0.445,7,17,101
2018-08,62,33~114,良,21,33,0.465,8,18,111
2018-09,67,26~145,良,26,43,0.593,9,22,114
2018-10,70,38~122,良,34,54,0.606,10,36,108
2018-11,56,34~84,良,34,52,0.737,8,42,51
2018-12,65,32~114,良,40,60,0.877,8,46,29
2019-01,68,52~107,良,41,64,0.984,8,46,42
2019-02,46,22~120,优,25,36,0.743,5,24,54
2019-03,62,40~97,良,32,54,0.668,9,38,97
2019-04,63,35~92,良,29,49,0.673,8,34,104
2019-05,84,33~147,良,34,57,0.594,7,30,135
2019-06,68,29~130,良,26,43,0.67,6,28,110
2019-07,53,29~93,良,17,32,0.539,5,20,95
2019-08,70,18~137,良,21,40,0.532,5,18,118
2019-09,94,33~170,良,31,56,0.583,7,28,147
2019-10,78,36~118,良,41,74,0.687,8,38,111
2019-11,70,30~103,良,42,81,0.657,8,49,85
2019-12,76,48~119,良,47,76,0.874,10,56,50
2020-01,57,21~93,良,32,46,0.816,7,34,46
2020-02,47,17~71,优,28,41,0.524,4,19,68
2020-03,53,30~89,良,25,46,0.594,6,34,76
2020-04,85,39~125,良,34,63,0.593,7,37,131
2020-05,77,33~131,良,26,49,0.597,5,27,129
2020-06,52,28~114,良,16,31,0.577,5,22,90
2020-07,62,29~117,良,21,39,0.545,5,24,106
2020-08,57,22~127,良,17,34,0.458,5,15,103
2020-09,72,34~157,良,25,43,0.643,6,28,119
2020-10,69,36~130,良,29,57,0.568,7,37,109
2020-11,63,43~110,良,32,61,0.71,8,47,75
2020-12,77,34~123,良,51,80,0.823,9,54,41
2021-01,71,43~115,良,44,81,0.819,10,50,53
2021-02,50,27~99,优,30,50,0.668,7,22,72
2021-03,54,33~92,良,25,46,0.71,6,36,69
2021-04,64,30~120,良,24,46,0.667,7,33,98
2021-05,63,27~122,良,21,42,0.674,5,24,108
2021-06,59,23~130,良,20,36,0.587,4,24,101
2021-07,46,19~89,优,14,28,0.513,4,17,85
2021-08,54,30~102,良,17,33,0.542,4,18,99
2021-09,80,22~152,良,23,45,0.597,5,23,133
2021-10,56,29~95,良,24,47,0.584,6,35,87
2021-11,61,33~85,良,31,61,0.663,9,46,64
2021-12,73,33~129,良,47,77,0.774,10,54,59
2022-01,64,28~120,良,40,65,0.787,9,44,48
2022-02,44,23~117,优,26,36,0.579,6,26,67
2022-03,54,26~85,良,25,44,0.619,7,33,86
2022-04,67,30~118,良,30,54,0.563,9,29,114
2022-05,67,31~112,良,28,45,0.59,10,29,110
2022-06,62,28~140,良,20,33,0.57,6,23,103
2022-07,72,32~111,良,20,38,0.516,8,17,125
2022-08,76,40~121,良,19,33,0.497,7,15,130
2022-09,92,29~177,良,28,51,0.57,12,28,146
2022-10,60,29~124,良,24,46,0.487,10,33,101
2022-11,54,25~75,良,29,49,0.677,6,40,58
2022-12,70,33~162,良,45,48,0.661,6,43,44
2023-01,63,18~99,良,44,56,0.655,5,30,64
2023-02,61,37~128,良,39,40,0.611,6,38,67
2023-03,72,40~99,良,42,68,0.67,9,43,94
2023-04,74,35~171,良,34,70,0.633,8,32,111
2023-05,79,38~136,良,28,52,0.532,6,24,132
2023-06,80,33~175,良,25,44,0.563,6,23,130
2023-07,55,23~111,良,14,31,0.452,4,17,99
2023-08,70,33~115,良,17,34,0.529,4,19,122
2023-09,70,30~110,良,19,36,0.54,4,23,120
2023-10,70,30~110,良,30,51,0.626,5,35,120
2023-11,65,37~80,良,33,68,0.673,7,48,78
2023-12,78,28~213,良,51,81,0.787,5,53,35
2024-01,91,35~202,良,63,95,0.868,4,52,62
2024-02,53,23~114,良,35,48,0.641,3,21,64
2024-03,68,38~109,良,39,66,0.645,4,41,99
2024-04,62,38~110,良,27,45,0.573,3,28,104
2024-05,80,36~142,良,25,44,0.484,4,22,134
2024-06,57,29~106,良,18,30,0.523,3,22,99
2024-07,60,25~96,良,13,27,0.41,3,15,108
2024-08,96,42~178,良,20,35,0.516,3,17,153
2024-09,62,24~124,良,19,34,0.56,2,19,109
2024-10,59,29~114,良,28,47,0.603,3,32,93
2024-11,55,30~92,良,29,51,0.553,4,37,78
2024-12,81,50~139,良,55,85,0.745,5,54,55
2025-01,74,36~120,良,51,86,0.623,5,45,85
2025-02,63,32~139,良,42,61,0.589,5,30,70
2025-03,71,38~135,良,36,59,0.581,5,37,97
2025-04,93,71~123,良,42,79,0.511,7,37,151
