month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,135,135~135,轻度污染,103,161,1.8,72,62,77
2014-01,153,69~284,中度污染,117,159,1.637,47,48,62
2014-02,96,32~251,良,71,91,1.318,25,29,76
2014-03,100,55~173,轻度污染,71,116,1.177,37,41,124
2014-04,93,45~191,良,54,82,1.17,27,36,131
2014-05,126,51~207,轻度污染,64,113,1.284,31,40,182
2014-06,113,33~202,轻度污染,52,81,1.103,21,35,169
2014-07,92,25~149,良,38,60,0.906,17,26,145
2014-08,73,19~167,良,36,59,1.003,22,27,116
2014-09,75,34~151,良,33,55,0.98,29,31,123
2014-10,82,43~124,良,43,73,1.081,30,40,123
2014-11,89,43~217,良,65,92,1.693,27,54,88
2014-12,86,51~136,良,63,95,1.884,39,57,57
2015-01,111,39~201,轻度污染,83,113,2.048,28,57,62
2015-02,90,33~190,良,66,94,1.568,19,48,83
2015-03,81,35~178,良,55,80,1.31,21,51,100
2015-04,97,47~202,良,50,78,1.07,24,50,143
2015-05,101,56~151,轻度污染,47,71,0.926,21,46,157
2015-06,64,21~124,良,45,63,0.847,13,41,61
2015-07,63,21~133,良,38,61,0.671,12,44,77
2015-08,76,28~128,良,36,60,0.732,19,25,123
2015-09,72,42~148,良,36,60,0.913,22,31,119
2015-10,83,36~155,良,57,99,1.01,33,51,76
2015-11,82,37~155,良,57,81,1.163,22,55,43
2015-12,111,52~215,轻度污染,80,110,1.594,30,60,54
2016-01,103,52~178,轻度污染,74,99,0.929,24,60,51
2016-02,96,38~188,良,71,97,1.097,18,41,69
2016-03,86,29~178,良,62,65,1.403,23,44,45
2016-04,55,35~110,良,29,54,1.153,16,31,76
2016-05,72,39~113,良,29,54,0.968,12,30,114
2016-06,60,31~94,良,25,51,0.92,11,11,101
2016-07,56,0~125,良,24,46,0.81,10,12,90
2016-08,68,35~144,良,23,38,0.81,15,13,119
2016-09,66,23~144,良,29,48,1.15,14,17,108
2016-10,45,26~65,优,28,41,1.132,12,21,59
2016-11,75,30~139,良,54,81,1.353,16,28,50
2016-12,99,34~183,良,73,105,1.513,17,47,48
2017-01,92,42~198,良,67,93,1.403,13,39,44
2017-02,93,46~150,良,68,91,1.196,17,39,76
2017-03,73,51~113,良,51,82,1.087,14,43,93
2017-04,90,44~126,良,49,90,0.937,18,38,131
2017-05,88,35~147,良,36,65,0.597,20,32,137
2017-06,80,34~171,良,38,63,0.697,12,26,124
2017-07,50,22~110,良,28,49,0.726,8,21,73
2017-08,49,28~90,优,28,40,0.797,16,18,91
2017-09,58,32~114,良,33,49,0.697,21,24,93
2017-10,53,29~113,良,32,48,0.842,15,28,86
2017-11,59,40~82,良,36,62,1.34,21,38,67
2017-12,104,41~350,轻度污染,75,96,1.365,20,56,30
2018-01,127,38~305,轻度污染,95,117,1.277,17,48,62
2018-02,88,40~213,良,61,101,0.871,16,35,89
2018-03,78,40~122,良,50,84,0.897,20,39,116
2018-04,99,53~155,良,49,107,0.793,21,34,141
2018-05,100,46~181,良,45,91,0.935,15,31,140
2018-06,120,44~201,轻度污染,32,60,0.677,11,22,176
2018-07,90,29~157,良,23,41,0.665,13,20,145
2018-08,93,34~201,良,22,34,0.697,11,19,147
2018-09,83,33~145,良,33,49,0.893,14,35,125
2018-10,81,48~135,良,42,68,0.935,14,42,127
2018-11,78,33~217,良,50,77,1.223,12,53,80
2018-12,75,32~139,良,50,80,1.481,14,49,46
2019-01,101,39~202,轻度污染,73,98,1.681,14,53,54
2019-02,83,39~160,良,60,78,1.574,11,27,86
2019-03,80,40~129,良,55,88,0.968,12,39,103
2019-04,73,33~161,良,38,66,1.053,9,34,112
2019-05,89,36~151,良,36,64,0.784,12,29,139
2019-06,86,30~162,良,30,48,0.983,9,22,139
2019-07,76,23~137,良,27,43,1.077,10,21,128
2019-08,91,25~173,良,25,42,1.194,12,22,144
2019-09,81,30~151,良,26,45,1.173,13,26,134
2019-10,74,34~171,良,41,82,1.055,10,33,102
2019-11,69,21~122,良,41,89,0.997,9,39,73
2019-12,81,38~137,良,58,87,1.165,10,45,50
2020-01,95,29~204,良,70,88,1.11,7,28,49
2020-02,56,23~117,良,38,53,0.924,7,14,72
2020-03,57,29~87,良,33,58,0.794,8,28,83
2020-04,70,36~128,良,37,67,0.863,10,38,111
2020-05,92,40~148,良,33,57,0.968,10,29,146
2020-06,79,32~155,良,23,34,0.953,8,20,131
2020-07,69,26~172,良,23,33,1.026,8,22,116
2020-08,87,36~201,良,22,37,0.8,10,18,142
2020-09,91,37~162,良,27,43,0.813,12,26,147
2020-10,65,35~108,良,29,53,0.665,11,37,106
2020-11,60,26~112,良,34,63,0.813,13,38,75
2020-12,98,28~179,良,72,101,1.016,12,51,53
2021-01,85,58~143,良,57,101,0.961,9,40,58
2021-02,62,33~117,良,40,61,0.846,8,21,83
2021-03,76,34~149,良,45,84,0.939,9,36,90
2021-04,68,29~130,良,32,61,0.793,10,31,106
2021-05,84,34~139,良,29,56,0.79,7,21,134
2021-06,96,35~185,良,24,38,0.65,7,17,152
2021-07,57,0~107,良,17,28,0.568,6,17,101
2021-08,82,41~165,良,24,38,0.694,7,21,137
2021-09,87,32~146,良,25,40,0.707,8,20,143
2021-10,66,32~124,良,31,52,0.674,10,33,106
2021-11,64,33~112,良,38,68,0.77,9,42,82
2021-12,55,0~158,良,40,59,0.523,6,30,41
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
