month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,91,91~91,良,68,120,1.3,45,41,126
2015-01,86,22~172,良,63,95,1.387,22,28,84
2015-02,93,29~195,良,68,95,2.046,18,21,72
2015-03,54,24~91,良,36,58,1.787,15,19,59
2015-04,62,34~115,良,38,65,1.107,17,20,90
2015-05,45,28~63,优,20,43,1,10,16,82
2015-06,37,25~48,优,14,34,0.83,11,13,72
2015-07,48,25~83,优,23,43,1.026,14,14,86
2015-08,51,26~97,良,27,49,1.145,14,16,89
2015-09,44,27~80,优,25,43,1.017,15,17,77
2015-10,69,33~114,良,46,75,1.065,24,24,107
2015-11,53,31~97,良,32,52,1.257,21,21,68
2015-12,58,31~144,良,40,56,1.284,26,24,56
2016-01,64,39~95,良,45,61,1.323,24,26,58
2016-02,84,31~256,良,61,76,1.11,20,23,84
2016-03,69,33~107,良,49,70,1.048,18,28,78
2016-04,59,41~89,良,38,59,1.03,18,21,85
2016-05,48,29~81,优,24,45,0.932,17,15,85
2016-06,38,24~70,优,13,29,0.857,12,12,74
2016-07,34,23~52,优,16,30,0.816,11,11,61
2016-08,45,27~72,优,23,40,0.929,14,13,85
2016-09,60,23~104,良,39,57,1.09,19,17,96
2016-10,61,28~100,良,42,63,0.932,19,20,95
2016-11,52,20~84,良,33,55,0.993,16,23,64
2016-12,82,38~139,良,60,86,1.123,23,32,93
2017-01,89,27~232,良,65,85,1.274,19,25,80
2017-02,76,43~137,良,55,74,1.061,18,23,85
2017-03,56,32~123,良,36,57,1.168,14,22,58
2017-04,57,36~97,良,33,56,0.997,14,22,85
2017-05,52,28~103,良,27,44,0.961,34,18,92
2017-06,35,22~54,优,14,31,0.94,13,14,65
2017-07,38,22~84,优,16,30,0.935,15,12,70
2017-08,39,21~80,优,15,31,0.968,13,13,75
2017-09,47,24~83,优,21,39,1.043,15,17,88
2017-10,65,24~168,良,36,56,1.177,19,18,111
2017-11,69,24~151,良,48,69,1.19,19,23,91
2017-12,85,25~152,良,61,87,1.119,21,27,55
2018-01,74,28~143,良,53,78,1.213,18,27,75
2018-02,77,26~202,良,55,83,1.096,17,22,78
2018-03,58,31~102,良,34,59,1.026,21,22,89
2018-04,48,0~92,优,26,50,0.957,16,19,85
2018-05,36,25~61,优,15,29,0.745,11,11,69
2018-06,42,20~72,优,17,31,0.79,10,11,80
2018-07,29,19~44,优,13,25,0.648,8,12,55
2018-08,41,21~80,优,19,33,0.755,12,15,78
2018-09,47,25~71,优,24,41,0.803,17,16,81
2018-10,62,28~115,良,35,57,0.952,19,20,99
2018-11,60,29~107,良,39,59,0.947,18,23,80
