month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,85,85~85,良,31,119,0.5,22,21,48
2015-01,114,53~240,轻度污染,85,118,1.055,61,43,50
2015-02,98,38~237,良,69,115,0.937,50,36,63
2015-03,80,33~156,良,51,99,0.745,37,33,86
2015-04,95,59~126,良,56,122,0.825,22,33,105
2015-05,88,38~199,良,38,97,0.671,14,28,122
2015-06,80,39~161,良,33,56,0.753,9,25,134
2015-07,61,29~116,良,34,62,0.719,10,18,101
2015-08,49,20~92,优,24,43,0.726,11,22,89
2015-09,65,37~109,良,29,65,0.65,13,29,99
2015-10,90,41~298,良,62,93,0.823,17,35,84
2015-11,137,54~500,轻度污染,114,142,1.243,27,36,59
2015-12,108,49~264,轻度污染,79,113,1.487,42,40,45
2016-01,95,54~138,良,70,101,1.223,43,36,59
2016-02,73,41~138,良,49,77,1.107,35,26,80
2016-03,105,40~394,轻度污染,58,135,0.923,26,30,113
2016-04,87,48~185,良,36,98,0.8,11,25,129
2016-05,98,51~167,良,33,81,0.797,13,26,152
2016-06,94,46~167,良,33,57,0.82,12,28,151
2016-07,76,22~120,良,35,55,0.835,12,23,124
2016-08,53,20~113,良,24,46,0.513,9,19,94
2016-09,55,20~84,良,30,54,0.597,13,23,92
2016-10,77,31~183,良,53,78,0.829,34,34,70
2016-11,97,34~247,良,71,101,0.817,37,40,55
2016-12,122,53~262,轻度污染,90,123,0.99,42,48,43
2017-01,111,45~304,轻度污染,80,107,0.961,33,44,60
2017-02,84,39~208,良,59,83,0.7,29,37,83
2017-03,109,40~194,轻度污染,83,117,0.919,27,41,97
2017-04,80,42~128,良,44,93,0.763,17,32,102
2017-05,103,48~331,轻度污染,29,60,0.619,14,23,134
2017-06,89,41~166,良,33,62,0.743,15,30,140
2017-07,105,41~179,轻度污染,35,58,0.581,10,25,162
2017-08,63,34~136,良,23,43,0.548,9,22,111
2017-09,63,31~100,良,27,52,0.733,12,27,109
2017-10,81,38~177,良,53,85,0.797,17,36,85
2017-11,79,42~257,良,53,86,0.703,22,30,65
2017-12,102,51~211,轻度污染,66,106,0.816,32,41,23
2018-01,83,44~139,良,59,91,0.735,26,35,44
2018-02,86,51~147,良,59,89,0.571,21,26,62
2018-03,84,37~188,良,60,88,0.658,16,29,80
2018-04,61,0~109,良,32,71,0.527,11,25,105
2018-05,68,0~129,良,27,66,0.474,10,24,121
2018-06,87,41~201,良,23,56,0.597,9,25,141
2018-07,55,23~96,良,18,39,0.542,8,19,97
2018-08,49,24~130,优,14,36,0.426,8,19,85
2018-09,45,29~79,优,19,43,0.72,8,23,75
