month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,95,95~95,良,71,139,2,90,28,98
2015-01,80,20~143,良,54,106,1.926,20,31,55
2015-02,75,36~124,良,47,96,0.936,22,17,67
2015-03,58,31~90,良,31,66,0.603,22,13,73
2015-04,60,40~83,良,22,67,0.537,27,9,90
2015-05,61,32~207,良,24,63,0.581,24,16,76
2015-06,40,26~59,优,16,38,0.417,30,17,61
2015-07,50,27~90,良,19,39,0.597,12,14,91
2015-08,45,26~95,优,16,32,0.552,8,16,83
2015-09,55,27~95,良,22,40,0.52,8,18,97
2015-10,64,27~97,良,30,64,0.655,11,22,105
2015-11,42,25~73,优,20,42,1.01,18,18,56
2015-12,56,39~92,良,32,62,1.039,17,21,63
2016-01,63,30~117,良,41,75,1.065,19,17,52
2016-02,53,23~148,良,35,56,0.859,15,15,55
2016-03,61,37~89,良,36,72,0.835,21,25,59
2016-04,48,30~75,优,21,51,0.7,24,16,60
2016-05,57,33~86,良,21,64,0.777,16,12,86
2016-06,54,26~96,良,17,55,0.713,9,10,83
2016-07,48,30~67,优,16,46,0.577,12,12,82
2016-08,52,29~88,良,17,49,0.597,19,13,91
2016-09,64,31~110,良,23,63,0.623,17,16,104
2016-10,48,25~73,优,19,51,1.003,19,15,71
2016-11,56,23~112,良,25,64,1.157,21,23,46
2016-12,73,40~106,良,40,95,1.5,19,32,49
2017-01,82,37~151,良,53,110,1.606,20,22,66
2017-02,60,35~137,良,29,69,1.746,17,23,66
2017-03,55,35~84,良,20,60,0.994,15,29,69
2017-04,61,35~90,良,18,69,0.847,12,30,82
2017-05,64,21~99,良,15,57,0.7,12,24,102
2017-06,44,26~62,优,12,41,0.7,4,23,71
2017-07,54,32~94,良,13,57,0.713,5,15,81
2017-08,50,28~86,良,13,52,0.771,4,12,79
2017-09,55,38~109,良,18,52,0.83,5,16,80
2017-10,44,19~100,优,19,44,0.89,5,16,68
2017-11,65,32~89,良,30,80,1.243,8,27,67
2017-12,76,35~113,良,44,101,1.313,12,30,32
2018-01,57,27~93,良,31,64,1.223,7,19,48
2018-02,80,34~122,良,46,107,1.225,8,20,64
2018-03,53,26~92,良,22,59,0.923,8,21,58
2018-04,56,28~87,良,18,63,0.84,5,18,77
2018-05,54,31~88,良,16,55,0.658,6,15,77
2018-06,47,28~83,优,12,44,0.633,5,15,81
2018-07,43,24~70,优,11,39,0.487,5,10,79
2018-08,52,30~94,良,12,41,0.416,2,9,96
2018-09,45,22~80,优,13,38,0.483,2,14,82
2018-10,52,28~100,良,15,49,0.755,3,25,81
2018-11,47,25~72,优,19,48,1.037,3,26,55
2018-12,62,25~122,良,38,74,1.265,5,23,47
2019-01,99,35~198,良,72,91,1.619,5,26,53
2019-02,61,25~119,良,43,57,1.1,3,12,65
2019-03,53,33~84,良,30,56,0.868,4,31,73
2019-04,49,26~69,优,22,47,0.64,5,23,79
2019-05,53,30~88,良,20,53,0.552,5,25,75
2019-06,45,25~85,优,12,32,0.557,6,18,84
2019-07,42,23~92,优,8,24,0.581,4,17,79
2019-08,61,30~95,良,15,34,0.694,3,18,109
2019-09,67,32~100,良,29,52,0.637,3,19,117
2019-10,50,25~95,优,28,45,0.652,3,16,75
2019-11,59,17~102,良,39,61,0.62,2,21,63
2019-12,78,40~214,良,56,77,0.961,3,27,48
2020-01,56,28~94,良,39,45,1.058,2,13,51
2020-02,57,18~89,良,40,45,0.641,2,8,50
2020-03,51,25~72,良,32,47,0.59,3,14,68
