month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,99,99~99,良,57,148,1.1,85,38,56
2014-01,122,46~240,轻度污染,90,136,1.613,99,44,45
2014-02,133,43~344,轻度污染,99,141,1.496,101,42,64
2014-03,101,50~230,轻度污染,70,123,1.623,75,42,87
2014-04,101,62~174,轻度污染,65,130,1.067,38,42,118
2014-05,95,51~179,良,50,90,0.974,33,41,141
2014-06,87,38~156,良,44,64,0.777,28,33,136
2014-07,90,51~176,良,54,77,0.784,25,30,136
2014-08,82,39~192,良,47,76,0.903,26,31,128
2014-09,65,35~128,良,35,69,0.817,31,41,102
2014-10,114,40~269,轻度污染,82,127,1.374,44,50,81
2014-11,100,38~220,轻度污染,72,114,2.263,106,58,45
2014-12,78,24~202,良,54,86,1.858,115,46,42
2015-01,74,33~129,良,53,79,1.645,117,48,40
2015-02,106,37~224,轻度污染,75,113,1.548,101,41,51
2015-03,99,39~194,良,68,123,1.281,74,47,68
2015-04,88,42~155,良,59,99,1.087,38,41,98
2015-05,92,41~200,良,47,81,0.845,36,35,138
2015-06,93,49~177,良,40,59,0.913,26,27,150
2015-07,84,42~147,良,42,65,0.839,21,24,135
2015-08,87,40~185,良,44,64,0.958,23,28,138
2015-09,73,32~131,良,33,58,0.91,27,34,117
2015-10,82,34~182,良,53,87,1.077,38,38,92
2015-11,127,52~276,轻度污染,91,117,1.273,83,42,63
2015-12,137,55~335,轻度污染,103,131,1.674,112,51,44
2016-01,98,59~285,良,70,100,1.277,102,40,69
2016-02,88,48~260,良,59,90,1.134,85,34,85
2016-03,109,49~248,轻度污染,76,125,1.139,73,48,99
2016-04,99,57~360,良,51,116,0.787,33,38,128
2016-05,108,60~203,轻度污染,40,78,0.806,33,36,167
2016-06,121,75~194,轻度污染,42,57,0.817,24,31,182
2016-07,88,42~152,良,41,55,0.758,17,25,141
2016-08,77,32~134,良,29,46,0.726,19,27,130
2016-09,68,29~125,良,35,52,0.82,22,31,113
2016-10,68,34~188,良,46,64,0.981,37,38,77
2016-11,105,54~235,轻度污染,78,96,1.287,81,45,53
2016-12,127,47~315,轻度污染,94,115,1.7,97,49,50
2017-01,120,53~362,轻度污染,88,114,1.797,101,50,62
2017-02,99,45~269,良,71,93,1.325,67,43,78
2017-03,82,43~187,良,57,87,1.09,60,44,94
2017-04,80,51~132,良,43,91,0.94,33,34,120
2017-05,102,46~202,轻度污染,31,68,0.865,19,28,151
2017-06,104,35~208,轻度污染,37,65,0.997,21,33,163
2017-07,105,59~196,轻度污染,34,60,0.852,14,27,165
2017-08,73,35~139,良,26,48,0.89,18,26,125
2017-09,72,38~126,良,31,65,1.007,31,35,119
2017-10,79,27~213,良,53,78,1.142,33,44,79
2017-11,69,37~138,良,38,71,1.087,59,45,57
2017-12,88,20~186,良,61,88,1.439,87,47,29
2018-01,82,49~142,良,56,83,1.203,74,40,49
2018-02,89,43~155,良,63,89,1.114,62,32,67
2018-03,100,0~237,良,70,90,1.039,49,38,85
2018-04,72,0~136,良,39,81,0.81,25,30,113
2018-05,70,0~138,良,33,67,0.8,24,28,126
2018-06,86,52~169,良,36,57,0.743,23,26,141
2018-07,58,27~110,良,25,44,0.61,13,20,103
2018-08,59,21~112,良,21,44,0.748,17,23,101
2018-09,55,33~107,良,26,51,0.807,19,27,92
2018-10,66,25~153,良,39,68,0.865,20,34,76
2018-11,95,0~249,良,69,102,1.217,47,45,53
2018-12,73,0~152,良,50,81,1.106,53,37,52
2019-01,110,47~381,轻度污染,79,121,1.558,58,48,49
2019-02,81,38~168,良,58,83,1.139,48,39,63
2019-03,102,40~304,轻度污染,68,107,1.074,36,44,79
2019-04,75,43~186,良,38,90,0.783,21,29,105
2019-05,86,43~188,良,38,79,0.706,21,28,135
2019-06,77,42~117,良,33,47,0.693,15,22,131
2019-07,85,47~168,良,32,49,0.787,10,19,140
2019-08,53,24~145,良,19,36,0.681,12,19,96
2019-09,76,34~148,良,38,63,0.9,17,30,119
2019-10,73,26~169,良,46,80,1,20,36,75
2019-11,70,34~153,良,45,78,1.023,38,37,47
2019-12,98,34~261,良,71,100,1.297,53,44,43
2020-01,130,39~500,轻度污染,101,131,1.384,50,45,56
2020-02,83,33~176,良,57,78,1.038,30,26,69
2020-03,67,36~109,良,40,73,0.774,27,29,80
2020-04,77,42~125,良,42,85,0.743,19,29,111
2020-05,67,44~141,良,33,61,0.71,18,26,111
2020-06,80,46~150,良,34,55,0.73,15,26,134
2020-07,84,41~161,良,32,50,0.79,12,20,139
2020-08,65,34~129,良,29,46,0.932,9,18,115
2020-09,53,19~109,良,27,48,0.847,15,26,84
2020-10,78,33~176,良,49,82,1.113,22,39,76
2020-11,76,26~169,良,50,83,1.053,27,38,55
2020-12,92,35~199,良,67,92,1.332,37,42,49
2021-01,102,33~321,轻度污染,73,96,1.394,38,42,55
2021-02,101,34~203,轻度污染,72,94,1.129,30,34,72
2021-03,98,39~203,良,57,78,1,27,38,80
2021-04,69,42~120,良,41,75,0.77,16,30,102
2021-05,69,36~158,良,32,55,0.784,17,27,106
2021-06,61,31~100,良,29,40,0.733,14,22,110
2021-07,52,24~90,良,20,36,0.661,9,14,97
2021-08,60,34~107,良,22,41,0.832,13,17,109
2021-09,54,31~117,良,20,35,0.767,13,22,94
2021-10,62,31~176,良,39,58,0.852,18,32,70
2021-11,77,27~189,良,50,74,1.01,24,35,52
2021-12,62,32~120,良,39,65,0.935,27,35,50
2022-01,78,35~186,良,56,79,1.132,32,38,57
2022-02,68,33~182,良,45,63,0.939,20,28,71
2022-03,67,38~148,良,39,65,0.768,20,28,83
2022-04,73,43~122,良,42,74,0.707,14,22,117
2022-05,76,39~144,良,31,61,0.723,15,23,128
2022-06,61,24~126,良,30,34,0.727,11,18,106
2022-07,55,23~115,良,21,29,0.655,9,14,102
