month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,177,81~262,中度污染,136,143,1.632,54,74,49
2014-01,204,70~356,重度污染,161,129,1.76,45,69,59
2014-02,102,19~222,轻度污染,77,58,1.471,22,34,47
2014-03,88,40~156,良,65,85,1.277,24,41,53
2014-04,84,35~145,良,61,84,1.07,20,40,73
2014-05,92,30~156,良,65,106,0.987,20,34,75
2014-06,98,29~311,良,73,94,0.973,16,29,91
2014-07,69,37~116,良,48,79,0.839,16,30,87
2014-08,69,30~120,良,47,69,0.829,17,27,99
2014-09,72,23~134,良,51,73,0.957,18,31,85
2014-10,129,24~299,轻度污染,99,124,1.071,24,44,96
2014-11,99,41~299,良,74,80,1.097,26,46,51
2014-12,105,62~240,轻度污染,78,91,0.965,34,56,48
2015-01,150,27~257,中度污染,115,104,1.3,34,61,48
2015-02,120,19~217,轻度污染,91,93,1.181,25,42,65
2015-03,75,27~200,良,55,69,1.103,18,38,48
2015-04,70,28~122,良,49,74,0.91,19,37,84
2015-05,84,43~206,良,60,78,0.89,18,28,85
2015-06,51,26~84,良,31,51,0.75,16,24,75
2015-07,64,34~120,良,38,56,0.719,12,25,109
2015-08,76,29~131,良,40,61,0.671,15,24,126
2015-09,86,40~130,良,51,77,0.807,15,29,133
2015-10,97,33~156,良,69,107,0.906,18,47,123
2015-11,63,32~107,良,44,62,1.113,14,41,39
2015-12,106,40~234,轻度污染,77,104,1.039,17,46,34
2016-01,111,57~220,轻度污染,82,101,1.248,18,46,38
2016-02,98,39~262,良,71,102,1.028,21,36,79
2016-03,95,33~175,良,70,103,1.039,19,49,80
2016-04,69,33~105,良,45,70,0.95,14,39,90
2016-05,66,34~113,良,40,66,0.829,14,34,98
2016-06,66,36~125,良,33,53,0.8,15,26,113
2016-07,64,23~156,良,31,56,0.774,15,26,106
2016-08,75,46~128,良,37,64,0.784,14,27,123
2016-09,95,32~163,良,53,84,0.84,17,35,143
2016-10,65,25~130,良,43,61,0.9,12,32,64
2016-11,77,23~145,良,55,82,1.08,14,43,43
2016-12,112,40~212,轻度污染,84,109,1.248,18,61,50
2017-01,129,48~310,轻度污染,99,107,1.342,16,46,53
2017-02,86,31~177,良,64,79,1.064,16,48,75
2017-03,76,32~227,良,49,68,1.006,12,49,63
2017-04,73,35~115,良,41,70,0.94,13,41,113
2017-05,94,44~169,良,38,62,0.903,11,37,136
2017-06,58,31~142,良,25,38,0.883,9,26,98
2017-07,65,23~127,良,26,48,0.739,13,24,113
2017-08,61,35~132,良,24,43,0.729,12,24,110
2017-09,77,31~174,良,35,57,0.833,11,30,122
2017-10,68,22~175,良,46,60,0.8,11,35,90
2017-11,115,43~235,轻度污染,87,96,1.04,15,56,71
2017-12,119,50~225,轻度污染,89,98,1.148,16,61,33
2018-01,104,29~284,轻度污染,77,74,1,11,42,43
2018-02,96,40~214,良,70,85,0.914,11,34,70
2018-03,69,28~132,良,47,62,0.79,11,39,80
2018-04,60,0~112,良,35,59,0.75,11,33,101
2018-05,57,0~107,良,27,44,0.668,8,23,108
2018-06,69,33~145,良,25,39,0.647,7,23,118
2018-07,64,27~92,良,21,36,0.648,8,20,113
2018-08,71,40~126,良,23,39,0.677,7,19,124
2018-09,68,28~105,良,31,51,0.683,9,23,116
2018-10,79,32~147,良,46,64,0.7,10,40,111
2018-11,72,25~211,良,49,56,0.83,9,42,62
2018-12,106,29~320,轻度污染,78,70,0.99,8,40,32
2019-01,130,39~234,轻度污染,98,60,1.213,6,41,40
2019-02,73,21~207,良,53,51,0.975,5,23,46
2019-03,68,33~107,良,48,64,0.9,7,42,76
2019-04,63,27~95,良,38,50,0.843,7,32,93
2019-05,74,38~125,良,36,63,0.742,7,32,113
2019-06,65,30~122,良,23,37,0.737,6,23,113
2019-07,65,36~130,良,21,36,0.697,6,18,116
2019-08,89,39~132,良,28,50,0.752,7,22,145
2019-09,108,50~167,轻度污染,39,66,0.833,9,31,166
2019-10,76,25~157,良,44,62,0.861,8,38,100
2019-11,86,25~195,良,60,76,0.857,9,44,87
2019-12,104,45~246,轻度污染,78,75,1.119,9,51,50
2020-01,77,30~160,良,56,46,1.077,5,28,49
2020-02,60,22~140,良,41,37,0.859,5,17,70
2020-03,60,26~119,良,41,45,0.861,6,26,75
2020-04,83,42~126,良,46,60,0.793,8,37,126
2020-05,76,38~139,良,35,53,0.765,7,28,121
2020-06,47,29~92,优,19,29,0.7,6,19,87
2020-07,57,29~110,良,22,35,0.671,6,19,102
2020-08,67,32~130,良,19,33,0.603,6,18,117
2020-09,56,29~98,良,27,35,0.7,6,24,96
2020-10,73,24~158,良,48,56,0.768,7,29,90
2020-11,69,23~127,良,49,61,0.847,8,35,75
2020-12,123,39~199,轻度污染,92,79,1.042,9,45,46
2021-01,108,52~235,轻度污染,74,80,0.981,8,49,53
2021-02,80,25~216,良,59,57,0.882,6,26,65
2021-03,61,24~115,良,37,42,0.839,8,32,57
2021-04,60,24~85,良,39,38,0.813,6,29,66
2021-05,57,33~122,良,28,42,0.768,7,24,92
2021-06,68,27~124,良,24,40,0.68,7,20,116
2021-07,61,28~120,良,19,35,0.587,7,16,110
2021-08,61,31~133,良,19,35,0.652,6,16,109
2021-09,87,43~135,良,28,49,0.7,7,21,143
2021-10,77,25~189,良,48,51,0.719,7,26,92
2021-11,83,30~201,良,56,70,0.77,8,39,78
2021-12,104,46~218,轻度污染,76,65,0.916,8,46,61
2022-01,104,29~225,轻度污染,78,72,1,6,36,41
2022-02,65,29~147,良,47,52,0.825,6,27,60
2022-03,58,20~110,良,37,52,0.668,7,29,83
2022-04,73,37~120,良,35,50,0.597,7,26,119
2022-05,67,32~119,良,37,42,0.613,5,24,104
2022-06,55,23~111,良,17,23,0.593,5,12,100
2022-07,55,26~100,良,16,21,0.471,5,12,102
2022-08,62,31~113,良,17,28,0.458,6,11,111
2022-09,103,43~139,轻度污染,36,61,0.513,8,19,162
2022-10,73,15~130,良,38,58,0.506,7,22,109
2022-11,61,25~107,良,40,56,0.63,6,28,76
2022-12,81,34~128,良,59,85,0.668,6,37,57
2023-01,114,32~278,轻度污染,85,111,0.781,6,27,78
2023-02,83,23~145,良,60,78,0.696,5,32,55
2023-03,77,24~153,良,46,85,0.632,6,29,85
2023-04,63,24~118,良,28,58,0.603,5,20,105
2023-05,62,33~105,良,28,44,0.581,5,17,109
2023-06,63,29~112,良,19,29,0.57,4,13,113
2023-07,53,40~87,良,14,24,0.506,4,10,101
2023-08,77,36~112,良,22,34,0.603,4,15,130
2023-09,52,21~99,良,19,30,0.637,5,13,94
2023-10,65,20~102,良,36,55,0.657,6,26,103
2023-11,66,28~94,良,41,75,0.7,7,33,72
2023-12,83,22~251,良,60,87,0.745,6,35,31
2024-01,89,28~182,良,66,89,0.845,5,35,55
2024-02,75,18~321,良,55,73,0.686,5,14,70
2024-03,71,32~118,良,43,68,0.719,5,27,86
2024-04,61,41~90,良,34,48,0.74,5,19,96
2024-05,78,28~153,良,29,53,0.626,6,17,126
2024-06,48,27~97,优,15,26,0.593,5,11,91
2024-07,54,26~95,良,13,28,0.481,5,9,101
2024-08,66,40~108,良,19,36,0.548,4,13,118
2024-09,82,33~159,良,30,53,0.627,4,15,135
2024-10,84,27~189,良,49,69,0.661,5,22,109
2024-11,85,21~160,良,60,81,0.637,5,28,97
2024-12,95,53~183,良,70,104,0.739,6,37,67
2025-01,110,23~274,轻度污染,81,123,0.855,6,38,85
2025-02,72,35~118,良,50,72,0.775,4,24,59
2025-03,63,23~104,良,36,60,0.616,5,26,89
2025-04,83,64~111,良,49,88,0.8,8,37,131
