month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,162,66~312,中度污染,122,191,1.563,31,38,22
2014-01,134,51~282,轻度污染,101,158,2.235,34,47,48
2014-02,105,49~245,轻度污染,77,129,1.889,29,41,51
2014-03,95,58~154,良,61,133,2.139,47,42,88
2014-04,90,57~139,良,61,119,2.23,49,34,90
2014-05,83,58~141,良,41,115,1.616,34,32,87
2014-06,76,43~133,良,46,99,2.047,24,30,76
2014-07,72,52~108,良,46,88,1.561,20,30,87
2014-08,70,28~118,良,50,75,1.552,28,32,80
2014-09,66,24~117,良,47,64,1.503,23,28,64
2014-10,107,35~225,轻度污染,79,111,1.942,29,44,76
2014-11,143,45~293,轻度污染,109,171,2.64,57,47,54
2014-12,107,42~234,轻度污染,77,126,2.923,79,52,49
2015-01,121,57~243,轻度污染,91,131,2.939,86,56,53
2015-02,84,54~125,良,59,101,2.443,49,39,90
2015-03,85,58~118,良,52,110,2.074,52,39,120
2015-04,73,45~105,良,38,86,1.41,38,34,108
2015-05,91,55~142,良,56,106,1.174,27,26,131
2015-06,99,42~163,良,57,95,1.81,20,21,150
2015-07,116,78~179,轻度污染,64,91,1.665,27,27,173
2015-08,78,44~129,良,53,80,1.474,33,28,120
2015-09,67,38~104,良,46,73,1.573,25,28,100
2015-10,87,41~172,良,59,102,1.852,37,44,103
2015-11,94,32~200,良,65,106,2.54,62,48,55
2015-12,174,45~349,中度污染,131,191,2.633,133,57,48
2016-01,170,69~343,中度污染,129,177,3.281,164,59,58
2016-02,114,49~320,轻度污染,79,128,2.817,124,40,83
2016-03,122,62~209,轻度污染,84,157,2.458,64,42,114
2016-04,96,49~190,良,58,121,1.727,27,35,134
2016-05,103,57~177,轻度污染,45,93,1.139,23,28,155
2016-06,91,0~154,良,46,72,1.183,16,23,143
2016-07,67,28~114,良,44,62,1.213,9,20,94
2016-08,62,35~80,良,37,57,1.271,10,21,102
2016-09,68,42~99,良,43,78,1.437,19,34,100
2016-10,66,35~102,良,41,72,1.742,25,40,74
2016-11,128,72~273,轻度污染,96,162,2.483,98,61,58
2016-12,162,76~284,中度污染,123,185,3.213,155,75,52
2017-01,150,84~286,轻度污染,87,129,3.081,145,64,63
2017-02,117,70~211,轻度污染,72,114,2.779,122,58,89
2017-03,93,51~162,良,65,112,1.835,63,47,110
2017-04,85,44~143,良,49,101,1.43,26,39,126
2017-05,112,54~214,轻度污染,35,75,0.932,16,33,164
2017-06,128,57~200,轻度污染,48,76,1.287,14,28,190
2017-07,107,44~202,轻度污染,48,75,1.448,10,24,167
2017-08,99,39~156,良,50,77,1.381,12,28,154
2017-09,90,42~123,良,53,99,1.53,16,37,137
2017-10,81,27~164,良,57,93,1.555,11,36,83
2017-11,95,61~165,良,67,123,1.55,33,46,82
2017-12,105,53~213,轻度污染,64,115,1.877,53,51,37
2018-01,113,40~214,轻度污染,82,126,1.671,48,46,58
2018-02,100,50~238,轻度污染,67,112,1.364,42,29,91
2018-03,91,50~159,良,63,107,1.171,13,27,118
2018-04,69,0~131,良,28,68,0.92,12,21,129
2018-05,89,0~135,良,35,76,0.955,14,23,144
2018-06,117,58~166,轻度污染,33,60,1.043,12,23,178
2018-07,83,38~137,良,33,48,0.923,7,14,137
2018-08,86,31~153,良,32,51,1.152,7,14,141
2018-09,65,43~106,良,27,52,1.237,9,23,104
2018-10,72,43~104,良,41,82,1.116,12,35,106
2018-11,77,0~199,良,52,99,1.46,23,44,65
2018-12,87,55~210,良,56,114,1.606,39,46,47
2019-01,133,56~339,轻度污染,100,151,2.187,41,54,58
2019-02,118,55~205,轻度污染,87,124,1.764,26,38,92
2019-03,79,50~140,良,45,95,1,16,38,114
2019-04,80,49~115,良,42,87,1.04,12,31,120
2019-05,100,71~161,良,32,81,0.884,12,25,156
2019-06,125,57~181,轻度污染,32,64,1.01,11,20,187
2019-07,110,46~151,轻度污染,32,56,1.142,10,20,170
2019-08,83,49~138,良,31,52,1.332,10,22,135
2019-09,88,31~150,良,32,57,1.12,11,33,138
2019-10,63,29~127,良,34,66,1.116,11,36,84
2019-11,76,47~132,良,46,91,1.18,15,42,71
2019-12,80,38~160,良,55,87,1.352,21,44,52
2020-01,142,62~239,轻度污染,108,135,1.829,33,48,76
2020-02,72,40~125,良,47,73,1.145,18,28,89
2020-03,70,41~101,良,37,80,0.861,14,30,107
2020-04,78,46~129,良,37,78,0.943,15,30,127
2020-05,90,52~141,良,27,72,0.916,15,26,144
2020-06,108,48~165,轻度污染,38,78,1.177,13,25,167
2020-07,93,58~135,良,37,58,0.965,11,18,150
2020-08,72,35~149,良,25,44,1.006,11,20,121
2020-09,82,49~126,良,34,63,1.077,14,29,135
2020-10,73,40~119,良,48,92,1.297,17,37,87
2020-11,74,30~119,良,50,86,1.18,17,38,65
2020-12,71,37~127,良,46,79,1.242,26,43,53
2021-01,101,39~268,轻度污染,57,89,1.323,26,41,68
2021-02,77,41~144,良,52,78,1.118,19,28,89
2021-03,114,49~500,轻度污染,39,54,0.984,12,27,93
2021-04,81,38~268,良,38,53,0.81,11,22,113
2021-05,95,41~276,良,28,39,0.848,14,19,137
2021-06,99,42~133,良,30,56,1.053,14,19,157
2021-07,71,25~126,良,20,37,0.894,10,14,121
2021-08,83,47~136,良,31,54,1.081,12,18,138
2021-09,64,36~100,良,23,42,1.007,10,19,113
2021-10,58,30~100,良,35,59,1.026,12,28,78
2021-11,75,32~144,良,48,84,1.013,16,35,72
2021-12,68,36~147,良,43,74,1.216,15,37,52
2022-01,103,47~148,轻度污染,76,95,1.432,14,35,66
2022-02,71,38~113,良,49,69,1.032,14,29,87
2022-03,93,46~359,良,35,56,0.994,11,30,98
2022-04,76,46~111,良,28,50,0.82,15,26,122
2022-05,86,42~134,良,25,54,0.697,13,25,137
2022-06,114,70~158,轻度污染,23,50,0.69,12,20,175
2022-07,86,41~132,良,25,42,0.99,10,19,141
2022-08,67,32~97,良,24,40,0.91,9,17,116
2022-09,85,50~134,良,33,60,0.9,12,28,139
2022-10,61,27~94,良,39,60,0.81,10,30,92
2022-11,76,27~137,良,52,69,1.027,10,32,70
2022-12,71,37~152,良,42,81,1.01,18,36,59
2023-01,85,35~178,良,55,92,1.058,18,32,70
2023-02,99,31~188,良,72,85,1.104,11,31,79
2023-03,102,48~500,轻度污染,48,133,0.755,10,28,102
2023-04,89,35~272,良,38,103,0.627,9,20,117
2023-05,79,47~104,良,27,55,0.719,9,17,132
2023-06,108,49~151,轻度污染,23,47,0.743,11,20,168
2023-07,99,38~157,良,20,42,0.787,10,17,157
2023-08,88,42~138,良,25,42,0.961,8,15,145
2023-09,75,38~109,良,29,44,0.907,9,21,128
2023-10,65,40~97,良,38,65,0.894,13,33,112
2023-11,60,32~102,良,31,69,0.763,18,35,71
2023-12,74,29~192,良,47,77,1.016,19,40,39
2024-01,73,34~155,良,51,75,1.058,17,38,66
2024-02,81,35~152,良,55,77,0.928,15,22,91
2024-03,75,44~126,良,41,85,0.719,12,26,107
2024-04,86,54~122,良,37,72,0.683,11,23,141
2024-05,110,79~155,轻度污染,28,62,0.642,10,18,169
2024-06,121,72~157,轻度污染,27,57,0.66,7,18,182
2024-07,85,37~132,良,26,38,0.81,6,13,140
2024-08,82,42~122,良,19,35,0.755,7,12,137
2024-09,69,37~107,良,25,40,0.783,8,14,122
2024-10,72,29~117,良,45,64,0.874,10,26,106
2024-11,68,34~202,良,44,64,0.9,10,27,73
2024-12,62,34~124,良,39,65,0.968,16,33,58
2025-01,71,36~176,良,45,73,0.994,18,30,73
2025-02,69,34~163,良,42,68,0.854,13,23,82
2025-03,81,46~191,良,42,94,0.674,9,22,105
2025-04,70,57~99,良,31,75,0.589,10,21,120
