month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,82,82~82,良,11,114,1.1,21,5,38
2015-01,75,43~144,良,43,101,1.981,96,31,38
2015-02,94,43~287,良,54,127,1.764,74,24,48
2015-03,99,45~176,良,50,144,1.761,57,26,58
2015-04,91,49~178,良,48,129,1.46,37,28,79
2015-05,88,38~190,良,44,118,0.758,33,27,110
2015-06,78,41~122,良,39,70,0.77,29,26,127
2015-07,74,34~127,良,38,76,0.645,31,28,122
2015-08,68,34~129,良,35,58,0.748,30,28,113
2015-09,57,33~115,良,31,53,0.783,33,31,89
2015-10,75,26~179,良,47,81,1.139,29,35,71
2015-11,109,38~268,轻度污染,77,114,1.517,77,34,47
2015-12,104,31~218,轻度污染,74,109,1.713,89,36,39
2016-01,67,38~296,良,42,72,1.642,60,24,43
2016-02,62,37~112,良,35,69,0.962,49,18,62
2016-03,89,33~190,良,54,117,1.613,52,28,78
2016-04,84,48~176,良,43,114,1.853,28,26,96
2016-05,83,44~181,良,37,99,0.971,23,26,125
2016-06,84,45~138,良,39,68,1.59,19,25,134
2016-07,70,33~120,良,36,59,1.087,15,21,113
2016-08,54,31~98,良,28,56,0.89,19,24,93
2016-09,57,17~95,良,33,63,0.84,20,22,82
2016-10,72,22~241,良,47,86,0.845,30,28,66
2016-11,94,30~358,良,67,102,1.013,64,34,51
2016-12,98,31~218,良,67,108,1.355,86,34,52
2017-01,95,39~339,良,61,102,1.245,74,32,70
2017-02,84,40~266,良,57,89,0.921,56,30,88
2017-03,72,43~187,良,46,80,0.765,39,29,106
2017-04,81,52~152,良,33,89,0.63,18,25,117
2017-05,113,36~297,轻度污染,24,59,0.626,11,20,136
2017-06,84,37~177,良,27,61,0.657,13,23,138
2017-07,90,55~161,良,33,63,0.777,11,22,148
2017-08,62,26~112,良,25,48,0.632,12,21,109
2017-09,68,37~107,良,29,65,0.68,19,26,114
2017-10,70,24~185,良,43,72,0.797,23,35,87
2017-11,64,33~122,良,34,70,0.72,34,31,65
2017-12,71,26~148,良,46,74,1.01,50,32,33
2018-01,64,35~142,良,39,69,0.703,40,25,61
2018-02,66,0~139,良,43,64,0.671,42,20,76
2018-03,73,0~186,良,49,66,0.703,38,25,97
2018-04,47,0~172,优,23,49,0.547,22,19,116
2018-05,73,0~147,良,30,66,0.503,20,17,124
2018-06,84,45~159,良,29,47,0.61,15,20,137
2018-07,59,27~114,良,23,34,0.513,7,14,107
2018-08,55,21~134,良,16,33,0.545,14,18,99
2018-09,57,26~110,良,21,44,0.6,17,22,97
2018-10,57,25~156,良,31,58,0.742,16,26,77
2018-11,79,24~196,良,53,91,0.817,42,34,58
2018-12,63,0~115,良,38,71,0.729,46,26,60
2019-01,82,38~308,良,54,95,0.971,53,31,60
2019-02,67,37~133,良,44,69,0.725,42,23,75
2019-03,82,43~284,良,52,88,0.687,34,25,96
2019-04,86,44~500,良,33,116,0.587,15,20,108
2019-05,81,45~174,良,32,77,0.519,14,17,131
2019-06,80,35~128,良,24,44,0.603,13,18,133
2019-07,84,46~137,良,29,47,0.719,10,17,140
2019-08,50,20~120,良,17,31,0.59,8,15,92
2019-09,64,25~132,良,25,53,0.663,16,20,107
2019-10,65,27~132,良,37,72,0.848,19,26,83
2019-11,63,30~144,良,38,69,0.75,26,26,57
2019-12,86,28~206,良,62,83,1.013,35,32,51
2020-01,98,35~416,良,73,94,1.035,42,28,69
2020-02,69,34~160,良,46,63,0.666,24,15,76
2020-03,64,39~115,良,39,66,0.581,17,19,91
2020-04,80,46~185,良,41,86,0.547,17,21,117
2020-05,76,46~163,良,25,68,0.465,15,15,121
2020-06,92,43~190,良,22,50,0.54,16,19,147
2020-07,89,48~152,良,27,49,0.639,12,18,146
2020-08,65,31~110,良,22,39,0.658,12,17,114
2020-09,48,18~126,优,20,38,0.653,16,19,85
2020-10,63,29~140,良,36,69,0.739,20,28,83
2020-11,67,27~185,良,41,73,0.773,29,28,62
2020-12,67,31~166,良,44,72,0.865,33,28,62
2021-01,79,34~256,良,53,85,0.958,33,27,63
2021-02,83,35~262,良,46,74,0.75,28,22,80
2021-03,89,42~188,良,47,81,0.703,25,25,96
2021-04,76,45~174,良,33,64,0.53,18,21,116
2021-05,79,41~175,良,22,55,0.513,16,18,121
2021-06,69,41~137,良,22,46,0.61,16,18,120
2021-07,54,23~84,良,20,36,0.623,8,11,100
2021-08,54,27~109,良,21,39,0.7,11,15,99
2021-09,50,30~92,优,18,38,0.6,14,19,92
2021-10,59,31~149,良,32,62,0.558,16,25,75
2021-11,71,31~166,良,45,74,0.757,20,31,59
2021-12,63,31~129,良,38,70,0.755,27,29,55
2022-01,68,36~130,良,46,74,0.829,24,27,65
2022-02,57,37~132,良,34,56,0.586,17,19,80
2022-03,60,42~113,良,30,66,0.542,17,21,92
2022-04,74,48~128,良,36,82,0.537,16,20,121
2022-05,74,32~144,良,24,63,0.568,17,18,125
2022-06,62,26~99,良,20,36,0.58,12,14,111
2022-07,55,32~102,良,18,33,0.519,12,12,103
2022-08,56,27~95,良,19,39,0.577,12,15,101
2022-09,69,30~130,良,23,54,0.667,12,19,115
2022-10,52,25~109,良,27,57,0.719,13,25,75
2022-11,67,28~133,良,42,76,0.87,18,29,52
2022-12,58,27~105,良,32,69,0.865,17,21,55
2023-01,72,33~140,良,43,88,0.994,18,22,55
2023-02,75,35~156,良,47,82,0.946,17,24,70
2023-03,98,40~210,良,59,131,0.9,18,28,101
2023-04,96,50~485,良,36,123,0.64,14,16,111
2023-05,92,41~318,良,31,89,0.723,16,18,132
2023-06,90,43~162,良,19,40,0.737,16,19,145
2023-07,71,26~160,良,22,41,0.729,10,13,122
2023-08,51,27~86,良,17,36,0.845,10,14,92
2023-09,60,36~106,良,20,46,0.95,15,21,104
2023-10,56,30~105,良,26,64,0.926,13,28,89
2023-11,49,30~90,优,26,51,0.773,17,25,59
2023-12,66,26~144,良,42,72,1.052,20,30,31
2024-01,56,32~130,良,33,59,0.881,15,28,61
2024-02,62,36~125,良,36,64,0.872,15,19,84
2024-03,73,42~216,良,38,87,0.806,16,24,94
2024-04,73,40~173,良,32,76,0.713,15,21,118
2024-05,80,43~133,良,23,60,0.616,14,18,132
2024-06,92,47~187,良,19,45,0.677,12,19,146
2024-07,74,34~131,良,23,42,0.758,8,17,125
2024-08,52,24~77,良,15,33,0.745,8,15,97
2024-09,47,27~101,优,14,33,0.617,14,19,85
2024-10,53,27~96,良,25,51,0.7,15,25,84
2024-11,62,30~148,良,38,66,0.907,19,28,57
2024-12,53,32~87,良,28,60,0.819,13,22,60
2025-01,65,35~125,良,40,71,0.916,16,24,63
2025-02,66,36~207,良,39,71,0.711,15,20,80
2025-03,76,43~185,良,45,81,0.7,18,21,100
2025-04,63,43~80,良,33,59,0.611,12,19,106
