month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,50,50~50,优,18,50,0.3,28,42,80
2015-01,108,35~241,轻度污染,81,107,1.013,40,38,68
2015-02,80,32~178,良,57,79,0.85,33,27,77
2015-03,60,26~126,良,40,57,0.674,23,25,79
2015-04,81,36~146,良,53,82,0.563,32,32,109
2015-05,80,56~125,良,51,74,0.761,22,39,105
2015-06,61,24~102,良,33,54,0.723,27,37,97
2015-07,53,37~76,良,29,49,0.739,13,29,83
2015-08,61,30~94,良,39,68,0.626,18,35,79
2015-09,61,37~97,良,38,62,0.633,21,42,82
2015-10,83,43~149,良,57,77,0.858,28,44,85
2015-11,67,32~120,良,47,56,0.97,32,33,45
2015-12,115,55~262,轻度污染,86,102,1.371,35,46,31
2016-01,112,38~245,轻度污染,83,98,1.187,31,43,30
2016-02,107,35~210,轻度污染,79,99,1.014,34,37,48
2016-03,107,39~229,轻度污染,78,100,0.981,27,50,72
2016-04,85,48~150,良,62,99,0.84,15,38,65
2016-05,80,44~159,良,48,86,0.694,12,31,104
2016-06,62,40~96,良,33,50,0.6,13,29,107
2016-07,52,33~75,良,28,41,0.661,10,30,91
2016-08,72,39~132,良,33,55,0.9,17,32,120
2016-09,101,39~161,轻度污染,52,81,0.827,16,39,145
2016-10,66,43~129,良,43,75,0.71,18,34,60
2016-11,111,40~231,轻度污染,82,129,0.967,21,41,53
2016-12,155,58~240,中度污染,117,164,1.277,22,49,50
2017-01,151,67~326,中度污染,117,161,1.439,20,44,52
2017-02,140,55~219,轻度污染,107,144,1.179,19,45,77
2017-03,104,60~167,轻度污染,79,116,0.829,14,35,89
2017-04,95,43~155,良,62,112,0.797,12,33,111
2017-05,106,48~500,轻度污染,48,86,0.726,10,32,133
2017-06,93,43~134,良,47,86,0.703,10,24,148
2017-07,59,27~117,良,29,60,0.594,9,22,95
2017-08,71,29~116,良,31,60,0.71,9,24,120
2017-09,69,31~128,良,35,68,0.823,10,28,110
2017-10,77,31~160,良,53,95,0.994,12,43,101
2017-11,115,58~248,轻度污染,85,137,1.007,14,53,82
2017-12,148,52~282,轻度污染,106,142,1.171,15,51,37
2018-01,134,52~253,轻度污染,101,124,1.013,12,35,61
2018-02,87,0~170,良,63,95,0.721,10,28,71
2018-03,77,46~166,良,53,81,0.69,7,25,91
2018-04,78,0~140,良,40,93,0.57,7,21,112
2018-05,61,0~113,良,33,55,0.581,7,17,117
2018-06,91,48~145,良,32,57,0.503,7,16,147
2018-07,54,20~90,良,20,42,0.426,7,16,93
2018-08,62,23~100,良,21,50,0.568,7,17,109
2018-09,69,34~117,良,34,72,0.657,9,27,109
2018-10,87,51~153,良,54,96,0.655,10,37,117
2018-11,105,0~292,轻度污染,80,115,0.913,7,36,70
2018-12,110,0~233,轻度污染,81,118,0.926,6,36,42
2019-01,144,64~301,轻度污染,109,148,1.032,7,38,53
2019-02,117,43~192,轻度污染,88,113,0.832,5,25,78
2019-03,92,62~168,良,63,109,0.648,7,36,104
2019-04,75,33~122,良,43,71,0.607,6,28,115
2019-05,88,43~144,良,30,72,0.548,6,29,140
2019-06,104,43~137,轻度污染,18,43,0.593,4,19,162
2019-07,86,50~154,良,15,34,0.49,4,20,142
2019-08,80,20~150,良,15,41,0.545,5,22,133
2019-09,93,51~142,良,30,67,0.59,7,29,150
2019-10,85,32~215,良,50,103,0.677,6,39,104
2019-11,103,43~190,轻度污染,71,128,0.717,7,43,85
2019-12,116,58~178,轻度污染,87,122,0.9,7,44,51
2020-01,144,55~286,轻度污染,109,129,1.055,6,32,59
2020-02,82,35~176,良,60,77,0.634,6,16,80
2020-03,78,39~125,良,52,89,0.584,6,22,91
2020-04,78,54~110,良,40,79,0.517,8,26,125
2020-05,86,36~122,良,28,67,0.49,7,21,138
2020-06,74,27~150,良,17,42,0.42,6,16,123
2020-07,59,26~96,良,21,25,0.51,5,16,108
2020-08,56,28~105,良,17,27,0.523,5,13,103
2020-09,83,43~133,良,31,57,0.63,6,20,138
2020-10,87,46~149,良,59,100,0.697,7,39,94
2020-11,95,35~200,良,68,107,0.733,7,41,69
2020-12,129,46~246,轻度污染,96,135,0.89,10,51,57
2021-01,120,60~273,轻度污染,73,123,0.829,7,38,58
2021-02,83,40~152,良,59,88,0.654,7,20,83
2021-03,96,40~390,良,45,68,0.623,6,26,80
2021-04,75,34~213,良,38,56,0.567,7,25,95
2021-05,78,32~295,良,30,45,0.565,6,17,114
2021-06,95,33~181,良,25,50,0.543,5,17,150
2021-07,52,26~118,良,15,24,0.5,4,12,97
2021-08,62,40~103,良,23,34,0.626,6,14,112
2021-09,72,36~128,良,24,42,0.637,7,14,123
2021-10,72,24~134,良,45,74,0.694,9,31,98
2021-11,94,21~179,良,63,108,0.69,10,36,86
2021-12,99,37~204,良,71,108,0.706,10,38,67
2022-01,136,53~218,轻度污染,102,130,0.884,7,32,67
2022-02,81,39~132,良,59,84,0.554,7,22,87
2022-03,84,29~180,良,34,46,0.584,8,23,96
2022-04,75,40~107,良,34,53,0.5,8,15,125
2022-05,84,48~132,良,27,53,0.51,8,17,137
2022-06,94,32~153,良,18,40,0.47,6,12,151
2022-07,67,38~104,良,13,24,0.465,6,12,118
2022-08,68,25~112,良,16,30,0.523,6,11,120
2022-09,86,45~124,良,26,56,0.567,10,20,140
2022-10,71,22~156,良,41,69,0.539,9,29,111
2022-11,66,27~117,良,46,73,0.66,8,31,74
2022-12,107,53~235,轻度污染,74,122,0.671,8,35,62
2023-01,121,44~263,轻度污染,89,137,0.752,8,31,80
2023-02,81,37~139,良,58,86,0.575,7,28,77
2023-03,110,35~500,轻度污染,59,155,0.571,8,27,108
2023-04,108,34~500,轻度污染,40,124,0.457,7,18,118
2023-05,69,26~109,良,24,50,0.477,7,16,118
2023-06,94,34~162,良,17,39,0.48,7,18,150
2023-07,57,25~117,良,12,23,0.51,5,13,104
2023-08,83,43~124,良,20,35,0.613,6,14,139
2023-09,66,26~123,良,24,36,0.553,7,16,114
2023-10,78,34~140,良,41,68,0.574,8,29,126
2023-11,75,42~125,良,47,88,0.573,8,34,78
2023-12,95,40~251,良,68,102,0.687,6,32,38
2024-01,114,34~210,轻度污染,85,116,0.755,7,34,68
2024-02,88,34~180,良,64,85,0.634,6,18,90
2024-03,83,43~129,良,53,97,0.558,7,23,103
2024-04,78,41~117,良,41,79,0.487,7,20,121
2024-05,103,50~151,轻度污染,34,72,0.435,7,16,158
2024-06,102,36~141,轻度污染,22,46,0.45,6,14,160
2024-07,53,31~95,良,13,23,0.416,4,9,98
2024-08,71,43~100,良,18,34,0.484,6,11,124
2024-09,66,25~123,良,23,41,0.563,7,14,114
2024-10,78,36~168,良,46,71,0.49,7,23,112
2024-11,68,33~135,良,45,69,0.537,7,26,81
2024-12,93,47~165,良,69,101,0.645,8,34,68
2025-01,110,43~259,轻度污染,80,118,0.713,9,31,80
2025-02,87,51~155,良,61,93,0.586,7,21,83
2025-03,83,36~151,良,49,91,0.5,7,19,106
2025-04,80,61~95,良,41,90,0.478,8,19,133
