month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,81,81~81,良,56,113,1.5,14,23,112
2015-01,78,22~148,良,57,83,1.435,10,18,71
2015-02,78,31~146,良,56,75,0.957,7,12,54
2015-03,46,11~77,优,30,47,0.971,6,11,38
2015-04,52,22~85,良,32,55,0.687,5,8,49
2015-05,37,23~51,优,18,37,0.494,4,7,47
2015-06,29,17~41,优,12,29,0.5,6,7,42
2015-07,34,15~59,优,19,34,0.681,6,8,52
2015-08,47,18~117,优,24,41,0.729,5,12,83
2015-09,42,26~70,优,22,39,0.763,5,12,74
2015-10,61,30~100,良,39,65,0.739,5,15,93
2015-11,49,28~95,优,28,49,0.93,5,17,66
2015-12,50,18~114,良,32,53,0.955,5,19,54
2016-01,51,25~83,良,35,52,0.971,5,21,58
2016-02,64,21~145,良,45,64,0.862,5,17,66
2016-03,58,28~88,良,38,62,0.903,6,24,64
2016-04,50,33~74,优,29,52,0.87,8,20,55
2016-05,42,24~79,优,20,43,0.971,13,16,59
2016-06,33,21~46,优,15,29,0.887,13,14,60
2016-07,28,18~44,优,12,24,0.803,8,11,47
2016-08,38,22~73,优,19,30,0.748,7,14,73
2016-09,50,20~95,良,29,43,0.98,9,15,90
2016-10,54,23~86,良,33,49,0.919,11,15,93
2016-11,43,15~75,优,25,41,0.777,12,17,65
2016-12,68,35~97,良,47,69,0.865,16,21,91
2017-01,68,21~145,良,49,64,1.019,14,18,77
2017-02,61,38~109,良,42,54,0.804,13,15,83
2017-03,47,18~83,优,31,48,0.8,10,20,54
2017-04,51,30~103,良,26,42,0.667,10,19,86
2017-05,49,25~110,优,22,36,0.777,10,15,89
2017-06,32,20~48,优,13,26,0.72,9,14,60
2017-07,32,21~70,优,15,26,0.803,11,14,61
2017-08,36,23~75,优,15,30,0.803,11,14,66
2017-09,44,25~75,优,21,36,0.94,12,16,79
2017-10,69,31~185,良,36,53,1.013,13,19,116
2017-11,66,23~140,良,42,60,0.983,13,24,96
2017-12,78,27~139,良,54,71,1.026,14,30,57
2018-01,69,23~142,良,48,65,1.023,12,26,80
2018-02,70,23~208,良,50,70,0.893,11,20,82
2018-03,53,30~93,良,30,51,0.777,12,20,84
2018-04,50,27~94,良,28,53,0.737,11,17,80
2018-05,32,20~61,优,16,27,0.687,10,12,59
2018-06,38,20~69,优,17,30,0.743,9,12,71
2018-07,28,20~46,优,14,24,0.855,9,14,51
2018-08,39,22~74,优,19,30,0.861,9,13,73
2018-09,40,20~77,优,22,36,0.81,8,14,73
2018-10,58,25~106,良,32,51,0.987,9,19,95
2018-11,55,28~95,良,35,52,0.91,9,22,80
2018-12,42,20~83,优,26,38,0.929,8,22,49
2019-01,56,28~113,良,36,54,1.29,8,25,58
2019-02,45,25~103,优,29,45,1.079,7,19,46
2019-03,48,22~89,优,29,47,0.958,6,25,49
2019-04,41,27~54,优,21,41,0.723,5,16,40
2019-05,46,22~95,优,23,44,0.81,6,15,73
2019-06,38,24~75,优,14,30,0.65,5,12,70
2019-07,35,24~53,优,14,30,0.561,6,12,67
2019-08,40,23~76,优,17,31,0.658,8,14,78
2019-09,71,21~134,良,32,53,0.793,9,17,121
2019-10,55,27~94,良,29,50,0.745,9,17,96
2019-11,68,31~121,良,41,71,0.727,10,23,106
2019-12,64,26~98,良,40,71,0.784,10,25,82
2020-01,49,20~75,优,29,48,0.768,7,21,64
2020-02,45,20~89,优,26,40,0.7,7,12,69
2020-03,41,19~82,优,22,40,0.694,7,17,54
2020-04,47,20~75,优,25,48,0.653,9,20,65
2020-05,40,23~73,优,17,37,0.59,7,14,71
2020-06,32,23~39,优,11,30,0.62,6,12,59
2020-07,30,21~47,优,11,27,0.529,8,11,58
2020-08,32,18~71,优,12,26,0.645,8,14,56
2020-09,38,22~101,优,17,33,0.683,8,15,65
2020-10,48,27~87,优,24,45,0.629,9,14,89
2020-11,63,30~95,良,34,65,0.72,11,21,98
2020-12,60,22~100,良,40,63,0.803,10,22,79
2021-01,75,24~113,良,51,88,0.865,13,30,90
2021-02,54,29~80,良,30,51,0.732,9,19,84
2021-03,53,28~116,良,24,49,0.726,9,21,67
2021-04,44,20~67,优,20,44,0.76,9,18,65
2021-05,33,23~49,优,13,30,0.587,9,12,59
2021-06,44,27~101,优,15,33,0.643,8,13,84
2021-07,36,18~87,优,14,28,0.6,9,13,70
2021-08,34,18~85,优,13,28,0.629,10,15,62
2021-09,38,18~82,优,15,32,0.67,10,14,71
2021-10,45,23~79,优,21,35,0.661,9,13,82
2021-11,50,21~90,良,27,48,0.647,9,18,83
2021-12,59,23~83,良,37,62,0.774,9,23,94
2022-01,49,23~118,优,32,47,1.032,8,20,50
2022-02,38,15~108,优,23,26,0.718,7,12,55
2022-03,46,19~70,优,25,46,0.671,11,21,60
2022-04,53,23~102,良,23,47,0.713,12,19,83
2022-05,41,20~79,优,16,33,0.597,8,15,76
2022-06,32,22~41,优,10,26,0.48,7,11,63
2022-07,28,20~40,优,8,22,0.487,8,12,54
2022-08,29,20~41,优,10,22,0.513,9,13,56
2022-09,56,22~112,良,23,43,0.7,10,15,100
2022-10,63,19~113,良,26,50,0.635,11,18,109
2022-11,47,20~86,优,23,45,0.67,11,20,74
2022-12,57,14~83,良,36,64,0.571,12,21,79
2023-01,61,19~207,良,40,60,0.655,10,16,68
2023-02,47,23~76,优,27,48,0.696,7,19,61
2023-03,53,20~95,良,30,57,0.635,8,18,80
2023-04,49,29~71,优,24,50,0.663,8,20,66
2023-05,44,27~68,优,19,40,0.597,7,14,79
2023-06,34,22~60,优,11,25,0.617,4,13,67
2023-07,34,20~70,优,11,25,0.471,5,11,66
2023-08,31,21~63,优,10,23,0.548,6,14,60
2023-09,37,22~65,优,13,29,0.587,6,15,71
2023-10,47,25~82,优,20,37,0.639,5,15,88
2023-11,52,15~90,良,27,54,0.623,7,23,86
2023-12,50,14~86,优,29,54,0.587,8,24,43
2024-01,46,22~74,优,27,46,0.748,6,21,66
2024-02,37,15~82,优,20,33,0.552,5,16,52
2024-03,49,23~84,优,27,47,0.771,7,22,65
2024-04,42,27~55,优,21,40,0.657,5,14,66
2024-05,44,22~96,优,15,32,0.687,6,14,84
2024-06,32,17~55,优,10,24,0.67,7,13,61
2024-07,28,18~78,优,8,21,0.645,7,12,54
2024-08,32,20~67,优,11,24,0.629,8,12,62
2024-09,44,20~74,优,18,33,0.683,8,13,84
2024-10,60,27~86,良,23,46,0.642,8,16,107
2024-11,66,42~93,良,33,56,0.68,8,20,114
2024-12,74,38~121,良,48,74,0.8,10,26,105
2025-01,77,31~142,良,53,83,0.845,10,25,108
2025-02,47,23~89,优,32,43,0.857,6,14,51
2025-03,47,21~86,优,26,45,0.616,7,17,72
2025-04,65,45~88,良,39,64,0.689,5,23,96
