month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,116,49~405,轻度污染,84,109,1.683,132,38,38
2014-01,118,60~210,轻度污染,72,173,1.923,155,44,30
2014-02,205,51~442,重度污染,155,266,2.504,112,54,30
2014-03,127,58~269,轻度污染,80,190,1.542,77,44,42
2014-04,106,67~149,轻度污染,64,154,1.307,29,35,53
2014-05,100,53~178,良,53,149,0.939,30,28,71
2014-06,90,51~170,良,57,123,0.943,31,25,84
2014-07,83,43~147,良,51,109,0.968,39,34,96
2014-08,84,34~140,良,50,113,1.019,56,40,97
2014-09,86,33~148,良,54,116,1.193,63,39,73
2014-10,134,24~380,轻度污染,86,198,1.597,91,51,56
2014-11,120,50~224,轻度污染,80,171,1.71,162,54,40
2014-12,100,60~245,轻度污染,55,145,1.426,178,52,38
2015-01,105,35~204,轻度污染,70,140,1.99,126,55,41
2015-02,93,44~226,良,58,119,1.679,72,43,57
2015-03,103,52~197,轻度污染,58,150,1.684,56,45,63
2015-04,85,38~146,良,44,118,1.263,31,35,72
2015-05,84,53~125,良,43,111,1.023,48,46,105
2015-06,101,45~206,轻度污染,46,103,0.943,32,36,155
2015-07,87,30~134,良,56,102,0.823,27,35,115
2015-08,58,34~85,良,32,66,0.771,24,24,84
2015-09,58,26~97,良,34,65,0.91,30,31,69
2015-10,64,33~112,良,33,76,1.026,42,41,58
2015-11,101,41~283,轻度污染,73,113,1.803,99,47,26
2015-12,142,48~300,轻度污染,100,198,1.774,125,45,34
2016-01,123,61~288,轻度污染,85,155,1.79,113,48,41
2016-02,90,35~283,良,51,113,1.348,88,38,69
2016-03,113,64~200,轻度污染,65,173,1.319,94,60,103
2016-04,92,47~131,良,44,123,1.113,42,44,122
2016-05,107,51~169,轻度污染,49,131,1.168,46,43,151
2016-06,100,61~154,轻度污染,42,100,1.207,34,37,154
2016-07,101,44~142,轻度污染,66,125,1.332,24,32,138
2016-08,82,42~128,良,47,94,1.465,22,31,121
2016-09,76,39~118,良,35,88,1.553,34,45,109
2016-10,80,37~175,良,52,99,1.632,35,41,62
2016-11,133,44~266,轻度污染,96,182,1.863,88,62,60
2016-12,136,58~243,轻度污染,100,155,2.168,118,70,51
2017-01,150,51~322,中度污染,78,116,2.216,115,67,64
2017-02,118,49~250,轻度污染,69,118,1.85,91,56,96
2017-03,98,56~185,良,65,124,1.287,56,49,120
2017-04,96,52~232,良,53,129,0.977,43,46,132
2017-05,135,75~357,轻度污染,41,108,1.113,22,42,181
2017-06,115,50~187,轻度污染,49,101,1.123,22,47,174
2017-07,119,49~202,轻度污染,51,96,1.348,20,35,176
2017-08,91,40~164,良,47,87,1.3,21,37,138
2017-09,103,66~151,轻度污染,65,137,1.5,37,47,138
2017-10,87,30~170,良,63,98,1.294,29,44,72
2017-11,88,55~147,良,60,117,1.31,56,53,67
2017-12,99,45~192,良,61,108,1.497,85,58,32
2018-01,105,38~217,轻度污染,75,121,1.481,62,53,47
2018-02,103,0~261,轻度污染,72,118,1.439,60,41,79
2018-03,93,0~210,良,66,114,1.335,34,46,99
2018-04,82,0~153,良,48,107,0.907,23,40,116
2018-05,99,0~168,良,43,97,0.874,19,36,151
2018-06,109,48~181,轻度污染,32,69,0.89,18,36,168
2018-07,92,29~158,良,40,63,1.042,11,23,145
2018-08,75,36~134,良,33,56,0.99,12,24,127
2018-09,57,39~94,良,29,55,0.817,16,35,86
2018-10,76,45~160,良,46,90,0.894,20,46,88
2018-11,94,0~232,良,69,115,1.363,37,58,53
2018-12,89,0~208,良,60,113,1.239,42,53,46
2019-01,136,59~251,轻度污染,101,157,1.877,65,65,45
2019-02,122,49~226,轻度污染,90,127,1.282,35,43,75
2019-03,84,46~251,良,53,96,0.916,23,41,102
2019-04,80,35~144,良,47,92,0.86,16,36,114
2019-05,95,57~186,良,32,77,0.729,17,37,148
2019-06,123,63~201,轻度污染,37,65,0.833,17,34,183
2019-07,110,47~168,轻度污染,36,57,0.916,14,31,169
2019-08,80,47~152,良,29,49,0.861,11,30,133
2019-09,83,29~150,良,32,59,0.843,11,40,132
2019-10,76,32~134,良,44,79,0.919,13,39,80
2019-11,89,42~217,良,57,104,1.163,22,51,49
2019-12,82,36~149,良,55,94,1.223,30,52,45
2020-01,126,54~219,轻度污染,94,125,1.71,37,56,59
2020-02,82,40~160,良,58,84,1.103,20,35,76
2020-03,74,41~169,良,45,88,0.884,17,41,93
2020-04,78,45~136,良,34,77,0.7,15,40,122
2020-05,89,37~176,良,32,72,0.742,15,37,138
2020-06,124,66~186,轻度污染,36,72,0.847,17,37,185
2020-07,97,59~150,良,40,59,0.945,11,30,153
2020-08,76,40~130,良,30,46,0.852,12,27,129
2020-09,69,43~125,良,28,50,0.8,13,38,116
2020-10,73,35~117,良,45,88,1.032,23,49,84
2020-11,90,37~230,良,60,104,1.173,27,53,56
2020-12,76,44~180,良,49,82,1.035,33,50,53
2021-01,124,43~500,轻度污染,48,79,0.981,26,40,61
2021-02,92,46~198,良,60,100,1.004,26,41,86
2021-03,147,43~500,轻度污染,56,81,1.123,19,42,82
2021-04,78,43~154,良,38,61,0.743,14,35,112
2021-05,100,38~393,良,31,49,0.697,13,30,138
2021-06,103,50~157,轻度污染,36,60,0.91,13,32,161
2021-07,86,37~156,良,29,46,0.903,11,23,140
2021-08,87,40~126,良,36,58,1.006,17,28,143
2021-09,66,34~124,良,30,50,0.923,13,30,113
2021-10,58,27~93,良,35,61,0.861,18,40,74
2021-11,75,33~149,良,49,89,0.927,24,44,63
2021-12,69,41~118,良,42,75,0.916,30,46,53
2022-01,114,49~201,轻度污染,83,109,1.284,24,51,48
2022-02,66,40~123,良,41,62,0.814,17,39,77
2022-03,111,43~344,轻度污染,53,85,0.884,17,43,87
2022-04,80,45~131,良,31,62,0.727,19,38,120
2022-05,79,38~128,良,28,64,0.681,17,39,128
2022-06,129,67~204,轻度污染,32,73,0.823,15,34,191
2022-07,85,45~167,良,23,52,0.89,15,28,140
2022-08,65,30~115,良,23,48,0.994,13,26,114
2022-09,82,39~116,良,31,68,0.857,23,43,133
2022-10,68,29~107,良,41,79,0.842,16,44,76
2022-11,89,33~186,良,60,101,1.02,15,43,62
2022-12,70,41~148,良,36,88,0.923,24,43,55
2023-01,85,34~153,良,50,108,1,25,42,62
2023-02,108,45~180,轻度污染,76,119,1.175,20,47,66
2023-03,125,55~500,轻度污染,55,171,0.827,18,43,95
2023-04,102,40~500,轻度污染,45,132,0.69,11,34,111
2023-05,81,41~108,良,30,69,0.755,13,31,134
2023-06,108,55~186,轻度污染,24,52,0.727,14,34,167
2023-07,103,20~187,轻度污染,22,47,0.777,13,24,160
2023-08,83,47~130,良,26,50,0.816,12,24,138
2023-09,78,43~115,良,34,62,0.953,14,32,126
2023-10,68,45~92,良,37,78,0.829,17,50,102
2023-11,69,46~105,良,35,88,0.817,16,42,67
2023-12,83,31~218,良,51,102,0.965,22,42,36
2024-01,84,34~178,良,56,98,1.065,20,50,60
2024-02,94,40~143,良,66,107,0.941,15,34,85
2024-03,82,43~134,良,40,110,0.729,12,38,101
2024-04,86,55~155,良,43,103,0.76,13,35,131
2024-05,101,34~162,轻度污染,29,71,0.703,12,29,156
2024-06,119,58~173,轻度污染,29,71,0.717,13,31,176
2024-07,95,51~130,良,33,54,0.939,8,20,151
2024-08,80,48~118,良,21,40,0.868,9,20,135
2024-09,72,33~119,良,34,60,0.823,9,22,112
2024-10,77,32~183,良,48,86,0.839,9,37,94
2024-11,83,44~243,良,54,89,0.913,10,38,63
2024-12,61,39~115,良,32,71,0.819,14,40,59
2025-01,69,34~158,良,41,79,0.832,16,35,69
2025-02,69,35~137,良,39,81,0.764,13,31,79
2025-03,94,47~310,良,45,124,0.69,11,31,100
2025-04,83,49~194,良,32,107,0.656,11,30,110
