month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,81,81~81,良,34,112,0.9,54,62,46
2015-01,81,52~102,良,39,111,1.177,36,46,44
2015-02,76,39~137,良,36,105,0.583,28,23,53
2015-03,254,121~461,重度污染,105,364,0.781,24,34,139
2015-04,220,94~384,重度污染,146,272,0.708,15,23,104
2015-05,148,54~500,轻度污染,77,197,0.452,12,16,73
2015-06,120,57~473,轻度污染,51,169,0.397,9,17,99
2015-07,134,72~228,轻度污染,69,210,0.542,8,22,151
2015-08,162,53~500,中度污染,75,211,1.094,7,24,128
2015-09,84,52~141,良,37,101,0.842,5,24,115
2015-10,115,63~233,轻度污染,71,162,0.833,15,46,100
2015-11,112,77~149,轻度污染,80,143,1.71,31,54,89
2015-12,112,46~172,轻度污染,84,105,2.052,38,58,71
2016-01,126,95~195,轻度污染,88,143,2.226,34,56,73
2016-02,171,66~500,中度污染,96,256,2.09,23,40,80
2016-03,257,70~500,重度污染,139,686,1.381,16,37,98
2016-04,140,84~498,轻度污染,68,202,0.62,9,29,142
2016-05,229,94~500,重度污染,134,316,0.439,7,26,153
2016-06,132,84~295,轻度污染,75,175,0.36,7,31,171
2016-07,104,70~185,轻度污染,66,137,0.335,6,23,129
2016-08,93,65~142,良,63,112,0.397,4,24,118
2016-09,93,59~325,良,41,130,0.377,4,23,102
2016-10,153,52~500,中度污染,69,240,0.661,9,37,83
2016-11,161,109~255,中度污染,105,261,1.62,23,55,57
2016-12,192,99~298,中度污染,148,247,2.481,23,57,39
2017-01,146,107~204,轻度污染,111,168,2.465,24,48,54
2017-02,188,53~500,中度污染,43,90,1.814,19,37,71
2017-03,221,67~500,重度污染,7,19,1.161,14,33,98
2017-04,140,66~500,轻度污染,17,52,0.613,8,21,122
2017-05,141,61~500,轻度污染,21,46,0.684,8,23,132
2017-06,84,61~117,良,31,80,0.597,7,18,131
2017-07,83,60~112,良,30,91,0.681,6,18,134
2017-08,76,50~114,良,28,77,0.881,4,20,125
2017-09,103,61~297,轻度污染,27,85,0.953,6,31,113
2017-10,153,82~325,中度污染,17,54,0.958,8,35,76
2017-11,123,76~182,轻度污染,47,109,1.617,14,55,61
2017-12,143,65~418,轻度污染,84,165,2.535,17,56,31
2018-01,98,0~155,良,56,155,1.719,12,40,61
2018-02,93,0~134,良,51,141,1.311,10,28,80
2018-03,7,0~120,优,3,12,0.971,9,31,87
2018-04,31,0~137,优,15,45,0.53,6,22,102
2018-05,32,0~111,优,14,38,0.41,5,17,114
2018-06,55,0~87,良,19,43,0.393,5,13,122
2018-07,63,0~92,良,25,56,0.374,5,15,128
2018-08,62,0~91,良,29,63,0.539,6,17,107
2018-09,55,0~109,良,26,75,0.463,6,23,86
2018-10,81,0~125,良,37,117,0.739,7,36,81
2018-11,98,0~235,良,67,140,1.22,9,40,60
2018-12,11,0~123,优,4,17,1.306,10,41,54
2019-01,143,89~436,轻度污染,88,215,1.535,9,41,50
2019-02,200,134~402,中度污染,73,318,1.025,10,31,77
2019-03,182,76~500,中度污染,90,341,0.723,7,32,99
2019-04,137,54~500,轻度污染,61,211,0.537,6,22,106
2019-05,127,52~500,轻度污染,55,165,0.587,6,21,115
2019-06,72,49~94,良,16,44,0.567,6,18,126
2019-07,85,61~154,良,26,93,0.484,6,24,123
2019-08,85,46~266,良,26,98,0.542,5,20,114
2019-09,64,46~132,良,20,67,0.71,7,27,103
2019-10,119,45~394,轻度污染,42,174,0.732,7,32,80
2019-11,159,67~500,中度污染,69,235,1.193,10,47,67
2019-12,114,65~149,轻度污染,82,163,1.674,12,56,57
2020-01,84,51~144,良,62,102,1.087,11,41,61
2020-02,138,59~389,轻度污染,58,206,1.124,10,22,91
2020-03,316,92~500,严重污染,116,512,0.674,7,25,94
2020-04,193,51~500,中度污染,111,455,0.58,6,31,95
2020-05,161,59~500,中度污染,79,254,0.555,6,21,108
2020-06,85,52~199,良,26,98,0.5,5,19,122
2020-07,73,44~100,良,20,60,0.452,6,17,123
2020-08,77,52~416,良,32,85,0.474,6,13,104
2020-09,117,44~500,轻度污染,50,174,0.58,6,26,87
2020-10,120,69~383,轻度污染,61,183,0.745,7,37,74
2020-11,91,68~121,良,51,131,1.047,9,44,67
2020-12,90,54~166,良,59,113,1.2,8,41,52
2021-01,109,63~186,轻度污染,30,62,1.077,10,44,65
2021-02,141,79~500,轻度污染,32,73,0.95,11,38,85
2021-03,228,49~500,重度污染,4,11,0.719,5,30,86
2021-04,112,39~500,轻度污染,16,46,0.353,5,23,102
2021-05,103,47~343,轻度污染,12,35,0.371,5,23,110
2021-06,72,51~95,良,19,46,0.247,5,14,122
2021-07,69,48~99,良,18,50,0.365,5,17,121
2021-08,69,51~99,良,19,55,0.426,6,19,116
2021-09,80,46~226,良,22,74,0.6,6,26,100
2021-10,114,38~500,轻度污染,33,103,0.584,6,28,71
2021-11,165,68~500,中度污染,90,309,1.123,8,39,61
2021-12,107,73~147,轻度污染,78,145,1.729,9,52,60
