month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,42,42~42,优,15,30,2,30,28,83
2015-01,43,32~66,优,20,30,2.01,54,27,73
2015-02,46,37~53,优,16,28,1.293,33,17,90
2015-03,49,38~86,优,13,23,0.906,24,11,94
2015-04,52,40~73,良,12,30,0.743,11,7,100
2015-05,44,35~55,优,9,28,1.19,9,6,87
2015-06,60,44~75,良,9,27,0.883,13,7,111
2015-07,65,45~93,良,11,30,0.91,12,10,118
2015-08,57,39~76,良,11,37,0.684,15,16,105
2015-09,48,26~67,优,9,25,1.473,6,15,75
2015-10,36,25~44,优,12,25,0.858,6,21,66
2015-11,35,22~64,优,13,17,1.04,12,18,58
2015-12,50,22~73,良,20,21,1.297,25,39,52
2016-01,53,34~90,良,23,24,1.332,29,42,56
2016-02,48,33~78,优,20,27,0.962,28,36,60
2016-03,41,28~59,优,13,20,0.8,13,24,73
2016-04,52,39~92,良,7,15,0.453,5,13,99
2016-05,52,38~72,良,8,19,0.345,3,13,100
2016-06,53,41~76,良,8,15,0.47,8,12,101
2016-07,49,36~56,优,8,15,0.571,4,10,96
2016-08,50,31~67,优,8,27,0.568,5,9,96
2016-09,12,0~55,优,3,11,0.12,2,5,23
2016-10,24,0~51,优,8,17,0.5,7,14,40
2016-11,39,19~70,优,21,27,1.083,23,26,46
2016-12,53,30~82,良,25,29,1.371,34,39,56
2017-01,53,30~97,良,28,28,1.597,51,39,58
2017-02,45,32~67,优,21,28,1.504,35,33,69
2017-03,53,38~80,良,28,40,1.029,26,27,87
2017-04,49,26~81,优,9,21,0.527,6,6,96
2017-05,60,37~98,良,10,35,0.603,5,8,107
2017-06,55,40~65,良,8,21,0.487,3,11,106
2017-07,52,39~79,良,8,19,0.384,4,6,102
2017-08,47,30~62,优,8,20,0.484,4,12,93
2017-09,35,23~48,优,8,22,0.55,3,13,70
2017-10,40,0~54,优,8,20,0.439,3,14,80
2017-11,40,32~50,优,14,21,0.643,6,23,75
2017-12,48,20~84,优,20,29,0.881,12,32,58
2018-01,45,33~63,优,24,26,0.797,17,32,65
2018-02,41,0~57,优,14,17,0.5,19,26,83
2018-03,51,0~70,良,7,13,0.51,7,13,100
2018-04,56,0~77,良,5,14,0.48,3,6,105
2018-05,54,0~79,良,5,18,0.59,2,6,101
2018-06,55,44~79,良,5,18,0.473,5,7,105
2018-07,48,35~67,优,4,13,0.506,7,9,93
2018-08,11,0~49,优,4,6,0.387,5,2,69
2018-09,30,0~42,优,5,14,0.72,6,9,64
2018-10,25,0~44,优,6,18,0.719,8,11,51
2018-11,25,0~40,优,8,15,0.887,9,16,43
2018-12,24,0~43,优,12,16,0.981,12,14,41
2019-01,42,22~133,优,14,18,1.016,38,16,56
2019-02,36,24~121,优,11,16,0.725,13,11,63
2019-03,39,30~60,优,12,21,0.539,4,26,67
2019-04,51,17~78,良,5,14,0.353,3,12,93
2019-05,67,45~88,良,6,14,0.332,3,9,119
2019-06,71,45~131,良,5,10,0.27,3,8,125
2019-07,67,40~99,良,7,14,0.445,6,10,119
2019-08,51,36~64,良,6,14,0.345,4,12,98
2019-09,41,23~113,优,7,17,0.45,3,13,80
2019-10,35,25~46,优,8,19,0.616,3,16,67
2019-11,36,17~62,优,9,15,0.457,8,19,62
2019-12,36,22~57,优,13,15,0.684,7,27,43
2020-01,43,32~65,优,16,15,0.81,9,30,62
2020-02,35,28~45,优,9,11,0.517,8,12,69
2020-03,37,26~46,优,8,10,0.41,6,11,73
2020-04,54,34~85,良,8,26,0.347,2,8,100
2020-05,52,36~105,良,9,26,0.423,3,8,97
2020-06,50,29~67,良,7,13,0.307,2,8,97
2020-07,49,41~65,优,7,10,0.442,2,9,97
2020-08,44,31~56,优,7,8,0.555,2,6,88
2020-09,37,20~51,优,7,16,0.53,2,16,73
2020-10,28,15~39,优,8,16,0.545,2,15,55
2020-11,27,15~42,优,10,14,0.49,3,19,36
2020-12,37,20~72,优,19,18,0.571,5,25,39
2021-01,38,24~72,优,19,16,0.568,5,23,54
2021-02,34,27~46,优,13,11,0.532,5,17,65
2021-03,35,27~55,优,11,12,0.455,3,12,67
2021-04,38,18~46,优,8,13,0.54,1,7,76
2021-05,48,39~59,优,9,22,0.297,1,6,94
2021-06,47,29~60,优,6,13,0.257,1,8,92
2021-07,56,41~75,良,7,15,0.39,2,9,105
2021-08,49,36~67,优,8,16,0.439,3,11,96
2021-09,42,29~52,优,9,28,0.4,4,14,81
2021-10,38,25~55,优,8,25,0.4,4,14,72
2021-11,36,25~44,优,8,11,0.417,4,18,70
2021-12,41,32~74,优,12,13,0.494,6,28,66
2022-01,39,32~64,优,14,10,0.494,5,24,70
2022-02,49,38~75,优,11,22,0.361,4,16,93
2022-03,46,0~63,优,6,14,0.287,3,8,93
2022-04,54,37~104,良,9,32,0.293,2,11,98
2022-05,56,38~97,良,10,52,0.284,2,11,96
2022-06,52,33~67,良,7,33,0.317,2,10,100
2022-07,55,41~67,良,6,24,0.371,3,9,105
2022-08,50,34~87,良,6,37,0.419,3,9,93
2022-09,53,29~80,良,8,56,0.387,3,17,85
2022-10,39,24~53,优,7,28,0.268,3,9,73
2022-11,41,28~52,优,7,16,0.453,3,8,80
