month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,117,117~117,轻度污染,89,155,2,70,64,78
2015-01,97,49~209,良,72,107,1.429,37,36,62
2015-02,81,41~146,良,56,98,0.929,25,23,83
2015-03,74,40~275,良,48,85,0.739,15,23,94
2015-04,69,44~118,良,34,60,0.57,10,19,119
2015-05,70,47~124,良,34,62,0.529,12,18,119
2015-06,69,50~105,良,24,77,0.68,13,21,108
2015-07,70,50~157,良,27,53,0.574,17,18,119
2015-08,53,38~98,良,28,49,0.542,13,19,93
2015-09,48,32~63,优,30,44,0.75,13,22,73
2015-10,58,32~110,良,36,57,0.683,24,25,68
2015-11,48,32~68,优,21,45,1.057,26,34,41
2015-12,62,32~109,良,38,69,1.426,43,41,42
2016-01,66,32~100,良,45,68,1.271,43,42,49
2016-02,79,34~161,良,48,98,0.931,40,30,63
2016-03,65,32~158,良,37,77,0.71,25,27,75
2016-04,46,29~63,优,22,41,0.61,27,22,82
2016-05,54,34~111,良,31,57,0.613,23,18,85
2016-06,52,35~78,良,26,43,0.603,23,20,92
2016-07,49,0~74,优,22,29,0.713,19,16,93
2016-08,58,41~82,良,26,30,0.8,19,11,108
2016-09,60,32~205,良,31,42,0.85,20,18,101
2016-10,46,0~100,优,23,41,1.052,18,25,61
2016-11,73,45~107,良,45,94,1.407,35,36,56
2016-12,92,52~128,良,67,113,1.913,46,52,42
2017-01,92,42~272,良,52,85,1.645,36,41,48
2017-02,63,37~101,良,40,72,1.361,25,30,52
2017-03,53,32~81,良,28,60,1.161,18,29,55
2017-04,58,29~158,良,23,54,0.873,18,21,74
2017-05,75,38~120,良,24,52,0.752,17,17,124
2017-06,58,36~74,良,20,36,0.827,18,15,108
2017-07,58,30~90,良,18,28,0.51,13,12,105
2017-08,47,29~66,优,15,27,0.423,10,14,87
2017-09,40,29~60,优,18,36,0.517,11,20,71
2017-10,36,22~57,优,16,35,0.584,9,22,46
2017-11,65,52~81,良,36,81,1.05,26,34,56
2017-12,108,57~375,轻度污染,59,101,1.794,39,54,28
2018-01,67,0~120,良,47,80,1.184,20,37,58
2018-02,53,0~119,良,36,69,0.704,14,25,73
2018-03,54,0~89,良,27,57,0.465,10,23,91
2018-04,53,0~107,良,22,52,0.423,14,21,98
2018-05,50,0~87,良,20,35,0.506,10,17,99
2018-06,45,0~75,优,18,27,0.463,12,15,94
