month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,115,115~115,轻度污染,77,180,2.5,37,33,64
2015-01,169,68~293,中度污染,129,194,3.465,33,42,59
2015-02,145,73~203,轻度污染,109,171,2.186,20,25,69
2015-03,101,55~224,轻度污染,73,128,2.106,18,22,85
2015-04,84,44~128,良,58,109,1.373,13,22,101
2015-05,92,48~178,良,64,101,1.265,15,15,109
2015-06,62,27~134,良,38,58,1.117,14,13,99
2015-07,67,41~92,良,37,56,0.942,11,12,115
2015-08,74,43~106,良,41,59,1.058,10,15,125
2015-09,83,46~125,良,49,73,1.11,11,21,134
2015-10,89,41~142,良,57,92,1.139,19,34,126
2015-11,65,32~89,良,46,73,1.37,9,33,44
2015-12,124,52~262,轻度污染,94,122,1.429,15,43,48
2016-01,131,67~211,轻度污染,98,144,1.768,23,42,47
2016-02,114,45~364,轻度污染,83,126,1.693,18,33,88
2016-03,95,47~137,良,63,97,1.161,16,30,131
2016-04,76,33~128,良,35,63,0.893,11,20,126
2016-05,81,47~134,良,43,83,0.774,8,19,126
2016-06,66,39~98,良,38,64,0.697,7,15,112
2016-07,54,25~88,良,31,48,0.626,6,10,98
2016-08,72,32~118,良,36,60,0.839,8,13,122
2016-09,101,42~190,轻度污染,56,92,0.923,13,26,147
2016-10,50,25~105,优,31,47,1.052,8,22,72
2016-11,83,33~208,良,60,93,1.423,11,30,66
2016-12,128,67~275,轻度污染,97,140,1.506,13,41,59
2017-01,124,43~236,轻度污染,93,132,1.432,13,34,76
2017-02,96,52~158,良,72,103,1.464,13,28,94
2017-03,86,41~174,良,61,95,1.765,13,28,107
2017-04,84,47~117,良,41,71,2.513,10,23,124
2017-05,101,56~205,轻度污染,39,65,2.184,9,22,147
2017-06,77,39~146,良,38,56,0.977,5,21,131
2017-07,52,24~91,良,27,41,0.877,4,11,95
2017-08,57,25~95,良,31,42,1.019,4,13,105
2017-09,57,23~101,良,28,41,0.933,7,17,98
2017-10,50,22~94,优,30,48,0.939,7,16,86
2017-11,86,51~161,良,63,95,1.1,12,36,82
2017-12,114,51~261,轻度污染,82,112,1.358,15,44,39
2018-01,105,55~196,轻度污染,77,106,1.155,9,31,59
2018-02,89,29~139,良,64,105,1.125,10,27,75
2018-03,65,36~100,良,43,66,1.006,8,21,93
2018-04,51,0~94,良,29,54,0.807,7,19,108
2018-05,65,21~107,良,31,63,0.674,5,16,104
2018-06,81,44~124,良,27,43,0.66,6,15,136
2018-07,55,19~107,良,22,34,0.652,4,11,101
2018-08,60,39~96,良,23,36,0.755,4,11,110
2018-09,61,29~99,良,26,45,0.81,6,19,108
2018-10,73,46~135,良,34,61,0.655,8,29,119
2018-11,76,28~246,良,53,87,0.923,8,32,81
2018-12,100,49~209,轻度污染,71,114,1.161,8,36,42
2019-01,122,64~241,轻度污染,92,129,1.332,9,35,53
2019-02,100,46~249,轻度污染,75,101,1.114,8,21,70
2019-03,69,36~97,良,41,78,0.758,10,28,108
2019-04,72,38~120,良,31,60,0.843,9,19,121
2019-05,84,43~141,良,29,65,0.635,8,18,135
2019-06,92,34~132,良,22,39,0.73,5,16,148
2019-07,70,41~144,良,19,31,0.661,5,14,122
2019-08,71,31~110,良,18,34,0.819,6,14,124
2019-09,84,37~138,良,28,51,0.807,6,22,138
2019-10,64,23~118,良,30,58,0.774,4,24,99
2019-11,74,31~104,良,48,89,0.81,7,31,89
2019-12,96,55~163,良,70,108,1.116,8,39,52
2020-01,92,44~142,良,68,90,1.029,5,26,62
2020-02,64,32~150,良,43,58,1.052,5,12,84
2020-03,62,33~100,良,36,63,0.987,5,13,100
2020-04,76,40~122,良,34,62,0.92,7,20,126
2020-05,79,41~109,良,31,60,0.771,6,15,131
2020-06,57,32~85,良,17,31,0.833,3,11,105
2020-07,49,25~77,优,16,28,0.861,4,10,92
2020-08,56,25~101,良,16,30,0.971,4,10,103
2020-09,70,38~109,良,25,45,0.943,6,17,122
2020-10,65,30~114,良,38,68,0.858,7,26,95
2020-11,67,26~105,良,43,76,0.66,8,32,82
2020-12,101,45~185,轻度污染,74,107,0.871,8,37,63
2021-01,103,60~205,轻度污染,61,98,1,9,37,63
2021-02,73,28~172,良,50,72,0.925,8,20,85
2021-03,71,36~193,良,29,50,0.765,7,22,86
2021-04,63,30~130,良,24,44,0.65,7,20,103
2021-05,61,30~88,良,27,55,0.674,8,16,107
2021-06,76,35~135,良,23,43,0.703,7,12,129
2021-07,49,29~77,优,15,25,0.642,5,8,94
2021-08,56,37~95,良,18,29,0.761,5,9,104
2021-09,68,36~122,良,21,33,0.697,7,11,120
2021-10,62,19~115,良,33,52,0.71,8,20,100
2021-11,78,31~156,良,53,87,0.813,11,31,86
2021-12,86,44~144,良,62,92,1.01,10,35,70
2022-01,103,36~196,轻度污染,77,94,1.065,8,26,60
2022-02,69,40~125,良,50,67,0.729,9,20,88
2022-03,74,26~197,良,28,49,0.739,9,22,101
2022-04,74,43~107,良,28,53,0.61,7,14,126
2022-05,78,44~120,良,29,48,0.639,7,14,130
2022-06,70,30~130,良,15,35,0.667,7,8,122
2022-07,55,23~91,良,11,29,0.661,6,6,103
2022-08,61,27~98,良,12,32,0.697,5,7,111
2022-09,85,43~127,良,23,48,0.727,7,17,139
2022-10,66,20~130,良,32,49,0.597,7,19,110
2022-11,62,23~119,良,41,58,0.737,7,24,80
2022-12,88,46~168,良,64,88,0.671,9,31,67
2023-01,131,34~287,轻度污染,97,121,0.99,8,28,84
2023-02,82,22~162,良,60,76,0.725,6,26,78
2023-03,94,33~359,良,52,106,0.703,8,19,102
2023-04,83,32~230,良,39,92,0.597,8,14,119
2023-05,63,30~99,良,30,48,0.555,6,11,108
2023-06,70,36~133,良,22,35,0.613,6,10,122
2023-07,52,27~104,良,18,28,0.613,6,6,98
2023-08,72,42~104,良,23,33,0.71,6,9,125
2023-09,58,29~94,良,20,29,0.653,7,11,106
2023-10,71,40~123,良,40,56,0.616,8,20,114
2023-11,68,35~105,良,45,72,0.7,9,26,79
2023-12,79,29~207,良,57,78,0.735,8,29,36
2024-01,96,39~190,良,72,91,0.858,9,30,70
2024-02,80,31~244,良,57,73,0.714,8,13,87
2024-03,79,43~134,良,50,85,0.719,9,20,110
2024-04,68,38~96,良,37,60,0.667,8,15,113
2024-05,91,43~127,良,35,60,0.732,9,11,146
2024-06,77,35~121,良,22,33,0.667,7,7,131
2024-07,46,24~84,优,15,22,0.661,6,4,88
2024-08,61,29~90,良,19,29,0.671,6,5,111
2024-09,70,30~134,良,26,36,0.737,6,7,120
2024-10,73,30~119,良,42,55,0.735,8,18,114
