month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,84,84~84,良,62,105,1.3,17,33,27
2015-01,96,44~169,良,71,119,1.435,13,22,31
2015-02,73,34~129,良,51,90,1.371,13,18,34
2015-03,68,31~105,良,45,83,1.635,13,21,33
2015-04,58,28~85,良,35,69,0.78,14,23,53
2015-05,52,23~85,良,31,57,0.668,10,23,54
2015-06,41,19~62,优,23,40,0.663,8,21,59
2015-07,36,17~53,优,19,35,0.665,9,20,53
2015-08,42,28~62,优,15,32,0.761,11,25,69
2015-09,39,24~68,优,18,30,0.847,9,28,46
2015-10,58,30~118,良,37,64,1.174,11,30,57
2015-11,59,37~104,良,34,66,1.537,17,35,61
2015-12,78,33~166,良,54,100,1.081,17,36,40
2016-01,77,41~130,良,55,94,1.419,13,34,38
2016-02,73,34~130,良,50,88,1.121,8,28,62
2016-03,70,34~122,良,44,85,1.235,6,28,88
2016-04,54,37~98,良,31,54,1.187,6,25,91
2016-05,57,27~97,良,35,63,0.977,8,25,45
2016-06,58,34~140,良,23,41,0.507,25,23,91
2016-07,73,45~107,良,17,32,0.497,22,17,125
2016-08,61,43~110,良,24,40,0.748,21,19,102
2016-09,55,29~106,良,21,38,0.687,24,21,97
2016-10,70,35~118,良,45,72,0.758,16,32,95
2016-11,95,56~144,良,70,119,0.81,14,37,83
2016-12,119,63~192,轻度污染,90,133,1.029,14,37,60
2017-01,135,55~261,轻度污染,103,144,1.148,15,38,64
2017-02,96,48~201,良,71,94,0.989,13,36,82
2017-03,69,43~100,良,49,56,0.845,11,37,85
2017-04,65,38~119,良,42,56,0.717,9,29,96
2017-05,64,34~119,良,39,59,0.632,6,28,102
2017-06,58,37~87,良,37,44,0.567,7,24,89
2017-07,80,46~139,良,30,38,0.513,14,20,133
2017-08,63,39~95,良,26,28,0.535,14,23,114
2017-09,53,37~80,良,29,39,0.647,14,23,97
2017-10,47,29~67,优,25,39,0.745,7,24,76
2017-11,78,36~152,良,57,88,0.777,9,25,80
2017-12,110,33~215,轻度污染,70,98,0.919,11,31,52
2018-01,97,40~206,良,72,103,0.987,10,28,65
2018-02,91,44~159,良,66,92,0.771,16,22,72
2018-03,66,33~115,良,47,63,0.59,13,20,81
2018-04,55,33~87,良,36,53,0.463,14,20,95
2018-05,63,38~124,良,36,45,0.435,18,19,104
2018-06,48,20~90,优,21,24,0.4,12,16,88
2018-07,49,32~70,优,12,18,0.445,11,15,94
2018-08,55,28~94,良,16,21,0.432,17,14,102
2018-09,45,22~94,优,18,26,0.467,11,14,83
2018-10,36,24~58,优,19,28,0.465,11,18,58
2018-11,60,25~114,良,42,55,0.59,15,22,59
2018-12,70,0~200,良,50,67,0.835,12,21,46
2019-01,91,40~148,良,67,84,1.006,9,25,49
2019-02,56,26~82,良,39,51,0.836,7,20,58
2019-03,53,27~107,良,32,44,0.532,6,25,76
2019-04,63,28~140,良,26,38,0.48,7,20,108
2019-05,55,27~100,良,21,31,0.468,7,18,99
2019-06,56,25~135,良,17,26,0.49,6,17,100
2019-07,51,27~118,良,15,22,0.445,7,17,94
2019-08,65,29~113,良,18,25,0.442,8,16,114
2019-09,41,21~81,优,17,26,0.513,8,19,75
2019-10,38,25~69,优,20,29,0.506,8,22,58
2019-11,45,30~65,优,28,41,0.543,9,29,34
2019-12,90,31~186,良,66,83,0.813,9,34,37
2020-01,65,32~113,良,47,57,0.894,7,25,46
2020-02,54,31~94,良,36,45,0.6,7,13,67
2020-03,54,25~100,良,28,44,0.458,8,21,84
2020-04,53,27~99,良,22,35,0.423,9,22,91
2020-05,76,28~165,良,25,38,0.384,9,18,124
2020-06,63,27~98,良,18,28,0.38,6,16,111
2020-07,46,23~104,优,14,22,0.377,7,15,87
2020-08,51,23~91,良,16,23,0.445,7,12,93
2020-09,36,23~77,优,15,22,0.46,7,18,63
2020-10,33,21~78,优,17,25,0.497,7,20,49
2020-11,55,28~92,良,38,53,0.653,7,28,45
2020-12,67,29~169,良,48,59,0.768,7,29,33
2021-01,80,40~135,良,59,78,0.761,8,32,49
2021-02,62,24~115,良,43,55,0.611,7,19,77
2021-03,58,24~120,良,30,51,0.565,8,24,77
2021-04,40,28~88,优,16,25,0.51,7,23,73
2021-05,52,28~112,良,21,33,0.445,7,17,95
2021-06,54,27~100,良,20,29,0.443,7,16,98
2021-07,57,14~93,良,14,21,0.406,7,12,105
2021-08,53,19~132,良,13,20,0.455,8,13,95
2021-09,44,22~75,优,14,23,0.5,7,15,83
2021-10,34,23~69,优,16,23,0.494,8,21,54
2021-11,57,26~138,良,39,54,0.573,7,24,46
2021-12,72,29~138,良,52,66,0.697,6,26,46
2022-01,76,28~148,良,55,67,0.806,6,25,49
2022-02,47,22~72,优,32,37,0.682,6,16,65
2022-03,66,23~120,良,36,53,0.513,7,21,104
2022-04,57,31~111,良,22,36,0.42,6,17,101
2022-05,59,23~130,良,20,30,0.419,7,15,105
2022-06,58,30~92,良,20,31,0.397,9,13,105
2022-07,79,30~140,良,20,31,0.49,8,13,132
2022-08,73,21~112,良,18,28,0.519,8,12,124
2022-09,41,27~70,优,18,29,0.533,9,16,77
2022-10,42,20~91,优,24,35,0.587,10,20,71
2022-11,50,28~94,良,33,50,0.643,9,27,50
2022-12,72,39~169,良,52,71,0.761,8,27,42
2023-01,86,41~203,良,61,84,0.732,8,21,60
2023-02,68,28~153,良,49,61,0.804,8,28,56
2023-03,53,29~99,良,30,44,0.481,8,23,86
