month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,147,71~292,轻度污染,103,211,1.393,98,59,31
2014-01,130,41~272,轻度污染,96,166,1.306,65,52,59
2014-02,90,35~201,良,62,99,1.089,47,40,79
2014-03,97,57~199,良,66,132,1.123,43,53,101
2014-04,88,51~183,良,52,108,0.807,25,38,122
2014-05,97,46~152,良,52,121,0.694,25,34,146
2014-06,77,51~123,良,38,78,0.523,16,22,127
2014-07,83,37~153,良,45,88,0.639,17,26,130
2014-08,82,41~170,良,38,83,0.69,21,33,134
2014-09,75,51~111,良,31,71,0.683,20,33,123
2014-10,81,46~136,良,42,94,0.748,21,38,121
2014-11,100,50~204,轻度污染,70,124,1.923,38,54,69
2014-12,97,57~261,良,68,121,1.11,58,58,51
2015-01,104,48~234,轻度污染,73,122,1.258,47,47,58
2015-02,99,49~193,良,67,126,1.171,40,39,78
2015-03,86,49~168,良,54,114,0.958,26,37,100
2015-04,89,56~185,良,48,103,0.877,22,33,132
2015-05,79,54~132,良,35,87,0.781,21,31,130
2015-06,86,43~183,良,35,75,0.82,22,27,139
2015-07,61,29~139,良,31,68,0.655,20,20,103
2015-08,68,39~147,良,35,74,0.623,19,24,104
2015-09,61,41~103,良,27,64,0.61,21,30,105
2015-10,79,52~130,良,45,94,0.758,21,32,106
2015-11,84,40~201,良,59,92,0.973,22,35,66
2015-12,136,44~354,轻度污染,103,150,1.465,47,47,53
2016-01,113,47~306,轻度污染,82,128,1.248,45,39,58
2016-02,85,36~185,良,58,99,1.028,34,34,80
2016-03,81,49~157,良,49,104,0.819,24,40,101
2016-04,97,47~344,良,52,129,0.867,23,41,117
2016-05,80,48~157,良,41,92,0.706,18,36,122
2016-06,66,34~142,良,27,54,0.553,13,27,118
2016-07,57,25~89,良,27,56,0.526,9,21,99
2016-08,51,29~104,良,17,44,0.471,10,20,89
2016-09,84,41~150,良,31,68,0.583,14,23,136
2016-10,62,37~90,良,30,67,0.632,16,29,95
2016-11,75,33~138,良,50,89,0.813,25,40,72
2016-12,100,44~249,良,71,112,1.103,28,50,58
2017-01,99,40~299,良,71,111,1.274,31,46,62
2017-02,80,44~212,良,54,86,0.925,26,36,83
2017-03,71,54~93,良,44,78,0.745,18,38,104
2017-04,83,57~130,良,42,92,0.717,17,41,132
2017-05,99,42~204,良,26,60,0.645,12,29,139
2017-06,77,41~189,良,23,54,0.513,10,26,130
2017-07,74,30~149,良,28,67,0.687,9,26,126
2017-08,73,32~150,良,18,45,0.623,8,25,123
2017-09,93,45~162,良,23,57,0.657,9,31,149
2017-10,66,38~106,良,27,66,0.69,10,44,103
2017-11,77,42~130,良,41,96,0.793,14,51,74
2017-12,92,28~176,良,59,117,1.042,19,61,29
2018-01,100,47~241,轻度污染,68,119,0.945,17,52,51
2018-02,69,43~133,良,42,77,0.714,14,35,78
2018-03,74,31~135,良,47,84,0.623,11,34,100
2018-04,75,0~119,良,32,85,0.43,9,31,113
