month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,97,97~97,良,43,144,2.4,59,33,34
2014-01,99,53~213,良,69,119,2.858,83,30,45
2014-02,142,58~323,轻度污染,107,172,3.511,115,35,60
2014-03,112,54~273,轻度污染,82,142,1.861,78,40,91
2014-04,105,71~195,轻度污染,71,147,1.42,41,39,121
2014-05,86,45~195,良,51,103,1.342,21,30,125
2014-06,88,51~185,良,59,96,1.96,18,28,113
2014-07,87,52~174,良,56,89,1.632,15,21,122
2014-08,87,41~171,良,53,93,1.471,22,25,127
2014-09,74,51~133,良,43,90,1.39,24,38,97
2014-10,116,58~266,轻度污染,85,142,1.657,36,41,89
2014-11,127,57~402,轻度污染,95,149,1.837,74,45,50
2014-12,92,54~258,良,64,104,1.832,85,38,36
2015-01,120,53~328,轻度污染,90,131,2.006,106,52,35
2015-02,116,49~313,轻度污染,85,134,1.689,84,47,50
2015-03,96,53~165,良,66,122,1.458,52,37,77
2015-04,89,56~129,良,58,108,1.803,28,32,96
2015-05,89,40~158,良,41,84,1.184,22,28,135
2015-06,81,47~128,良,43,69,1.077,14,24,134
2015-07,78,36~135,良,42,67,1.332,16,25,127
2015-08,81,38~154,良,46,70,1.506,16,24,128
2015-09,77,42~112,良,44,81,1.34,23,34,108
2015-10,88,41~242,良,60,103,1.4,28,40,78
2015-11,169,57~500,中度污染,145,188,2.003,79,55,44
2015-12,138,51~329,轻度污染,105,152,2.103,98,46,38
2016-01,108,52~247,轻度污染,79,125,1.855,98,47,41
2016-02,82,57~214,良,55,96,1.552,75,37,56
2016-03,97,51~191,良,65,127,1.242,54,37,88
2016-04,85,54~158,良,50,108,1.063,25,31,104
2016-05,80,41~120,良,41,78,1.371,23,32,125
2016-06,73,40~129,良,42,62,1.217,15,25,120
2016-07,73,32~107,良,41,57,1.1,8,21,117
2016-08,64,30~93,良,38,59,1.326,10,28,103
2016-09,64,29~108,良,42,62,1.167,14,28,96
2016-10,80,43~251,良,57,90,1.303,23,38,67
2016-11,102,51~271,轻度污染,75,114,1.353,60,43,50
2016-12,109,53~273,轻度污染,79,130,1.565,67,43,46
2017-01,120,58~248,轻度污染,87,145,1.942,77,53,51
2017-02,95,46~195,良,68,116,1.511,54,41,73
2017-03,102,53~178,轻度污染,75,127,1.542,52,48,108
2017-04,80,47~140,良,43,94,1.16,20,34,121
2017-05,96,48~182,良,30,71,1.01,12,24,143
2017-06,101,52~203,轻度污染,37,68,1.307,16,29,157
2017-07,92,53~197,良,31,50,1.255,10,27,146
2017-08,60,33~126,良,22,39,1.374,9,25,106
2017-09,69,42~113,良,32,55,1.343,13,32,117
2017-10,72,33~128,良,46,78,1.439,17,37,80
2017-11,61,40~118,良,38,69,1.29,36,34,58
2017-12,98,43~230,良,62,102,2.006,50,45,29
2018-01,74,50~125,良,50,86,1.516,42,40,47
2018-02,87,59~152,良,61,101,1.521,41,38,62
2018-03,82,45~150,良,56,94,1.313,28,37,86
2018-04,76,54~109,良,41,90,1.177,16,28,102
2018-05,74,41~125,良,33,73,1.087,12,26,121
2018-06,87,43~201,良,29,53,0.97,10,21,142
2018-07,60,23~129,良,23,39,1.029,6,18,101
2018-08,67,19~133,良,27,52,1.277,10,29,109
2018-09,54,34~84,良,25,53,1.18,13,28,88
2018-10,63,35~102,良,36,73,1.181,16,34,74
2018-11,80,48~189,良,54,95,1.42,23,42,50
2018-12,68,0~160,良,43,76,1.29,26,35,46
2019-01,103,52~250,轻度污染,70,128,1.71,31,46,51
2019-02,99,57~200,良,72,115,1.493,30,39,73
2019-03,89,46~270,良,57,108,1.245,23,35,96
2019-04,82,54~307,良,39,99,1.037,17,28,110
2019-05,82,42~172,良,30,70,0.961,15,23,133
2019-06,78,26~140,良,30,52,0.943,11,23,130
2019-07,90,45~160,良,30,51,1.061,9,18,146
2019-08,53,25~128,良,22,39,1.035,9,19,93
2019-09,70,33~147,良,31,64,1.137,15,29,106
2019-10,77,30~158,良,46,90,1.235,18,36,80
2019-11,66,37~133,良,39,78,1.237,25,39,48
2019-12,80,33~203,良,54,87,1.361,21,38,51
2020-01,150,49~427,中度污染,116,155,2.171,30,54,51
2020-02,78,40~202,良,53,81,1.283,18,29,69
2020-03,67,45~99,良,41,76,1.032,17,28,90
2020-04,89,50~153,良,49,105,1.123,19,29,119
2020-05,65,31~120,良,28,57,0.9,12,22,109
2020-06,78,42~152,良,28,57,1.043,13,25,131
2020-07,80,27~167,良,30,54,1.129,10,22,133
2020-08,61,30~139,良,23,40,1.135,7,20,105
2020-09,54,25~84,良,28,51,1.217,12,27,80
2020-10,65,31~112,良,37,76,1.194,16,33,78
2020-11,70,28~168,良,44,79,1.307,19,35,51
2020-12,69,46~122,良,45,80,1.374,22,37,47
2021-01,96,47~346,良,66,101,1.706,20,39,55
2021-02,84,38~190,良,58,95,1.296,18,30,71
2021-03,107,44~258,轻度污染,63,105,1.365,17,36,91
2021-04,73,43~173,良,41,86,1.033,13,26,108
2021-05,75,36~184,良,29,53,1.055,12,22,112
2021-06,63,38~120,良,24,41,0.973,9,18,112
2021-07,54,29~99,良,17,31,0.845,5,13,100
2021-08,58,27~113,良,25,43,1.197,7,20,103
2021-09,52,29~126,良,24,42,1.093,9,24,87
2021-10,53,26~94,良,29,57,1.129,13,31,66
2021-11,70,30~143,良,46,76,1.217,17,37,53
2021-12,59,30~103,良,35,68,1.187,19,33,48
2022-01,87,44~210,良,60,96,1.494,23,42,50
2022-02,60,39~122,良,39,65,1.146,16,30,78
2022-03,60,36~95,良,35,64,1.006,14,27,87
2022-04,73,43~110,良,35,70,0.897,14,22,121
2022-05,77,41~152,良,28,56,0.955,13,21,127
2022-06,59,34~126,良,22,37,0.91,9,18,102
2022-07,55,19~117,良,19,34,0.984,7,18,97
2022-08,54,28~95,良,20,38,1.055,9,20,98
2022-09,66,30~143,良,23,48,0.92,13,25,103
2022-10,57,24~147,良,32,57,0.974,14,29,78
2022-11,61,29~132,良,39,65,1.03,16,32,56
2022-12,58,35~100,良,32,64,1.177,18,32,49
2023-01,75,45~264,良,45,87,1.103,18,28,55
2023-02,82,40~148,良,56,92,1.232,19,36,69
2023-03,84,44~226,良,45,110,1.032,16,30,104
2023-04,103,38~394,轻度污染,46,127,1.01,14,26,108
2023-05,78,48~152,良,27,67,0.797,12,22,124
2023-06,87,49~150,良,25,46,0.95,11,20,144
2023-07,78,18~162,良,21,38,0.987,7,15,129
2023-08,55,27~100,良,20,39,1.139,8,21,98
2023-09,63,36~108,良,24,49,1.03,10,25,108
2023-10,59,29~92,良,32,62,1.032,12,30,90
2023-11,56,27~137,良,35,58,1.037,14,31,58
2023-12,71,37~127,良,45,75,1.226,16,36,28
2024-01,68,31~152,良,45,76,1.239,16,38,54
2024-02,98,35~459,良,73,104,1.217,19,35,72
2024-03,81,48~208,良,50,99,0.987,14,31,99
2024-04,83,49~206,良,47,92,0.833,11,26,116
2024-05,74,41~133,良,24,55,0.768,10,20,125
2024-06,91,49~169,良,20,41,0.76,9,18,145
2024-07,70,20~150,良,25,40,0.987,5,16,117
2024-08,61,23~108,良,21,39,0.89,6,18,108
2024-09,49,26~74,优,21,43,0.937,10,26,85
2024-10,61,29~109,良,34,62,0.929,11,29,82
2024-11,52,28~97,良,31,55,0.927,15,30,59
2024-12,55,32~89,良,33,62,1.139,16,33,53
2025-01,89,46~228,良,62,99,1.31,15,35,57
2025-02,69,36~199,良,44,71,1.043,15,26,77
2025-03,70,42~134,良,45,80,0.929,14,26,94
2025-04,68,45~82,良,43,72,0.867,11,24,114
