month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,117,19~213,轻度污染,88,116,1.763,50,47,83
2014-01,143,44~283,轻度污染,109,139,2.742,48,58,81
2014-02,60,24~117,良,43,54,2.296,27,31,56
2014-03,69,16~138,良,51,65,1.668,38,37,59
2014-04,66,29~109,良,47,65,2.057,35,30,86
2014-05,46,25~76,优,31,44,1.716,27,25,70
2014-06,57,25~109,良,36,54,1.377,22,22,89
2014-07,76,22~138,良,32,52,0.977,27,22,129
2014-08,74,28~144,良,31,52,0.942,32,23,126
2014-09,68,26~145,良,33,52,1.15,29,22,116
2014-10,94,50~147,良,67,97,1.381,39,32,141
2014-11,79,23~137,良,58,79,1.22,34,32,74
2014-12,62,31~101,良,43,65,1.071,31,37,72
2015-01,69,25~181,良,49,71,1.232,31,43,70
2015-02,69,21~142,良,50,72,1.164,22,30,65
2015-03,41,17~81,优,25,39,1.077,16,24,54
2015-04,63,20~136,良,34,53,0.96,19,28,104
2015-05,42,20~83,优,20,33,0.939,18,23,77
2015-06,53,26~88,良,20,35,0.803,20,20,98
2015-07,51,26~117,良,26,41,0.771,19,16,94
2015-08,67,33~139,良,33,49,0.855,19,18,114
2015-09,63,23~117,良,39,57,1.027,16,19,108
2015-10,67,25~92,良,43,66,1.052,19,26,101
2015-11,49,22~112,优,31,49,1.093,16,26,52
2015-12,53,22~138,良,35,50,1.113,15,25,46
2016-01,51,29~104,良,34,48,1.303,15,26,54
2016-02,58,24~172,良,39,61,1.052,14,22,74
2016-03,66,28~149,良,41,64,1.332,21,35,78
2016-04,51,36~110,良,30,48,1.09,17,29,71
2016-05,53,28~86,良,31,50,0.961,18,26,85
2016-06,60,32~120,良,23,41,0.99,18,23,104
2016-07,64,30~155,良,27,48,0.855,17,21,109
2016-08,53,24~111,良,24,43,0.929,14,17,96
2016-09,64,25~132,良,36,54,0.943,13,19,109
2016-10,48,25~82,优,28,44,1.035,12,18,79
2016-11,57,25~128,良,36,56,1.153,16,35,76
2016-12,74,35~117,良,53,74,1.265,17,39,78
2017-01,78,32~175,良,56,70,1.39,16,34,76
2017-02,60,23~95,良,42,56,1.139,17,31,88
2017-03,53,30~112,良,32,49,1.106,16,35,64
2017-04,70,27~125,良,38,60,1.073,21,35,97
2017-05,80,39~155,良,39,55,1.035,18,31,126
2017-06,51,33~81,良,25,36,1.003,18,23,92
2017-07,59,26~147,良,27,40,0.887,19,22,105
2017-08,74,23~162,良,30,43,0.81,16,23,126
2017-09,77,39~154,良,37,51,0.843,18,24,131
2017-10,59,24~107,良,34,45,0.832,16,22,105
2017-11,61,27~108,良,42,52,0.97,16,28,76
2017-12,76,25~133,良,55,71,1.1,20,41,53
2018-01,73,28~152,良,51,63,1.174,18,37,61
2018-02,68,23~208,良,49,60,0.904,14,28,81
2018-03,62,27~103,良,38,50,0.897,15,32,94
2018-04,70,29~125,良,42,65,0.817,18,32,93
2018-05,64,30~154,良,27,40,0.797,16,25,109
2018-06,49,19~88,优,23,32,0.767,12,22,91
2018-07,58,26~95,良,22,34,0.784,13,21,104
2018-08,53,25~84,良,23,33,0.835,10,19,98
2018-09,51,22~81,良,23,36,0.763,11,19,96
2018-10,62,23~101,良,33,47,0.861,12,25,97
2018-11,49,24~87,优,31,43,0.89,12,28,68
2018-12,50,22~139,良,34,41,1.052,11,28,36
2019-01,54,26~124,良,37,49,1.303,11,29,51
2019-02,40,20~135,优,24,31,1.15,9,18,39
2019-03,49,22~85,优,31,41,1.139,9,25,60
2019-04,41,23~64,优,24,37,1.097,10,23,65
2019-05,48,25~115,优,22,35,0.881,9,17,86
2019-06,53,25~108,良,18,31,0.853,10,20,97
2019-07,52,27~91,良,19,34,0.79,11,18,97
2019-08,61,23~110,良,23,39,0.858,10,19,110
2019-09,84,37~125,良,31,48,0.847,10,22,139
2019-10,73,27~131,良,36,54,0.89,11,25,119
2019-11,69,28~138,良,39,65,0.89,12,34,111
2019-12,58,28~95,良,37,58,0.965,12,39,69
2020-01,50,25~96,优,31,44,1.029,9,29,63
2020-02,42,20~70,优,24,31,0.838,8,17,71
2020-03,38,17~64,优,21,28,0.848,9,22,58
2020-04,56,22~126,良,27,41,0.727,12,26,92
2020-05,56,33~90,良,24,38,0.819,11,20,102
2020-06,47,23~80,优,14,27,0.7,11,19,89
2020-07,72,30~138,良,20,37,0.735,11,18,124
2020-08,51,21~86,良,16,31,0.777,12,18,95
2020-09,48,22~93,优,20,31,0.84,8,15,90
2020-10,53,21~85,良,27,40,0.726,9,16,94
2020-11,58,23~94,良,31,50,0.867,11,24,94
2020-12,53,19~103,良,37,47,0.871,8,24,66
2021-01,64,31~129,良,43,66,0.916,9,35,83
2021-02,55,18~90,良,30,43,0.796,6,20,96
2021-03,50,20~103,良,29,48,0.79,7,22,76
2021-04,52,22~99,良,24,38,0.753,7,20,89
2021-05,59,23~148,良,19,33,0.745,9,16,104
2021-06,55,28~94,良,16,28,0.707,7,14,101
2021-07,66,35~126,良,18,33,0.674,9,13,117
2021-08,51,28~80,良,15,29,0.681,11,14,97
2021-09,66,33~102,良,20,34,0.66,11,15,117
2021-10,47,22~99,优,21,30,0.623,8,12,86
2021-11,43,18~60,优,24,38,0.56,10,20,74
2021-12,50,22~75,良,33,46,0.674,11,24,72
2022-01,45,22~110,优,30,38,0.832,8,20,57
2022-02,29,15~61,优,14,19,0.632,7,10,53
2022-03,55,18~113,良,29,45,0.681,11,20,90
2022-04,61,23~144,良,22,37,0.58,12,17,107
2022-05,54,18~144,良,20,31,0.626,11,15,96
2022-06,37,19~73,优,11,22,0.55,8,13,72
2022-07,63,16~118,良,18,34,0.548,10,14,110
2022-08,55,23~126,良,14,29,0.539,10,13,99
2022-09,89,44~114,良,31,51,0.673,15,15,146
2022-10,74,26~134,良,25,44,0.619,14,16,125
2022-11,38,14~78,优,19,29,0.64,10,15,65
2022-12,49,13~123,优,31,39,0.6,12,17,67
2023-01,50,20~133,良,34,44,0.623,9,14,66
2023-02,51,18~95,良,33,43,0.818,12,20,69
2023-03,61,20~110,良,31,52,0.706,15,21,95
2023-04,52,17~101,良,25,42,0.713,14,17,79
2023-05,56,26~91,良,21,37,0.581,12,14,101
2023-06,53,23~106,良,13,26,0.56,10,10,98
2023-07,53,26~104,良,14,28,0.51,11,10,99
2023-08,53,23~105,良,15,30,0.606,11,10,99
2023-09,40,19~73,优,15,27,0.613,11,9,77
2023-10,47,23~79,优,23,34,0.635,13,10,88
2023-11,57,15~100,良,34,52,0.653,12,19,86
2023-12,48,15~97,优,32,48,0.7,11,21,36
2024-01,51,18~92,良,34,46,0.69,10,19,70
2024-02,34,15~77,优,19,28,0.71,9,9,53
2024-03,45,22~83,优,24,39,0.648,10,15,74
2024-04,44,17~85,优,22,33,0.657,11,13,77
2024-05,53,19~108,良,19,31,0.568,12,10,96
2024-06,40,25~70,优,12,22,0.547,10,8,78
2024-07,46,22~75,优,13,23,0.545,11,9,87
2024-08,53,31~94,良,18,30,0.629,13,10,99
2024-09,42,28~68,优,18,28,0.573,12,8,81
2024-10,57,31~89,良,26,38,0.542,12,10,104
2024-11,48,20~73,优,25,37,0.507,12,12,84
2024-12,66,28~110,良,47,64,0.665,12,23,89
2025-01,71,35~127,良,48,71,0.706,11,27,100
