month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,147,147~147,轻度污染,113,209,2.9,43,43,63
2014-01,175,59~461,中度污染,139,191,2.342,36,44,45
2014-02,95,20~243,良,71,100,1.432,27,28,48
2014-03,93,56~151,良,69,107,1.183,27,34,67
2014-04,78,44~119,良,55,93,1.033,20,25,64
2014-05,117,59~295,轻度污染,83,163,1.39,28,28,87
2014-06,103,37~180,轻度污染,76,115,1.54,27,22,96
2014-07,78,32~135,良,55,86,1.171,10,15,65
2014-08,67,38~112,良,46,75,1.055,9,18,56
2014-09,70,37~116,良,46,74,1.053,21,27,89
2014-10,86,54~152,良,60,105,1.142,28,42,69
2014-11,80,37~150,良,58,76,1.483,28,42,42
2014-12,76,36~120,良,54,83,1.177,44,46,32
2015-01,136,48~266,轻度污染,103,133,1.8,38,47,34
2015-02,97,30~205,良,72,95,1.393,27,32,46
2015-03,75,36~186,良,54,73,1.068,20,32,51
2015-04,73,39~105,良,51,84,1.17,24,38,67
2015-05,76,51~131,良,54,82,1.152,21,33,91
2015-06,71,32~139,良,45,70,1.13,17,29,104
2015-07,66,38~130,良,41,61,1.158,15,27,104
2015-08,75,28~155,良,42,69,1.348,19,23,124
2015-09,71,48~104,良,41,70,1.477,18,22,118
2015-10,94,36~228,良,68,110,1.61,22,35,101
2015-11,80,31~163,良,58,81,1.63,20,35,49
2015-12,130,63~258,轻度污染,97,133,1.926,26,45,40
2016-01,103,43~210,轻度污染,75,107,1.858,24,40,46
2016-02,87,41~166,良,62,88,1.803,24,33,68
2016-03,101,30~200,轻度污染,74,104,1.368,24,43,66
2016-04,69,42~119,良,47,77,1.1,18,33,103
2016-05,82,43~169,良,47,77,1.106,17,30,118
2016-06,68,34~111,良,35,50,1.04,14,25,114
2016-07,73,24~142,良,34,53,0.974,15,22,114
2016-08,92,34~187,良,30,58,0.965,16,24,146
2016-09,85,25~152,良,37,63,0.98,17,26,134
2016-10,50,26~100,良,28,46,1.026,19,30,66
2016-11,70,33~120,良,47,79,1.257,22,46,55
2016-12,99,42~159,良,72,114,1.581,27,53,53
2017-01,93,38~210,良,67,98,1.429,17,43,57
2017-02,97,45~140,良,73,98,1.489,19,43,82
2017-03,84,55~130,良,61,87,1.11,18,49,88
2017-04,90,52~141,良,49,93,1.063,17,46,127
2017-05,116,46~194,轻度污染,38,65,1.013,15,32,173
2017-06,103,28~177,轻度污染,38,60,0.92,9,24,158
2017-07,89,24~204,良,28,58,0.913,11,24,141
2017-08,73,31~170,良,25,53,1.042,12,22,124
2017-09,78,36~150,良,31,63,1.193,14,30,119
2017-10,70,34~132,良,38,75,1.123,19,41,103
2017-11,90,43~140,良,62,113,1.177,22,54,76
2017-12,124,50~287,轻度污染,88,129,1.455,28,63,29
2018-01,123,35~260,轻度污染,92,106,1.226,20,49,52
2018-02,90,0~208,良,64,88,0.971,18,41,70
2018-03,70,39~122,良,47,74,0.997,15,41,93
2018-04,83,0~153,良,40,95,0.933,18,37,125
2018-05,70,0~119,良,30,61,0.835,11,31,119
2018-06,98,42~163,良,29,56,0.743,11,24,153
2018-07,70,27~115,良,22,45,0.716,9,18,120
2018-08,72,30~124,良,22,42,0.81,11,17,123
2018-09,73,27~132,良,28,59,0.963,15,32,122
2018-10,74,41~159,良,36,69,0.952,16,38,115
2018-11,74,33~185,良,49,76,1.2,13,44,69
2018-12,74,30~150,良,50,76,1.103,12,44,40
2019-01,106,33~209,轻度污染,78,97,1.181,14,53,46
2019-02,84,31~209,良,62,75,1.029,10,35,66
2019-03,80,42~127,良,54,87,0.916,16,45,96
2019-04,72,40~124,良,39,68,0.853,13,36,113
2019-05,95,41~148,良,35,72,0.787,13,31,149
2019-06,105,35~183,轻度污染,31,54,0.897,9,24,163
2019-07,79,33~129,良,25,47,0.768,7,23,133
2019-08,90,20~178,良,23,44,0.745,10,23,143
2019-09,91,34~142,良,28,54,0.793,11,26,144
2019-10,76,40~186,良,41,85,0.9,14,40,96
2019-11,71,38~125,良,42,85,0.84,12,46,76
2019-12,87,43~150,良,63,77,0.99,12,52,47
2020-01,96,34~204,良,71,74,0.971,11,40,46
2020-02,56,23~118,良,39,49,0.679,9,23,68
2020-03,59,31~84,良,37,58,0.661,10,34,81
2020-04,67,38~104,良,36,68,0.713,12,39,110
2020-05,84,36~146,良,30,60,0.758,10,27,135
2020-06,62,31~126,良,18,36,0.737,7,21,109
2020-07,54,25~114,良,20,38,0.835,7,22,94
2020-08,71,34~140,良,22,46,0.777,8,23,122
2020-09,73,34~146,良,26,53,0.793,11,34,125
2020-10,62,35~99,良,29,58,0.661,11,38,96
2020-11,61,45~97,良,33,62,0.777,13,44,68
2020-12,102,43~179,轻度污染,73,92,0.958,15,57,44
2021-01,91,60~148,良,58,96,0.897,12,49,54
2021-02,64,30~129,良,42,59,0.704,9,27,78
2021-03,72,35~131,良,37,60,0.784,11,37,86
2021-04,66,33~122,良,29,57,0.78,11,36,101
2021-05,74,32~140,良,26,56,0.81,9,29,120
2021-06,88,32~173,良,24,47,0.743,7,22,140
2021-07,58,23~121,良,17,34,0.768,6,18,103
2021-08,70,38~137,良,22,42,0.835,6,20,122
2021-09,82,36~131,良,25,49,0.883,9,25,133
2021-10,61,32~93,良,31,57,0.865,9,37,93
2021-11,63,29~99,良,35,71,0.71,11,42,79
2021-12,87,34~147,良,61,90,1.045,12,53,62
2022-01,98,32~175,良,72,82,0.994,9,44,60
2022-02,66,36~117,良,47,59,0.829,9,35,81
2022-03,71,31~129,良,38,64,0.835,11,33,107
2022-04,76,32~122,良,31,56,0.77,11,29,128
2022-05,91,50~153,良,31,54,0.768,11,28,146
2022-06,89,39~142,良,21,36,0.747,7,17,144
2022-07,77,44~159,良,19,33,0.784,7,17,132
2022-08,74,30~119,良,22,37,0.839,8,20,127
2022-09,80,29~141,良,24,45,0.86,9,25,133
2022-10,58,25~101,良,22,42,0.713,9,30,102
2022-11,55,32~99,良,31,47,0.84,10,35,74
2022-12,84,38~204,良,57,76,0.913,12,46,51
2023-01,77,25~142,良,54,79,0.881,10,36,72
2023-02,67,35~132,良,47,49,0.8,9,34,71
2023-03,77,37~113,良,43,88,0.816,10,36,104
2023-04,87,32~302,良,36,95,0.797,9,27,119
2023-05,81,34~164,良,30,57,0.781,8,23,126
2023-06,91,24~161,良,24,43,0.833,8,22,146
2023-07,55,19~107,良,17,29,0.816,8,17,101
2023-08,84,36~175,良,23,39,0.906,8,18,138
2023-09,65,31~133,良,22,36,0.803,9,20,112
2023-10,74,35~111,良,34,55,0.797,11,36,124
2023-11,68,28~99,良,43,72,0.863,11,40,77
2023-12,88,27~220,良,61,84,0.997,11,49,33
2024-01,92,32~165,良,66,89,1.045,11,46,59
2024-02,66,27~142,良,46,59,0.783,8,24,79
2024-03,74,38~107,良,46,80,0.955,9,37,104
2024-04,76,35~132,良,29,57,0.84,9,27,126
2024-05,92,35~138,良,27,55,0.713,8,24,148
2024-06,90,25~183,良,21,38,0.777,8,17,143
2024-07,58,29~110,良,14,28,0.716,7,16,105
2024-08,85,41~120,良,22,37,0.819,6,18,141
2024-09,68,27~123,良,20,36,0.887,8,17,118
2024-10,57,33~112,良,24,40,0.855,7,25,101
2024-11,54,29~84,良,27,51,0.813,8,30,83
2024-12,80,45~150,良,57,87,1,9,45,69
2025-01,82,41~140,良,57,92,0.919,9,41,80
2025-02,73,39~122,良,51,75,0.754,9,28,82
2025-03,72,39~134,良,38,69,0.735,8,30,107
2025-04,89,77~105,良,38,81,0.811,10,32,146
