month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,81,61~161,良,0,93,0,64,30,0
2013-06,88,44~401,良,0,116,0,39,33,0
2013-07,48,25~100,优,0,54,0,11,25,0
2013-08,48,27~69,优,0,50,0,19,27,0
2013-09,60,37~136,良,0,67,0,31,31,0
2013-10,104,43~163,轻度污染,0,157,0,41,38,0
2013-11,82,51~123,良,0,108,0,53,32,0
2013-12,222,91~421,重度污染,172,212,2.79,103,76,51
2014-01,238,93~403,重度污染,192,258,3.023,60,66,65
2014-02,164,74~284,中度污染,125,164,1.821,34,31,68
2014-03,128,72~218,轻度污染,95,167,1.132,40,41,105
2014-04,113,71~217,轻度污染,79,134,0.89,67,43,119
2014-05,114,72~210,轻度污染,73,141,0.739,59,36,143
2014-06,111,39~217,轻度污染,70,102,0.793,67,28,134
2014-07,73,40~156,良,46,76,0.739,40,21,106
2014-08,79,51~119,良,55,92,0.797,33,21,90
2014-09,69,24~144,良,45,66,0.79,34,20,68
2014-10,131,54~237,轻度污染,96,145,1.106,45,34,121
2014-11,137,60~421,轻度污染,102,162,1.06,51,44,66
2014-12,86,50~139,良,55,104,1,61,36,65
2015-01,147,65~270,轻度污染,112,169,1.465,55,49,57
2015-02,114,60~190,轻度污染,84,129,1.096,50,32,72
2015-03,98,57~176,良,71,117,0.768,38,34,82
2015-04,106,57~192,轻度污染,74,129,0.943,52,30,116
2015-05,116,64~179,轻度污染,78,143,0.89,43,22,146
2015-06,97,34~208,良,48,104,0.657,38,21,136
2015-07,81,43~164,良,46,84,0.616,21,23,117
2015-08,81,51~135,良,42,86,0.568,36,24,124
2015-09,89,51~165,良,57,96,0.673,30,25,117
2015-10,121,55~242,轻度污染,85,150,0.874,56,45,116
2015-11,104,53~228,轻度污染,77,117,1.08,35,46,54
2015-12,156,48~351,中度污染,118,183,1.2,44,57,54
2016-01,164,68~334,中度污染,126,192,1.384,60,55,50
2016-02,128,46~233,轻度污染,88,144,1.128,67,37,84
2016-03,124,65~276,轻度污染,84,165,1.035,39,46,115
2016-04,91,64~149,良,54,117,0.993,35,37,122
2016-05,95,45~154,良,46,109,0.635,24,28,142
2016-06,82,0~126,良,43,85,0.65,22,26,131
2016-07,64,26~108,良,31,57,0.532,12,23,109
2016-08,81,42~130,良,39,73,0.619,17,25,131
2016-09,97,54~142,良,43,102,0.893,26,39,144
2016-10,66,33~118,良,43,73,0.771,18,37,62
2016-11,117,58~233,轻度污染,86,142,1.09,21,45,58
2016-12,159,68~462,中度污染,125,181,1.5,30,57,56
2017-01,107,0~255,轻度污染,80,121,1.268,25,48,45
2017-02,90,0~182,良,66,102,1.032,27,43,71
2017-03,75,0~139,良,51,90,0.726,29,45,69
2017-04,76,0~120,良,41,86,1.137,22,38,109
2017-05,86,0~152,良,29,70,0.861,18,31,155
2017-06,110,0~211,轻度污染,36,75,0.767,14,33,178
2017-07,77,30~187,良,26,51,0.71,5,17,126
2017-08,87,25~142,良,28,58,0.981,8,18,141
2017-09,75,25~128,良,36,60,0.813,9,23,120
2017-10,74,33~120,良,53,85,0.829,9,34,92
2017-11,65,0~219,良,45,83,0.81,16,50,80
2017-12,109,0~310,轻度污染,80,123,0.906,16,52,67
2018-01,132,0~270,轻度污染,99,142,1.065,12,41,65
2018-02,90,0~192,良,64,105,0.982,15,37,77
2018-03,83,0~140,良,58,95,1.052,15,38,96
2018-04,54,0~107,良,29,61,0.77,15,33,116
2018-05,65,0~115,良,34,61,0.594,11,25,124
2018-06,106,0~163,轻度污染,39,67,0.577,11,23,163
2018-07,68,27~126,良,25,54,0.548,12,19,115
2018-08,81,29~132,良,29,49,0.616,12,20,133
2018-09,74,44~129,良,35,68,0.577,11,30,115
2018-10,91,50~162,良,51,97,0.587,12,42,125
2018-11,84,0~188,良,62,87,0.9,9,39,74
2018-12,119,0~369,轻度污染,91,132,1.052,10,42,42
2019-01,145,68~287,轻度污染,110,159,1.106,9,41,58
2019-02,121,70~200,轻度污染,91,122,0.843,7,22,75
2019-03,79,56~114,良,51,95,0.542,8,28,107
2019-04,77,0~137,良,47,79,0.663,6,21,116
2019-05,87,49~122,良,34,81,0.416,6,21,136
2019-06,108,47~142,轻度污染,28,58,0.467,6,19,167
2019-07,89,41~170,良,22,47,0.474,5,23,144
2019-08,85,44~140,良,24,42,0.539,5,18,140
2019-09,97,41~153,良,35,70,0.61,8,23,147
2019-10,72,26~141,良,40,80,0.619,7,30,94
2019-11,95,39~166,良,66,113,0.687,9,35,81
2019-12,104,50~232,轻度污染,76,113,0.826,8,39,50
2020-01,131,65~240,轻度污染,99,132,1.123,6,30,62
2020-02,79,32~172,良,55,75,0.841,5,14,81
2020-03,73,37~117,良,44,80,0.642,6,20,97
2020-04,80,52~120,良,38,73,0.563,7,25,122
2020-05,93,42~161,良,28,67,0.461,7,17,147
2020-06,80,40~138,良,26,50,0.387,5,13,133
2020-07,68,35~114,良,25,36,0.429,5,11,119
2020-08,65,27~124,良,21,35,0.468,7,12,112
2020-09,85,48~140,良,33,57,0.493,7,20,138
2020-10,77,37~119,良,51,87,0.632,8,32,92
2020-11,80,33~143,良,55,87,0.7,8,30,74
2020-12,100,34~207,良,74,103,0.81,9,34,62
2021-01,118,48~279,轻度污染,74,102,0.858,9,35,63
2021-02,78,47~133,良,53,77,0.682,8,17,83
2021-03,93,43~500,良,37,52,0.539,7,22,82
2021-04,72,49~196,良,38,63,0.5,8,21,100
2021-05,68,30~121,良,28,47,0.41,8,15,112
2021-06,92,38~170,良,27,48,0.453,9,16,147
2021-07,56,33~129,良,18,25,0.477,7,10,103
2021-08,62,25~100,良,20,30,0.548,7,10,109
2021-09,65,26~121,良,24,42,0.677,8,14,114
2021-10,77,17~208,良,50,75,0.777,9,26,99
