month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,55,55~55,良,18,60,1.1,19,10,38
2015-01,58,20~150,良,25,74,1.729,38,18,41
2015-02,53,27~85,良,21,59,1.418,50,21,60
2015-03,46,18~100,优,18,50,1.49,42,19,64
2015-04,67,35~120,良,34,84,0.623,26,27,90
2015-05,49,28~121,优,21,53,0.406,17,16,76
2015-06,49,30~83,优,20,39,0.443,11,16,93
2015-07,49,29~77,优,21,43,0.51,8,18,87
2015-08,39,21~54,优,19,35,0.552,10,15,66
2015-09,49,24~77,优,21,54,0.563,15,19,66
2015-10,59,26~135,良,34,71,0.99,26,25,63
2015-11,93,24~316,良,68,100,1.647,31,30,57
2015-12,53,23~108,良,32,45,1.752,32,32,48
2016-01,38,27~76,优,21,31,0.952,24,24,55
2016-02,51,30~110,良,30,47,1.728,25,21,66
2016-03,61,32~132,良,35,71,1.439,28,17,67
2016-04,46,27~77,优,22,46,1.03,25,14,64
2016-05,37,24~60,优,16,35,0.819,24,15,62
2016-06,35,23~51,优,14,29,0.813,29,11,53
2016-07,41,23~66,优,13,32,0.842,12,19,77
2016-08,41,20~55,优,15,38,0.929,13,19,75
2016-09,46,26~79,优,17,48,0.763,7,21,64
2016-10,57,23~114,良,31,69,0.897,10,22,59
2016-11,84,32~186,良,61,86,1.16,20,27,57
2016-12,88,31~320,良,62,99,1.452,29,27,47
2017-01,79,30~202,良,55,96,1.5,21,24,54
2017-02,64,33~177,良,41,75,0.907,13,18,70
2017-03,78,33~248,良,55,86,0.881,11,20,78
2017-04,69,29~188,良,48,89,0.753,11,20,84
2017-05,65,33~252,良,27,68,0.513,5,17,86
2017-06,48,24~90,优,24,49,0.45,4,16,78
2017-07,50,37~71,良,27,53,0.329,2,16,76
2017-08,43,25~62,优,21,44,0.371,3,13,50
2017-09,47,29~69,优,21,51,0.43,3,16,55
2017-10,85,25~309,良,64,99,0.8,6,28,52
2017-11,89,28~252,良,66,94,0.843,8,26,45
2017-12,87,20~204,良,65,83,1.132,16,29,32
2018-01,77,23~240,良,56,72,0.803,13,24,48
2018-02,85,32~218,良,62,83,0.764,14,23,59
2018-03,74,0~198,良,52,70,0.697,10,24,75
2018-04,64,36~122,良,41,71,0.553,4,21,84
2018-05,47,31~74,优,19,46,0.429,3,19,83
2018-06,39,19~92,优,16,34,0.417,3,15,73
2018-07,39,18~60,优,18,35,0.477,3,15,69
2018-08,33,17~58,优,14,32,0.445,3,14,48
2018-09,40,19~57,优,16,40,0.5,3,16,50
2018-10,45,16~91,优,23,51,0.526,5,21,46
2018-11,57,0~122,良,37,65,0.723,10,26,40
2018-12,61,25~152,良,42,65,0.748,12,24,43
2019-01,68,27~234,良,46,76,0.777,14,25,48
2019-02,89,32~223,良,65,90,0.882,11,23,73
2019-03,74,35~254,良,50,77,0.829,9,22,75
2019-04,56,33~118,良,31,63,0.587,6,17,81
2019-05,43,23~83,优,19,41,0.532,5,15,74
2019-06,36,18~62,优,16,32,0.52,5,17,65
2019-07,34,16~58,优,16,32,0.452,5,15,57
2019-08,32,15~54,优,15,32,0.465,5,14,41
2019-09,41,22~71,优,17,43,0.457,5,16,52
2019-10,55,20~85,良,25,65,0.59,6,23,46
2019-11,45,21~144,优,28,45,0.747,7,21,41
2019-12,64,20~118,良,45,64,1.245,13,33,41
2020-01,85,29~203,良,62,79,1.252,15,27,47
2020-02,52,33~114,良,34,45,0.976,7,12,74
2020-03,47,34~87,优,22,36,0.61,6,15,83
2020-04,80,33~500,良,55,70,0.72,7,17,97
2020-05,48,30~96,优,17,35,0.471,7,17,89
2020-06,36,17~114,优,11,24,0.433,5,16,67
2020-07,36,19~54,优,16,32,0.477,5,17,68
2020-08,31,13~53,优,10,25,0.548,4,17,57
2020-09,32,17~51,优,12,28,0.42,4,19,47
2020-10,52,20~87,良,21,59,0.458,5,28,54
2020-11,50,22~94,优,26,56,0.55,6,29,50
2020-12,67,36~158,良,45,74,0.694,9,35,49
2021-01,82,32~166,良,60,81,0.839,15,37,55
2021-02,70,34~196,良,50,65,0.836,11,27,71
2021-03,55,37~100,良,29,54,0.529,9,27,85
2021-04,78,36~268,良,47,80,0.57,8,30,101
2021-05,55,29~95,良,21,49,0.49,7,26,101
2021-06,49,29~97,优,14,37,0.487,7,25,94
2021-07,44,19~71,优,14,33,0.494,8,23,83
2021-08,37,19~59,优,13,30,0.494,7,21,68
2021-09,40,24~58,优,13,37,0.423,7,27,62
2021-10,57,27~150,良,27,62,0.416,7,32,63
2021-11,54,25~88,良,33,64,0.55,10,32,52
2021-12,57,30~120,良,39,53,0.606,12,35,51
2022-01,68,32~119,良,49,65,0.635,16,34,57
2022-02,57,36~114,良,38,51,0.414,14,27,75
2022-03,48,37~84,优,24,43,0.329,7,26,85
2022-04,64,37~182,良,37,66,0.387,6,28,93
2022-05,49,27~86,优,15,30,0.258,6,23,94
2022-06,40,24~70,优,10,27,0.243,6,24,77
2022-07,32,13~65,优,10,26,0.268,3,15,61
2022-08,33,19~47,优,10,29,0.374,3,14,59
2022-09,41,20~73,优,14,39,0.313,3,16,61
2022-10,49,25~95,优,26,54,0.406,5,22,57
2022-11,60,23~102,良,40,66,0.577,8,24,42
2022-12,49,25~99,优,28,52,0.577,15,20,52
2023-01,78,29~225,良,56,78,0.939,17,29,52
2023-02,63,34~162,良,43,62,0.643,15,25,70
2023-03,67,34~293,良,33,80,0.519,7,21,84
2023-04,89,36~365,良,46,111,0.503,6,19,88
2023-05,58,36~183,良,22,55,0.377,5,16,94
2023-06,47,23~110,优,13,28,0.3,4,17,88
2023-07,38,18~55,优,11,26,0.248,5,14,74
2023-08,27,12~48,优,9,23,0.271,5,12,49
2023-09,38,24~55,优,14,38,0.42,6,17,54
2023-10,50,18~130,良,24,55,0.452,6,21,54
2023-11,49,29~109,优,31,44,0.52,11,23,52
2023-12,56,19~102,良,39,54,0.658,12,28,29
2024-01,74,31~158,良,53,69,0.906,13,29,55
2024-02,65,32~307,良,45,61,0.638,12,20,75
2024-03,48,37~81,优,24,47,0.416,7,17,81
2024-04,64,38~193,良,38,71,0.453,7,16,93
2024-05,43,22~70,优,18,38,0.377,7,12,79
2024-06,37,15~84,优,12,27,0.433,7,11,72
2024-07,43,18~68,优,21,37,0.435,6,12,71
2024-08,30,16~43,优,10,24,0.306,5,11,57
2024-09,35,20~47,优,10,30,0.187,6,14,62
2024-10,46,17~65,优,22,48,0.297,7,20,63
2024-11,61,25~173,良,42,64,0.553,10,23,46
2024-12,39,27~84,优,24,35,0.542,12,15,57
2025-01,76,34~163,良,55,73,0.742,13,26,58
2025-02,47,35~99,优,25,40,0.486,8,14,79
2025-03,56,39~102,良,30,49,0.452,8,14,91
2025-04,66,50~97,良,41,58,0.733,8,21,106
