month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,74,43~95,良,0,98,0,21,38,0
2013-06,97,42~183,良,0,143,0,22,33,0
2013-07,82,50~124,良,0,114,0,21,35,0
2013-08,67,38~145,良,0,79,0,26,30,0
2013-09,61,37~96,良,0,72,0,31,36,0
2013-10,80,51~134,良,0,110,0,29,37,0
2013-11,222,15~500,重度污染,15326,162,1.613,40,24,33
2013-12,254,13~500,重度污染,233,126,4.461,83,50,49
2014-01,139,60~348,轻度污染,101,151,3.052,101,47,30
2014-02,105,57~231,轻度污染,69,123,2.256,90,41,29
2014-03,112,65~222,轻度污染,71,163,1.829,68,44,58
2014-04,101,68~185,轻度污染,68,137,1.99,73,37,78
2014-05,91,63~139,良,62,98,1.235,50,36,96
2014-06,111,55~248,轻度污染,82,82,1.55,62,30,94
2014-07,95,50~171,良,59,73,1.206,31,27,130
2014-08,65,34~138,良,41,60,1.087,27,28,61
2014-09,73,36~137,良,47,82,0.72,27,31,71
2014-10,110,42~273,轻度污染,79,133,0.997,37,40,64
2014-11,139,48~335,轻度污染,104,163,2.547,61,51,41
2014-12,93,52~178,良,62,107,1.906,70,48,31
2015-01,138,50~353,轻度污染,102,147,1.913,82,81,31
2015-02,110,58~229,轻度污染,77,148,1.996,62,52,62
2015-03,97,54~159,良,56,144,1.468,51,52,78
2015-04,86,47~134,良,49,115,1.04,43,54,95
2015-05,91,52~139,良,60,108,1.284,41,48,116
2015-06,88,48~176,良,49,88,1.21,34,41,134
2015-07,93,58~213,良,61,91,0.606,17,24,122
2015-08,76,52~99,良,45,91,1.084,19,27,111
2015-09,78,47~115,良,41,91,1.17,27,45,111
2015-10,92,53~188,良,55,124,1.542,41,51,80
2015-11,127,37~260,轻度污染,95,130,1.84,50,51,45
2015-12,191,39~424,中度污染,152,207,2.79,65,75,43
2016-01,157,60~431,中度污染,116,186,2.89,79,79,36
2016-02,111,37~199,轻度污染,74,142,3.045,63,64,63
2016-03,118,59~236,轻度污染,79,174,1.977,63,65,106
2016-04,98,52~143,良,65,132,1.063,44,53,108
2016-05,81,50~112,良,45,81,0.981,30,46,120
2016-06,93,58~162,良,46,79,1.207,24,41,146
2016-07,89,55~136,良,44,84,1.535,20,31,133
2016-08,76,43~119,良,30,53,1.413,27,27,128
2016-09,96,52~155,良,44,90,1.457,33,43,142
2016-10,79,50~145,良,42,100,1.684,26,48,68
2016-11,162,49~338,中度污染,125,212,2.643,45,57,46
2016-12,205,95~462,重度污染,164,231,3.642,60,69,37
2017-01,143,0~289,轻度污染,111,159,3.294,61,63,31
2017-02,111,0~350,轻度污染,83,134,2.104,47,50,66
2017-03,80,0~144,良,53,102,1.152,29,46,88
2017-04,79,0~135,良,45,101,1.203,29,44,114
2017-05,79,0~184,良,25,68,1.171,28,37,172
2017-06,121,0~206,轻度污染,41,84,1.253,21,33,201
2017-07,103,45~182,轻度污染,41,81,1.377,16,28,158
2017-08,99,53~161,良,42,78,1.432,23,32,146
2017-09,93,0~149,良,44,96,1.17,20,48,139
2017-10,76,0~143,良,53,91,1.345,15,47,69
2017-11,64,0~182,良,41,87,1.543,20,65,58
2017-12,107,0~238,轻度污染,74,129,2.074,26,68,50
2018-01,124,0~274,轻度污染,93,145,1.868,26,59,45
2018-02,103,0~237,轻度污染,69,130,1.429,20,43,74
2018-03,91,0~206,良,61,114,1.235,17,42,99
2018-04,69,0~135,良,33,86,1.053,18,40,115
2018-05,91,0~157,良,35,85,1,18,31,153
2018-06,124,52~177,轻度污染,31,75,0.99,16,27,185
2018-07,86,40~163,良,29,58,1.042,14,21,138
2018-08,99,25~193,良,30,62,1.261,15,24,156
2018-09,74,49~106,良,29,67,1.19,14,37,118
2018-10,80,53~116,良,45,101,1.055,15,49,103
2018-11,92,0~196,良,68,112,1.61,17,54,52
2018-12,98,0~226,良,69,129,1.681,22,58,36
2019-01,141,62~249,轻度污染,106,160,1.532,21,64,39
2019-02,165,52~324,中度污染,129,163,1.35,15,40,70
2019-03,85,55~193,良,52,99,0.558,13,34,100
2019-04,84,0~132,良,55,99,0.7,14,34,115
2019-05,95,54~141,良,31,84,0.345,13,29,150
2019-06,133,60~180,轻度污染,32,75,0.39,11,29,195
2019-07,113,56~177,轻度污染,35,61,0.455,7,24,172
2019-08,84,51~136,良,30,54,0.642,10,24,136
2019-09,108,32~168,轻度污染,36,70,0.62,11,32,155
2019-10,80,37~146,良,47,90,0.616,9,39,88
2019-11,111,38~271,轻度污染,78,124,0.98,15,52,61
2019-12,137,51~285,轻度污染,103,128,1.581,15,55,31
2020-01,172,73~353,中度污染,134,154,1.877,15,48,52
2020-02,89,42~169,良,64,79,1.024,10,23,78
2020-03,79,41~160,良,50,89,0.655,11,35,95
2020-04,82,46~155,良,43,91,0.733,13,39,117
2020-05,95,46~176,良,35,82,0.606,11,28,148
2020-06,111,47~205,轻度污染,33,79,0.65,9,28,171
2020-07,96,52~157,良,35,75,0.668,6,22,150
2020-08,80,35~143,良,27,56,0.771,7,21,131
2020-09,95,48~194,良,34,73,0.87,11,37,148
2020-10,92,53~166,良,62,108,0.948,11,50,76
2020-11,105,40~252,轻度污染,74,115,1.077,13,49,57
2020-12,125,62~244,轻度污染,91,131,1.435,17,50,36
2021-01,128,60~246,轻度污染,72,101,1.352,20,48,55
2021-02,102,59~255,轻度污染,72,103,0.925,13,30,84
2021-03,147,48~500,轻度污染,43,57,0.742,9,34,82
2021-04,96,53~459,良,42,59,0.577,11,27,117
2021-05,97,45~200,良,38,40,0.555,12,23,138
2021-06,120,37~178,轻度污染,35,73,0.76,10,23,179
2021-07,79,28~153,良,22,41,0.574,4,13,130
2021-08,84,39~121,良,32,58,0.668,7,17,139
2021-09,77,29~139,良,31,59,1.027,9,21,127
2021-10,81,25~178,良,55,96,1.065,10,39,77
2021-11,106,45~250,轻度污染,70,123,0.957,12,45,64
2021-12,89,38~227,良,60,106,0.987,11,46,44
2022-01,142,63~248,轻度污染,108,131,1.368,11,42,44
2022-02,82,48~142,良,58,87,0.764,9,32,81
2022-03,117,43~403,轻度污染,53,70,0.826,9,34,84
2022-04,81,51~108,良,40,77,0.803,10,29,122
2022-05,89,48~122,良,30,73,0.745,10,25,139
2022-06,126,70~199,轻度污染,33,78,0.88,12,24,186
2022-07,81,33~139,良,25,46,0.913,8,14,135
2022-08,72,33~106,良,26,52,0.987,9,19,121
2022-09,100,50~156,良,36,79,0.87,13,30,155
2022-10,74,26~134,良,49,79,0.832,12,36,92
2022-11,110,48~240,轻度污染,79,107,1.19,12,41,58
2022-12,113,36~263,轻度污染,78,126,1.048,14,47,49
2023-01,122,35~294,轻度污染,89,136,1.268,15,40,60
2023-02,111,49~233,轻度污染,81,111,0.807,11,35,73
2023-03,123,52~500,轻度污染,60,169,0.61,10,33,104
2023-04,121,38~500,轻度污染,49,149,0.637,9,26,115
2023-05,83,38~126,良,34,71,0.706,7,24,129
2023-06,114,42~163,轻度污染,24,55,0.63,9,25,173
2023-07,96,25~181,良,23,45,0.642,8,19,151
2023-08,91,43~137,良,27,42,0.719,7,18,147
2023-09,80,41~128,良,34,56,0.797,8,27,128
2023-10,80,46~209,良,52,88,0.839,12,42,113
2023-11,91,37~271,良,60,103,0.76,10,43,64
2023-12,97,44~195,良,69,100,0.942,9,44,30
2024-01,114,37~349,轻度污染,86,119,1.097,10,47,51
2024-02,111,42~244,轻度污染,80,109,0.797,8,22,89
2024-03,90,52~124,良,56,116,0.655,10,28,103
2024-04,84,49~134,良,49,98,0.613,12,24,130
2024-05,109,55~166,轻度污染,40,87,0.59,11,20,164
2024-06,131,70~183,轻度污染,35,73,0.573,9,20,193
2024-07,76,38~130,良,33,41,0.723,4,12,128
2024-08,83,47~144,良,21,36,0.639,4,12,138
2024-09,87,31~150,良,29,53,0.773,6,19,142
2024-10,97,29~213,良,66,97,0.677,5,32,113
2024-11,82,40~226,良,55,85,0.687,4,30,64
2024-12,83,53~165,良,57,95,0.639,6,35,49
2025-01,88,40~170,良,59,102,0.797,8,32,67
2025-02,85,53~155,良,56,95,0.65,6,29,81
2025-03,98,45~278,良,48,123,0.577,6,24,99
2025-04,78,54~100,良,42,104,0.7,8,25,119
