month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,174,174~174,中度污染,132,181,2.3,12,49,54
2015-01,105,34~251,轻度污染,77,114,1.79,12,26,63
2015-02,92,40~159,良,66,101,1.314,12,27,78
2015-03,78,45~115,良,47,88,0.829,8,20,112
2015-04,70,40~112,良,43,86,0.767,9,22,105
2015-05,61,40~99,良,34,65,0.59,6,12,102
2015-06,73,51~146,良,51,77,0.577,5,14,100
2015-07,73,44~102,良,50,85,0.687,4,11,101
2015-08,63,30~94,良,43,76,0.819,3,7,82
2015-09,40,22~76,优,14,31,0.867,6,11,74
2015-10,52,24~215,良,31,49,1.065,8,7,71
2015-11,65,30~200,良,45,57,1.4,18,12,62
2015-12,49,20~114,优,25,36,1.51,25,15,48
2016-01,50,27~105,良,32,50,0.852,15,17,57
2016-02,57,31~108,良,37,58,1.552,19,16,71
2016-03,59,38~124,良,35,64,1.577,13,9,81
2016-04,61,38~138,良,32,62,1.25,6,9,93
2016-05,69,42~130,良,38,60,0.926,7,15,112
2016-06,61,39~87,良,41,66,0.467,4,13,88
2016-07,63,34~78,良,39,70,0.468,3,10,79
2016-08,56,19~109,良,26,63,0.519,3,9,66
2016-09,55,26~94,良,28,63,0.553,4,9,61
2016-10,58,29~109,良,32,67,0.697,9,15,61
2016-11,79,43~147,良,54,91,0.89,13,22,54
2016-12,79,34~162,良,56,94,1.206,17,26,48
2017-01,94,40~199,良,68,111,1.381,19,26,51
2017-02,58,32~119,良,39,65,0.832,12,20,68
2017-03,52,35~81,良,30,59,0.742,9,18,82
2017-04,61,38~135,良,35,72,0.753,8,20,91
2017-05,57,30~119,良,18,55,0.587,7,15,96
2017-06,39,19~77,优,16,34,0.483,6,14,70
2017-07,44,26~70,优,20,37,0.565,7,14,75
2017-08,38,14~68,优,16,35,0.523,7,13,59
2017-09,40,25~57,优,16,39,0.643,8,16,65
2017-10,96,29~490,良,74,110,1.016,11,26,69
2017-11,68,30~280,良,44,79,0.927,14,23,60
2017-12,62,26~179,良,44,77,1.123,17,26,35
2018-01,63,30~123,良,42,75,0.894,15,20,60
2018-02,62,33~109,良,38,73,0.786,14,18,73
2018-03,61,41~85,良,33,70,0.742,12,17,94
2018-04,68,44~121,良,35,80,0.663,9,17,108
2018-05,61,38~92,良,20,57,0.606,8,14,109
2018-06,47,22~100,优,15,37,0.523,8,14,88
2018-07,42,22~92,优,16,35,0.61,6,15,75
2018-08,35,20~56,优,13,34,0.558,6,12,57
2018-09,45,19~66,优,17,47,0.547,9,14,63
2018-10,54,22~95,良,20,65,0.626,12,17,60
2018-11,58,26~142,良,32,70,0.713,12,21,51
2018-12,63,34~175,良,37,75,0.79,13,19,53
2019-01,57,33~139,良,33,65,0.771,13,15,62
2019-02,65,36~290,良,44,70,0.711,13,13,78
2019-03,55,42~140,良,29,54,0.619,9,11,87
2019-04,58,36~99,良,24,61,0.56,6,11,100
2019-05,51,28~138,良,20,41,0.526,5,9,92
2019-06,37,18~84,优,17,29,0.487,6,9,69
2019-07,38,12~69,优,14,28,0.542,6,9,73
2019-08,27,15~48,优,11,18,0.568,6,6,53
2019-09,38,19~61,优,12,36,0.577,8,11,64
2019-10,48,26~83,优,21,51,0.574,10,16,63
2019-11,40,25~75,优,20,40,0.507,11,10,55
2019-12,56,33~94,良,37,61,0.8,15,17,49
2020-01,66,32~118,良,46,74,0.968,17,18,62
2020-02,48,33~85,优,29,47,0.662,12,9,69
2020-03,50,36~87,优,28,48,0.629,10,10,79
2020-04,66,31~373,良,39,62,0.613,9,13,88
2020-05,50,28~85,良,20,44,0.49,7,10,93
2020-06,31,15~62,优,13,25,0.417,6,9,60
2020-07,44,21~92,优,14,38,0.539,8,11,79
2020-08,33,12~71,优,12,24,0.452,7,8,62
2020-09,30,18~47,优,14,23,0.533,8,10,56
2020-10,44,25~77,优,19,47,0.594,10,17,57
2020-11,43,25~75,优,22,44,0.647,10,16,50
2020-12,51,28~91,良,29,58,0.69,11,18,48
2021-01,54,30~99,良,36,59,0.771,11,20,52
2021-02,49,33~100,优,30,48,0.714,9,13,73
2021-03,52,29~92,良,27,53,0.613,9,16,83
2021-04,66,40~272,良,34,64,0.493,8,16,105
2021-05,53,33~117,良,19,40,0.406,7,13,98
2021-06,54,19~110,良,15,31,0.497,6,13,100
2021-07,47,21~75,优,13,27,0.635,6,12,90
2021-08,39,15~75,优,12,26,0.545,6,9,76
2021-09,36,26~54,优,14,32,0.54,8,13,63
2021-10,48,27~84,优,20,52,0.69,9,18,63
2021-11,46,27~74,优,25,48,0.627,9,18,52
2021-12,46,26~77,优,28,49,0.652,8,21,50
2022-01,48,32~74,优,29,50,0.661,12,20,60
2022-02,45,35~66,优,24,37,0.5,12,13,85
2022-03,48,41~65,优,21,39,0.513,10,14,92
2022-04,64,41~303,良,30,59,0.517,11,15,100
2022-05,49,23~78,优,13,30,0.358,9,11,94
2022-06,44,23~75,优,8,20,0.31,8,11,86
2022-07,36,18~61,优,8,15,0.281,8,10,71
2022-08,31,17~50,优,8,18,0.319,7,10,61
2022-09,36,24~50,优,11,28,0.323,7,11,66
2022-10,41,24~74,优,19,39,0.403,7,15,61
2022-11,46,25~79,优,27,50,0.49,10,17,46
2022-12,42,26~57,优,24,40,0.426,13,15,56
2023-01,51,30~113,良,34,54,0.542,14,18,57
2023-02,51,35~74,良,29,53,0.454,12,16,72
2023-03,61,32~358,良,26,66,0.352,11,13,85
2023-04,57,37~112,良,28,59,0.35,10,14,86
2023-05,51,31~92,良,15,38,0.3,9,12,92
2023-06,48,22~109,优,11,20,0.3,10,12,91
2023-07,40,16~75,优,10,17,0.361,10,11,78
2023-08,30,16~46,优,9,16,0.345,9,10,59
2023-09,34,20~54,优,13,29,0.367,10,13,60
2023-10,41,25~77,优,20,41,0.387,11,16,64
2023-11,40,28~62,优,22,33,0.467,12,18,60
2023-12,43,19~80,优,28,42,0.429,13,20,31
2024-01,49,26~102,优,33,46,0.59,15,22,58
2024-02,49,34~94,优,30,46,0.593,15,15,77
2024-03,59,33~500,良,24,58,0.497,13,11,79
2024-04,54,30~110,良,31,55,0.65,14,13,89
2024-05,44,25~114,优,20,34,0.49,12,10,78
2024-06,36,15~82,优,11,21,0.35,14,9,69
2024-07,49,15~75,优,27,37,0.452,14,10,81
2024-08,28,16~46,优,13,21,0.394,13,9,56
2024-09,34,21~52,优,17,30,0.443,14,10,61
2024-10,44,27~70,优,26,43,0.432,16,17,62
2024-11,44,25~107,优,29,40,0.513,15,16,45
2024-12,36,27~65,优,24,29,0.629,15,15,53
2025-01,61,30~105,良,43,51,0.855,17,23,52
2025-02,43,31~79,优,26,35,0.525,14,11,71
2025-03,44,34~69,优,22,38,0.532,15,9,79
2025-04,53,49~58,良,34,52,0.644,15,14,85
