month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,95,95~95,良,53,139,0.7,30,30,110
2015-01,95,16~210,良,71,92,0.974,44,42,65
2015-02,70,27~118,良,48,79,0.939,27,27,89
2015-03,55,21~88,良,28,56,0.819,30,24,86
2015-04,73,28~135,良,33,71,0.7,32,23,116
2015-05,65,33~116,良,33,57,0.774,29,17,110
2015-06,47,28~81,优,24,41,0.707,35,11,85
2015-07,49,27~69,优,22,43,0.6,24,10,90
2015-08,61,24~107,良,29,53,0.6,23,13,104
2015-09,67,23~110,良,42,61,0.713,40,20,90
2015-10,75,27~112,良,52,84,0.729,47,27,97
2015-11,56,25~103,良,38,56,0.933,37,27,49
2015-12,81,26~138,良,58,78,0.897,39,31,50
2016-01,79,37~169,良,56,76,0.884,35,33,52
2016-02,80,35~204,良,56,82,0.659,29,22,97
2016-03,81,31~129,良,55,83,0.706,44,34,97
2016-04,62,34~117,良,33,53,0.763,37,24,97
2016-05,68,36~129,良,35,55,0.755,34,21,111
2016-06,54,26~97,良,25,42,0.6,24,15,95
2016-07,48,27~92,优,20,38,0.523,22,13,88
2016-08,63,35~107,良,28,49,0.523,20,13,113
2016-09,73,23~127,良,36,56,0.687,28,17,118
2016-10,53,23~80,良,33,49,0.69,31,21,77
2016-11,64,28~124,良,44,66,0.773,37,32,56
2016-12,99,43~216,良,73,101,0.794,40,43,71
2017-01,96,42~240,良,61,77,0.894,29,37,69
2017-02,85,31~147,良,62,72,0.696,36,32,97
2017-03,68,37~151,良,44,58,0.794,36,34,86
2017-04,72,31~130,良,37,61,0.753,28,24,116
2017-05,86,32~162,良,37,57,0.768,26,21,138
2017-06,45,23~82,优,23,33,0.78,29,16,82
2017-07,50,22~124,良,21,38,0.532,20,14,87
2017-08,50,29~73,优,21,37,0.506,26,15,96
2017-09,65,27~115,良,29,48,0.643,28,18,112
2017-10,65,22~120,良,36,61,0.587,28,25,102
2017-11,71,26~119,良,50,72,0.777,39,35,71
2017-12,91,25~142,良,67,85,0.745,39,41,40
2018-01,79,27~192,良,56,65,0.768,26,37,48
2018-02,72,20~166,良,51,66,0.6,24,23,74
2018-03,59,25~95,良,36,55,0.555,31,31,87
2018-04,67,29~97,良,36,64,0.51,27,25,104
2018-05,60,36~110,良,24,41,0.448,17,15,109
2018-06,63,31~143,良,26,36,0.463,14,12,110
2018-07,46,26~83,优,17,30,0.461,11,9,88
2018-08,59,20~124,良,21,34,0.503,11,11,107
2018-09,67,25~108,良,27,43,0.553,17,15,116
2018-10,81,29~144,良,41,58,0.555,21,25,120
2018-11,54,20~89,良,37,50,0.513,19,26,61
2018-12,59,22~119,良,40,44,0.577,15,30,38
2019-01,76,35~214,良,54,55,0.774,13,34,46
2019-02,42,19~147,优,28,30,0.675,10,14,46
2019-03,60,28~119,良,39,51,0.555,19,25,81
2019-04,53,28~79,良,31,42,0.5,20,19,85
2019-05,65,28~114,良,36,52,0.471,13,16,111
2019-06,55,26~130,良,28,35,0.537,13,15,98
2019-07,47,21~80,优,19,26,0.426,8,12,90
2019-08,73,32~126,良,28,41,0.39,10,13,125
2019-09,103,31~179,轻度污染,38,56,0.54,18,21,160
2019-10,88,42~129,良,49,67,0.652,21,25,127
2019-11,72,25~120,良,47,72,0.463,27,32,102
2019-12,71,32~143,良,51,60,0.497,30,38,63
2020-01,60,25~122,良,42,40,0.616,15,23,50
2020-02,51,29~84,良,33,35,0.497,18,11,70
2020-03,52,26~85,良,33,37,0.623,19,19,74
2020-04,83,40~118,良,39,52,0.52,22,22,129
2020-05,69,34~111,良,28,41,0.516,18,16,120
2020-06,40,25~59,优,15,24,0.397,13,13,77
2020-07,48,25~79,优,16,26,0.377,14,12,92
