month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,82,82~82,良,39,114,0.8,19,23,75
2015-01,134,39~256,轻度污染,102,144,1.758,29,45,64
2015-02,122,34~219,轻度污染,92,121,2.25,17,30,82
2015-03,81,24~148,良,58,87,1.913,15,29,87
2015-04,80,42~127,良,52,82,2.037,18,27,121
2015-05,100,44~170,轻度污染,69,94,2.01,14,23,136
2015-06,74,42~132,良,41,64,1.507,6,17,122
2015-07,68,39~151,良,36,52,0.955,7,16,117
2015-08,79,27~126,良,39,55,0.932,10,15,133
2015-09,87,44~118,良,43,65,1.253,17,19,143
2015-10,88,32~134,良,56,92,1.461,31,31,130
2015-11,57,28~93,良,37,57,1.543,11,33,54
2015-12,108,44~292,轻度污染,79,115,1.303,13,45,50
2016-01,100,52~232,良,73,104,1.406,10,38,52
2016-02,98,45~330,良,72,103,1.331,11,26,92
2016-03,103,37~204,轻度污染,74,107,1.384,17,34,112
2016-04,77,47~131,良,39,60,1.407,8,21,127
2016-05,86,48~164,良,47,72,1.11,9,18,138
2016-06,73,33~131,良,36,51,0.963,7,16,123
2016-07,65,24~131,良,33,47,0.848,8,12,107
2016-08,91,40~169,良,41,61,1.09,9,12,145
2016-09,103,32~197,轻度污染,47,76,1.227,9,20,158
2016-10,55,28~117,良,34,51,1.039,7,24,72
2016-11,61,22~95,良,42,68,0.943,12,33,63
2016-12,93,42~144,良,69,107,1.177,16,44,69
2017-01,104,28~223,轻度污染,80,120,1.284,14,34,72
2017-02,91,57~213,良,67,103,1.086,16,32,91
2017-03,86,44~246,良,60,101,1.239,14,34,95
2017-04,80,40~123,良,43,85,1.193,12,26,120
2017-05,103,42~188,轻度污染,43,80,1.09,9,21,147
2017-06,78,34~138,良,32,61,1.38,5,18,127
2017-07,71,30~144,良,29,60,0.952,14,16,118
2017-08,60,33~99,良,21,48,1.194,6,15,106
2017-09,76,38~172,良,26,55,1.003,6,19,123
2017-10,61,18~129,良,31,57,0.826,7,24,99
2017-11,93,34~160,良,68,105,1.073,11,41,82
2017-12,116,51~218,轻度污染,85,121,0.994,15,43,33
2018-01,90,33~159,良,66,96,1.058,9,30,49
2018-02,90,32~175,良,64,98,0.996,8,23,67
2018-03,64,29~127,良,43,71,0.91,10,27,89
2018-04,74,0~125,良,41,87,1.04,11,24,113
2018-05,58,0~110,良,25,56,0.858,8,20,113
2018-06,85,38~157,良,25,56,0.633,7,18,137
2018-07,76,30~139,良,16,43,0.623,7,12,128
2018-08,74,38~122,良,21,41,0.832,5,9,127
2018-09,75,39~126,良,26,54,0.75,6,16,128
2018-10,82,48~151,良,40,69,0.69,9,25,126
2018-11,69,22~179,良,47,75,0.883,10,30,74
2018-12,77,21~147,良,54,83,0.823,7,26,43
2019-01,104,39~195,轻度污染,77,112,1.019,5,33,49
2019-02,80,30~296,良,59,83,0.846,4,20,51
2019-03,65,42~98,良,40,77,0.816,7,26,92
2019-04,64,32~86,良,34,68,1.01,10,23,102
2019-05,84,50~139,良,36,82,0.948,11,24,130
2019-06,96,31~146,良,26,54,0.843,13,17,153
2019-07,74,46~112,良,25,52,0.787,10,15,127
2019-08,86,38~124,良,25,52,0.829,9,12,142
2019-09,94,48~130,良,31,66,0.847,13,19,148
2019-10,69,38~133,良,33,65,0.784,10,25,104
2019-11,71,31~109,良,45,87,0.847,13,37,80
2019-12,81,48~142,良,59,95,0.997,13,47,50
2020-01,77,34~119,良,54,79,0.955,7,28,50
2020-02,59,30~102,良,38,59,0.872,7,15,76
2020-03,59,31~98,良,36,63,0.987,9,17,92
2020-04,72,42~103,良,37,70,0.733,14,26,116
2020-05,76,41~119,良,36,66,0.913,14,22,127
2020-06,55,31~104,良,18,33,0.823,9,14,102
2020-07,58,28~102,良,18,31,0.842,8,12,105
2020-08,74,35~119,良,20,40,0.832,10,13,127
2020-09,76,34~143,良,29,50,0.857,9,18,126
2020-10,67,29~101,良,37,68,0.877,10,29,98
2020-11,61,23~100,良,38,69,0.897,11,29,77
2020-12,91,38~170,良,66,103,0.79,14,41,55
2021-01,82,45~147,良,46,86,0.926,15,34,55
2021-02,63,32~100,良,42,66,0.775,9,20,78
2021-03,53,25~95,良,29,57,0.7,11,23,74
2021-04,58,24~96,良,28,53,0.633,12,22,100
2021-05,69,38~114,良,28,55,0.79,12,19,117
2021-06,82,35~138,良,23,49,0.743,13,14,136
2021-07,63,28~150,良,17,39,0.661,12,13,109
2021-08,67,27~128,良,16,32,0.742,11,10,117
2021-09,96,44~156,良,21,47,0.747,12,15,153
2021-10,66,27~119,良,28,54,0.735,9,20,111
2021-11,69,30~138,良,40,85,0.72,12,34,88
2021-12,79,43~128,良,54,98,0.832,12,41,72
2022-01,94,26~205,良,69,95,0.952,10,34,59
2022-02,73,32~202,良,53,71,0.764,9,24,77
2022-03,64,23~136,良,26,58,0.61,11,25,94
2022-04,74,36~116,良,25,60,0.61,11,19,124
2022-05,86,53~125,良,31,64,0.735,9,19,138
2022-06,74,27~150,良,15,43,0.603,10,12,124
2022-07,62,28~122,良,10,35,0.548,8,11,112
2022-08,79,28~120,良,12,43,0.684,8,12,132
2022-09,101,50~161,轻度污染,23,62,0.73,8,16,157
2022-10,71,19~140,良,29,63,0.665,8,21,113
2022-11,57,21~105,良,31,59,0.75,8,20,79
2022-12,96,43~186,良,66,109,0.694,8,31,61
