month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,84,84~84,良,60,119,0.2,10,25,42
2015-01,74,22~136,良,54,68,0.362,6,22,34
2015-04,58,31~77,良,41,57,0.152,6,12,51
2015-05,59,24~126,良,40,53,0.171,8,10,76
2015-06,39,21~71,优,25,32,0.217,7,10,51
2015-07,33,19~75,优,22,29,0.135,7,10,33
2015-08,38,17~85,优,26,35,0.119,8,10,41
2015-09,45,23~83,优,31,44,0.157,9,11,45
2015-10,54,19~83,良,37,55,0.216,9,12,71
2015-11,38,23~59,优,23,34,0.213,13,19,59
2015-12,70,30~149,良,49,66,0.384,16,22,70
2016-01,58,29~144,良,34,48,0.368,11,29,81
2016-02,73,35~229,良,51,74,0.207,10,26,93
2016-03,69,45~107,良,47,67,0.271,15,28,83
2016-04,42,24~60,优,23,35,0.627,11,22,73
2016-05,42,29~92,优,23,37,0.539,18,17,73
2016-06,36,24~58,优,17,31,0.43,20,14,64
2016-07,41,24~74,优,16,28,0.435,18,16,80
2016-08,40,24~55,优,19,35,0.468,22,16,78
2016-09,45,25~67,优,24,43,0.533,24,15,71
2016-10,38,27~52,优,15,35,0.652,13,21,66
2016-11,49,29~79,优,25,50,0.75,12,25,52
2016-12,66,28~196,良,46,72,0.881,12,21,64
2017-01,71,29~209,良,49,75,0.89,12,22,64
2017-02,58,31~88,良,37,65,0.675,12,20,81
2017-03,53,29~86,良,25,53,0.681,12,20,89
2017-04,57,28~83,良,28,57,0.74,11,16,99
2017-05,69,39~95,良,27,48,0.684,17,16,121
2017-06,51,33~87,良,13,30,0.687,17,16,97
2017-07,41,25~81,优,11,35,0.681,14,15,79
2017-08,38,26~50,优,10,31,0.652,11,17,72
2017-09,41,27~65,优,13,35,0.763,11,18,77
2017-10,46,28~85,优,22,45,0.745,12,21,79
2017-11,58,35~81,良,35,66,0.75,11,27,69
2017-12,64,23~134,良,45,78,0.768,10,24,35
2018-01,55,20~110,良,35,56,0.655,9,21,45
2018-02,60,20~159,良,39,61,0.661,13,15,57
2018-03,40,0~70,优,22,41,0.616,11,16,63
2018-04,47,22~75,优,27,50,0.677,10,15,68
2018-05,39,21~59,优,18,37,0.606,11,13,66
2018-06,38,22~70,优,14,30,0.547,9,13,74
2018-07,28,21~38,优,9,21,0.497,9,10,54
2018-08,33,22~55,优,13,26,0.639,9,10,66
2018-09,38,22~55,优,17,33,0.65,9,13,74
2018-10,46,20~66,优,24,43,0.574,9,15,79
2018-11,36,19~93,优,21,34,0.63,9,17,53
2018-12,53,23~102,良,34,45,0.832,9,24,48
2019-01,65,32~150,良,43,57,0.91,9,29,56
2019-02,41,22~109,优,23,33,0.811,9,18,52
2019-03,52,28~94,良,30,47,0.594,8,19,88
2019-04,49,28~77,优,22,39,0.52,7,17,93
2019-05,56,39~71,良,23,44,0.448,9,16,104
2019-06,48,25~87,优,14,28,0.45,14,14,92
2019-07,43,34~66,优,10,22,0.458,13,11,84
2019-08,53,33~85,良,15,29,0.365,11,11,99
2019-09,87,31~147,良,21,38,0.45,9,16,141
2019-10,65,30~90,良,25,47,0.6,6,20,110
2019-11,58,23~100,良,26,48,0.597,6,19,103
2019-12,51,25~82,良,34,48,0.761,6,22,75
2020-01,50,28~105,优,28,35,0.79,6,19,67
2020-02,43,20~60,优,21,31,0.493,6,12,79
2020-03,52,27~86,良,25,41,0.542,6,16,92
2020-04,79,41~100,良,26,45,0.447,7,20,133
2020-05,62,39~101,良,17,32,0.468,9,16,111
2020-06,40,27~60,优,7,16,0.39,6,13,78
2020-07,39,19~55,优,7,18,0.484,5,9,78
2020-08,48,32~71,优,11,24,0.535,5,9,93
2020-09,59,27~98,良,15,29,0.59,5,13,108
2020-10,56,37~89,良,21,39,0.445,5,18,104
2020-11,50,32~76,优,24,42,0.52,6,25,79
2020-12,60,37~100,良,42,57,0.739,6,25,75
2021-01,62,40~124,良,37,60,0.732,7,25,81
2021-02,48,29~79,优,25,38,0.611,5,13,86
2021-03,43,24~74,优,20,35,0.655,5,18,78
2021-04,51,23~88,良,19,34,0.553,5,15,94
2021-05,51,21~99,良,15,30,0.484,6,8,95
2021-06,49,25~85,优,11,22,0.42,6,7,92
2021-07,34,14~50,优,8,17,0.323,5,5,68
2021-08,42,26~71,优,9,18,0.355,6,6,82
2021-09,57,31~99,良,15,26,0.41,8,8,106
2021-10,48,25~76,优,18,29,0.445,9,11,90
2021-11,43,19~59,优,24,39,0.55,7,14,75
2021-12,50,21~93,优,34,49,0.661,6,19,73
2022-01,58,22~110,良,40,52,0.639,6,19,59
2022-02,39,18~77,优,22,32,0.418,7,12,70
2022-03,50,26~80,良,22,38,0.471,8,11,92
2022-04,60,36~90,良,21,38,0.497,7,8,109
2022-05,62,23~92,良,19,32,0.468,5,7,110
2022-06,45,22~100,优,7,21,0.413,7,5,85
2022-07,41,26~60,优,8,22,0.403,6,4,81
2022-08,47,32~79,优,9,23,0.4,6,6,91
2022-09,78,31~114,良,15,34,0.287,7,10,132
2022-10,53,18~100,良,16,30,0.274,7,13,97
