month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,96,96~96,良,54,143,1.2,33,35,58
2015-01,143,42~275,轻度污染,109,173,1.971,41,60,42
2015-02,121,31~224,轻度污染,91,136,1.832,30,42,61
2015-03,86,42~136,良,63,101,1.603,21,38,63
2015-04,84,45~130,良,61,96,1.477,25,40,96
2015-05,109,59~179,轻度污染,80,114,1.568,29,29,116
2015-06,73,42~119,良,51,78,1.29,23,25,97
2015-07,72,43~136,良,49,72,1.181,12,19,96
2015-08,76,35~122,良,51,78,1.397,10,16,117
2015-09,84,44~117,良,55,84,1.46,13,23,127
2015-10,93,44~153,良,68,101,1.59,12,33,103
2015-11,69,36~94,良,48,71,1.873,11,27,37
2015-12,116,46~238,轻度污染,86,120,1.832,23,36,32
2016-01,112,58~270,轻度污染,83,120,2.219,25,37,34
2016-02,94,49~246,良,68,105,1.828,28,30,76
2016-03,104,35~236,轻度污染,77,114,2.168,25,37,85
2016-04,74,53~114,良,48,76,1.64,16,31,95
2016-05,85,51~139,良,60,95,1.429,18,29,105
2016-06,73,42~116,良,45,77,1.703,11,25,103
2016-07,65,31~134,良,34,61,1.132,10,20,99
2016-08,82,50~130,良,43,73,0.984,16,22,131
2016-09,89,29~151,良,48,78,1.047,18,23,135
2016-10,60,26~122,良,41,63,1.1,11,29,51
2016-11,77,32~115,良,56,91,1.163,19,41,46
2016-12,105,52~162,轻度污染,79,118,1.265,19,48,49
2017-01,114,44~230,轻度污染,86,126,1.377,22,42,48
2017-02,94,58~211,良,70,105,1.221,27,39,67
2017-03,83,35~230,良,59,94,1.242,20,39,76
2017-04,74,32~125,良,49,85,1.153,22,39,96
2017-05,93,37~155,良,49,81,1.161,17,35,128
2017-06,72,33~125,良,42,64,1.18,15,29,111
2017-07,66,30~128,良,36,59,1.019,15,25,103
2017-08,56,29~83,良,32,52,1.116,13,24,98
2017-09,70,36~130,良,41,63,1.173,12,29,104
2017-10,59,22~133,良,41,64,1.139,11,32,79
2017-11,97,50~158,良,72,108,1.447,17,51,69
2017-12,113,49~210,轻度污染,84,124,1.329,21,57,28
2018-01,93,34~168,良,69,94,1.294,11,40,42
2018-02,86,0~158,良,62,93,1.239,16,37,57
2018-03,64,34~122,良,43,71,1.239,15,39,77
2018-04,66,0~120,良,40,77,1.183,17,36,103
2018-05,55,0~110,良,30,51,0.923,13,28,102
2018-06,73,33~139,良,28,49,0.893,13,25,122
2018-07,61,28~100,良,21,39,0.858,13,22,108
2018-08,76,36~134,良,25,43,0.861,11,22,129
2018-09,74,35~124,良,30,52,0.967,14,26,125
2018-10,79,46~143,良,40,65,0.971,14,36,117
2018-11,65,33~118,良,44,66,1.18,12,39,66
2018-12,77,27~166,良,53,82,1.097,11,42,33
2019-01,101,45~179,轻度污染,74,119,1.335,12,45,40
2019-02,79,35~201,良,56,84,1.186,9,29,42
2019-03,68,46~94,良,43,81,1.106,12,37,93
2019-04,67,32~93,良,37,66,1.257,16,33,103
2019-05,84,43~134,良,35,77,1.113,16,31,128
2019-06,84,33~146,良,24,48,0.943,13,23,136
2019-07,65,38~120,良,21,42,0.939,13,20,116
2019-08,92,35~142,良,23,46,0.974,14,21,149
2019-09,98,55~136,良,34,63,0.95,15,27,154
2019-10,69,43~130,良,34,66,0.981,14,32,96
2019-11,71,27~113,良,45,89,1.003,17,42,78
2019-12,81,48~127,良,57,98,1.126,18,54,47
2020-01,71,28~117,良,49,71,1.142,11,33,47
2020-02,54,30~82,良,33,48,1.438,13,21,72
2020-03,56,26~92,良,33,59,1.3,16,21,88
2020-04,76,42~121,良,36,73,0.997,19,31,123
2020-05,80,43~147,良,33,69,1.074,17,28,131
2020-06,54,30~107,良,18,35,1.03,13,21,97
2020-07,54,33~100,良,21,35,0.903,9,21,98
2020-08,69,31~122,良,20,42,0.865,14,22,119
2020-09,75,32~140,良,31,57,0.937,14,28,121
2020-10,66,29~98,良,36,71,1.039,17,36,95
2020-11,63,30~89,良,37,72,0.92,15,39,75
2020-12,97,45~190,良,71,117,1.052,20,57,47
2021-01,92,46~160,良,59,117,1.177,15,51,51
2021-02,64,32~100,良,43,70,0.893,12,32,77
2021-03,56,27~99,良,30,56,1.071,13,34,72
2021-04,62,37~102,良,32,62,1.097,15,33,91
2021-05,68,33~110,良,28,63,1.058,15,26,109
2021-06,79,38~136,良,22,46,0.967,16,22,131
2021-07,56,27~129,良,15,36,0.829,13,16,101
2021-08,66,31~135,良,18,37,0.984,12,16,115
2021-09,92,38~167,良,23,46,1.037,13,20,149
2021-10,61,28~112,良,29,53,0.987,12,31,103
2021-11,67,30~133,良,40,79,1.517,16,37,87
2021-12,80,42~133,良,57,98,1.497,17,44,71
2022-01,83,32~170,良,60,91,0.948,12,34,63
2022-02,69,32~153,良,50,65,0.918,9,25,78
2022-03,65,23~143,良,31,65,0.952,12,29,94
2022-04,73,36~126,良,26,55,0.857,12,23,124
2022-05,85,45~129,良,33,64,0.826,11,22,134
2022-06,69,26~152,良,14,43,0.723,10,16,115
2022-07,66,24~155,良,11,40,0.674,9,14,115
2022-08,78,34~147,良,13,41,0.619,8,14,129
2022-09,104,48~155,轻度污染,25,58,0.6,10,20,161
2022-10,71,19~128,良,28,55,0.574,9,23,114
2022-11,58,22~110,良,30,56,0.793,9,26,77
2022-12,89,34~179,良,63,94,0.897,12,38,55
2023-01,99,26~249,良,73,103,1.048,13,29,78
2023-02,82,27~212,良,60,77,0.943,11,30,62
2023-03,77,26~123,良,46,90,0.897,12,31,98
2023-04,76,24~129,良,29,75,0.753,9,17,119
2023-05,70,32~108,良,26,57,0.681,8,15,116
2023-06,80,37~145,良,19,45,0.6,8,14,133
2023-07,51,27~95,良,13,41,0.552,8,12,94
2023-08,89,37~145,良,18,47,0.645,7,12,144
2023-09,66,26~124,良,17,41,0.64,8,14,113
2023-10,85,32~150,良,44,74,0.79,9,24,127
2023-11,66,28~95,良,40,75,0.84,9,33,78
2023-12,79,25~255,良,57,81,0.874,10,37,36
2024-01,93,36~200,良,68,88,0.935,10,39,67
2024-02,76,19~222,良,54,66,0.9,9,20,74
2024-03,70,38~100,良,38,69,0.748,11,26,108
2024-04,70,40~109,良,28,59,0.787,12,17,116
2024-05,90,33~135,良,25,54,0.703,12,16,145
2024-06,69,22~117,良,13,36,0.613,9,12,117
2024-07,53,25~113,良,10,35,0.484,11,12,97
2024-08,80,36~127,良,17,48,0.535,10,13,135
2024-09,88,39~141,良,19,46,0.637,10,12,143
2024-10,74,33~132,良,32,53,0.723,10,19,118
2024-11,62,32~100,良,33,56,0.713,11,25,98
2024-12,83,51~158,良,59,81,0.9,12,36,70
2025-01,97,34~219,良,70,99,0.929,13,34,90
2025-02,71,42~112,良,49,70,0.875,10,21,83
2025-03,71,24~122,良,37,63,0.781,10,24,102
2025-04,104,71~132,轻度污染,45,86,0.778,13,30,163
