month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,75,75~75,良,55,94,0.7,35,43,87
2015-01,73,13~124,良,53,77,0.971,28,35,57
2015-02,49,18~120,优,32,45,0.854,19,26,62
2015-03,44,20~72,优,27,42,0.79,12,25,61
2015-04,57,34~100,良,31,45,0.657,10,25,95
2015-05,49,34~79,优,29,42,0.665,7,23,86
2015-06,36,21~47,优,17,28,0.61,8,17,68
2015-07,46,20~75,优,25,38,0.59,8,23,85
2015-08,43,21~102,优,25,37,0.477,11,24,70
2015-09,48,23~88,优,31,45,0.63,9,23,70
2015-10,54,32~85,良,35,53,0.513,13,28,86
2015-11,39,21~69,优,24,36,0.66,13,20,45
2015-12,56,28~94,良,36,55,0.584,14,27,45
2016-01,57,23~119,良,38,55,0.71,13,23,42
2016-02,70,28~252,良,49,70,0.576,17,25,79
2016-03,63,29~92,良,43,62,0.594,10,29,79
2016-04,45,28~79,优,27,42,0.57,8,23,73
2016-05,46,24~74,优,24,40,0.584,6,23,74
2016-06,39,26~63,优,17,30,0.623,8,18,70
2016-07,34,20~50,优,14,26,0.571,6,15,63
2016-08,46,23~84,优,23,40,0.794,9,21,82
2016-09,63,27~142,良,33,53,0.737,10,25,108
2016-10,50,17~89,良,29,47,0.658,7,23,64
2016-11,41,18~55,优,25,40,0.833,8,25,32
2016-12,77,30~169,良,55,78,1.055,15,37,33
2017-01,80,30~170,良,58,75,1.219,12,29,35
2017-02,54,30~107,良,38,52,1.079,15,29,43
2017-03,45,25~82,优,27,40,0.884,8,30,39
2017-04,41,22~73,优,24,39,0.75,6,23,60
2017-05,40,22~72,优,21,35,0.652,4,25,64
2017-06,34,18~59,优,18,27,0.723,4,23,56
2017-07,39,19~83,优,17,27,0.784,4,15,75
2017-08,36,19~79,优,16,25,0.797,5,15,69
2017-09,38,21~68,优,23,37,0.833,8,18,57
2017-10,50,21~98,优,32,46,0.774,11,20,60
2017-11,63,31~128,良,45,67,0.8,11,32,59
2017-12,75,37~138,良,54,77,0.965,16,42,40
2018-01,52,22~108,良,36,49,0.945,14,26,40
2018-02,65,29~107,良,45,66,0.775,12,25,77
2018-03,54,21~97,良,32,46,0.69,10,26,77
2018-04,54,26~90,良,28,49,0.473,6,18,96
2018-05,43,29~55,优,19,29,0.539,6,14,82
2018-06,38,22~65,优,16,25,0.697,7,19,71
2018-07,35,23~57,优,14,23,0.687,7,14,69
2018-08,41,20~86,优,16,27,0.748,9,18,79
2018-09,39,19~64,优,18,26,0.693,15,16,71
2018-10,46,23~82,优,25,39,0.758,24,23,76
2018-11,42,20~84,优,26,37,0.807,17,26,55
2018-12,48,20~95,优,30,43,0.894,24,22,45
2019-01,58,25~185,良,39,50,1.035,26,24,52
2019-02,37,18~83,优,22,30,0.714,12,13,57
2019-03,49,25~107,优,30,44,0.661,22,26,73
2019-04,42,23~62,优,24,35,0.697,18,22,72
2019-05,43,29~65,优,22,34,0.661,18,21,72
2019-06,37,24~57,优,16,24,0.463,17,18,67
2019-07,35,21~70,优,13,22,0.361,8,17,63
2019-08,46,28~74,优,21,33,0.435,12,22,88
2019-09,54,23~90,良,29,41,0.553,20,25,92
2019-10,46,23~82,优,25,33,0.623,26,23,65
2019-11,51,20~102,良,32,46,0.58,21,26,60
2019-12,54,25~129,良,36,48,0.661,18,31,58
2020-01,42,21~85,优,28,32,0.723,13,17,50
2020-02,50,28~92,良,33,38,0.521,8,11,66
2020-03,46,22~69,优,30,38,0.545,20,17,71
2020-04,54,29~82,良,28,39,0.697,23,21,92
2020-05,49,31~75,优,24,35,0.603,15,19,89
2020-06,36,23~55,优,14,20,0.427,12,16,68
2020-07,37,18~52,优,13,19,0.455,11,12,72
2020-08,36,20~70,优,12,19,0.542,8,14,70
2020-09,40,23~69,优,16,24,0.767,30,19,66
2020-10,47,22~89,优,26,40,0.681,27,23,73
2020-11,45,23~79,优,24,38,0.74,23,27,66
2020-12,60,27~134,良,41,53,0.816,30,30,54
2021-01,63,34~117,良,45,61,0.913,30,32,65
2021-02,52,25~189,良,35,43,0.725,13,17,63
2021-03,51,22~125,良,25,35,0.765,7,19,68
2021-04,33,20~60,优,14,21,0.567,4,18,63
2021-05,41,24~70,优,16,25,0.506,4,16,79
2021-06,39,22~77,优,15,24,0.523,5,16,73
2021-07,39,20~67,优,14,20,0.4,4,12,77
2021-08,38,19~74,优,14,20,0.435,4,11,73
2021-09,38,21~66,优,15,21,0.45,5,14,75
2021-10,39,20~67,优,18,25,0.516,4,14,73
2021-11,40,18~72,优,25,35,0.573,6,20,57
2021-12,54,25~94,良,37,49,0.748,6,25,62
2022-01,38,20~77,优,25,30,0.852,4,19,42
2022-02,42,21~94,优,25,28,0.686,4,15,67
2022-03,47,19~78,优,27,37,0.458,3,16,77
2022-04,51,24~94,良,21,30,0.427,3,16,96
2022-05,37,20~67,优,14,21,0.445,2,16,70
2022-06,36,24~63,优,13,20,0.36,2,12,71
2022-07,36,23~67,优,9,14,0.287,3,8,72
2022-08,35,25~55,优,11,15,0.374,2,8,71
2022-09,61,39~97,良,27,39,0.593,3,16,109
2022-10,54,20~113,良,20,29,0.416,3,16,93
2022-11,42,19~80,优,22,32,0.457,3,18,73
2022-12,55,19~87,良,38,55,0.481,6,24,72
2023-01,60,29~98,良,40,58,0.671,6,18,82
2023-02,46,20~92,优,30,38,0.65,4,19,71
2023-03,49,19~89,优,28,41,0.5,3,18,80
2023-04,54,22~83,良,24,40,0.503,2,13,97
2023-05,50,30~70,良,19,29,0.461,2,13,96
2023-06,45,28~69,优,17,23,0.38,4,11,85
2023-07,39,22~85,优,12,20,0.339,3,10,76
2023-08,42,24~79,优,11,16,0.51,3,13,83
2023-09,43,22~74,优,15,21,0.563,4,13,83
2023-10,41,26~60,优,17,25,0.639,5,14,80
2023-11,45,23~83,优,27,38,0.667,5,19,71
2023-12,46,18~104,优,31,44,0.616,6,22,35
2024-01,43,20~72,优,29,37,0.755,6,17,54
2024-02,46,18~166,优,26,33,0.569,6,9,75
2024-03,47,20~64,优,25,36,0.697,4,14,88
2024-04,49,24~79,优,23,31,0.473,2,11,90
2024-05,46,19~69,优,16,23,0.468,3,10,89
2024-06,35,15~64,优,9,14,0.443,3,9,68
2024-07,32,23~56,优,9,10,0.4,4,7,64
2024-08,37,15~70,优,13,18,0.465,3,10,73
2024-09,46,23~83,优,18,23,0.563,3,13,88
2024-10,49,20~74,优,20,27,0.519,5,15,89
2024-11,46,12~73,优,25,33,0.483,5,17,80
2024-12,61,20~92,良,42,54,0.655,5,20,70
2025-01,66,28~117,良,47,62,0.729,6,17,79
2025-02,38,24~61,优,22,27,0.625,3,10,62
2025-03,50,26~100,良,25,34,0.532,3,10,91
2025-04,66,50~83,良,40,58,0.567,4,16,91
