month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,54,54~54,良,28,56,0.9,132,44,105
2015-01,48,10~82,优,26,43,0.816,34,21,76
2015-02,44,17~81,优,20,27,0.907,19,16,81
2015-03,40,24~73,优,14,22,0.935,66,18,76
2015-04,58,24~110,良,14,34,0.473,49,16,94
2015-05,31,19~51,优,9,20,0.932,37,13,58
2015-06,30,18~59,优,9,21,0.45,17,8,55
2015-07,58,22~96,良,34,56,0.55,24,17,99
2015-08,54,22~95,良,33,59,0.707,16,15,83
2015-09,57,25~108,良,32,50,0.63,46,17,73
2015-10,54,34~78,良,25,42,0.468,37,19,92
2015-11,45,28~73,优,18,28,0.77,36,16,53
2015-12,66,43~107,良,36,48,0.55,64,19,51
2016-01,43,21~77,优,29,37,0.681,20,19,52
2016-02,59,32~82,良,37,48,0.771,16,18,86
2016-03,65,42~107,良,42,59,0.993,38,29,65
2016-04,53,35~71,良,28,50,1.522,19,30,37
2016-05,48,25~68,优,23,45,0.72,25,19,59
2016-06,45,29~119,优,14,29,0.253,12,10,83
2016-07,37,19~65,优,14,25,0.232,7,9,72
2016-08,51,26~104,良,22,36,0.216,18,15,92
2016-09,73,34~108,良,36,57,0.23,41,18,122
2016-10,58,24~108,良,34,56,0.465,31,14,80
2016-11,51,29~74,良,29,44,0.587,40,14,51
2016-12,73,52~109,良,47,76,0.877,57,27,54
2017-01,58,18~121,良,41,56,0.742,18,14,55
2017-02,48,18~103,优,32,43,0.554,16,14,69
2017-03,55,27~91,良,27,43,0.648,47,17,54
2017-04,48,29~64,优,25,48,0.51,16,11,83
2017-05,45,22~67,优,21,37,0.548,13,13,84
2017-06,36,18~108,优,13,25,0.58,15,10,57
2017-07,39,17~82,优,10,24,0.558,7,8,76
2017-08,37,19~70,优,7,24,0.632,10,7,72
2017-09,42,23~68,优,16,36,0.703,24,8,77
2017-10,54,30~93,良,22,38,0.787,34,15,81
2017-11,64,26~106,良,34,52,0.893,54,24,73
2017-12,68,38~122,良,42,60,0.868,54,27,43
2018-01,42,19~93,优,25,35,0.806,21,22,38
2018-02,50,0~84,良,33,49,0.686,11,16,69
2018-03,42,0~78,优,23,37,0.668,13,17,74
2018-04,46,0~72,优,21,40,0.61,16,13,80
2018-05,43,24~62,优,14,24,0.487,16,11,84
2018-06,43,23~82,优,13,22,0.453,17,13,81
2018-07,36,0~64,优,10,19,0.442,9,12,76
2018-08,41,0~97,优,15,26,0.574,15,9,83
2018-09,39,18~74,优,14,25,0.557,17,9,74
2018-10,45,0~83,优,25,39,0.552,32,14,74
2018-11,42,0~90,优,21,34,0.437,23,15,64
2018-12,38,0~73,优,21,34,0.548,27,15,42
2019-01,42,15~124,优,27,37,0.69,10,15,42
2019-02,34,13~137,优,17,29,0.425,5,8,46
2019-03,47,21~156,优,28,33,0.377,14,14,71
2019-04,42,21~73,优,18,32,0.377,10,11,74
2019-05,39,19~75,优,13,33,0.513,7,12,70
2019-06,38,18~73,优,10,21,0.24,7,16,70
2019-07,36,20~86,优,9,18,0.116,9,15,68
2019-08,53,23~84,良,15,28,0.41,8,13,97
2019-09,52,13~98,良,21,36,0.56,11,16,93
2019-10,41,20~99,优,16,26,0.574,13,16,73
2019-11,43,17~73,优,24,38,0.45,14,14,66
