month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,100,100~100,良,75,112,0.6,49,26,75
2015-01,59,21~89,良,41,58,1.271,16,19,54
2015-02,46,17~94,优,22,50,1.95,20,20,43
2015-03,42,20~69,优,16,44,0.839,18,19,67
2015-04,51,32~105,良,18,46,1.103,25,20,80
2015-05,38,24~57,优,16,36,0.881,21,12,50
2015-06,34,24~78,优,15,30,1.023,17,10,60
2015-07,49,27~75,优,23,50,0.939,33,17,71
2015-08,49,26~99,优,16,37,0.432,25,22,89
2015-09,38,24~63,优,16,32,0.357,21,18,71
2015-10,49,35~68,优,20,46,0.542,23,22,86
2015-11,40,25~70,优,16,39,0.623,25,18,66
2015-12,43,30~59,优,18,43,0.839,24,16,50
2016-01,42,27~74,优,21,43,1.071,25,19,51
2016-02,54,33~128,良,33,48,1.055,24,19,67
2016-03,45,28~77,优,26,44,0.913,22,13,73
2016-04,58,31~90,良,22,50,0.69,23,14,95
2016-05,54,22~92,良,19,47,0.523,16,11,96
2016-06,32,22~48,优,16,28,0.483,15,16,61
2016-07,33,21~49,优,15,24,0.616,11,17,66
2016-08,43,25~70,优,18,29,0.697,15,21,80
2016-09,47,26~72,优,25,46,0.95,12,18,80
2016-10,45,26~64,优,19,46,0.981,10,20,47
2016-11,48,26~67,优,16,49,1.303,14,22,48
2016-12,61,44~92,良,33,73,1.561,14,26,54
2017-01,50,32~83,良,20,43,1.765,8,19,44
2017-02,47,26~75,优,23,49,1.346,10,16,63
2017-03,47,25~88,优,20,50,1.181,15,19,69
2017-04,51,29~85,良,18,51,1.153,6,18,90
2017-05,52,26~93,良,15,40,0.765,6,16,97
2017-06,33,19~61,优,12,26,0.763,5,14,63
2017-07,28,17~47,优,11,26,0.652,7,15,46
2017-08,26,18~54,优,11,24,0.803,7,13,49
2017-09,30,18~58,优,12,27,0.933,8,14,51
2017-10,29,19~57,优,13,27,1,7,14,46
2017-11,43,22~70,优,20,47,1.117,8,20,50
2017-12,50,28~85,优,20,55,1.306,11,24,32
2018-01,37,23~55,优,15,36,1.126,8,15,39
2018-02,45,30~65,优,21,47,1.014,10,15,46
2018-03,39,22~54,优,15,37,0.845,5,14,65
2018-04,46,20~70,优,16,39,0.807,3,14,82
2018-05,40,21~58,优,10,28,0.674,3,12,78
2018-06,38,18~90,优,9,20,0.663,4,13,71
2018-07,33,21~59,优,8,17,0.639,4,10,65
2018-08,45,22~84,优,11,23,0.732,8,15,85
2018-09,31,20~55,优,11,22,0.77,6,12,62
2018-10,32,18~55,优,13,27,0.726,4,14,59
2018-11,34,20~61,优,12,29,0.75,6,20,60
2018-12,30,18~44,优,12,27,0.797,5,19,36
2019-01,35,18~68,优,23,34,0.781,4,13,43
2019-02,38,16~72,优,22,33,0.468,3,10,61
2019-03,50,17~77,良,30,45,0.235,5,14,82
2019-04,64,22~119,良,30,45,0.327,6,15,111
2019-05,46,16~95,优,18,31,0.429,7,11,85
2019-06,38,15~77,优,12,21,0.623,7,11,75
2019-07,30,14~63,优,8,15,0.487,4,12,58
2019-08,47,21~84,优,13,23,0.739,9,18,89
2019-09,46,18~95,优,18,29,0.49,5,17,85
2019-10,35,18~65,优,16,24,0.613,4,12,68
2019-11,35,16~49,优,21,30,0.633,4,14,59
2019-12,46,18~79,优,32,45,0.587,7,23,58
2020-01,37,18~59,优,22,30,0.658,5,11,63
2020-02,50,22~90,良,34,44,0.766,5,6,74
2020-03,55,20~100,良,30,43,0.694,6,13,96
2020-04,51,20~80,良,24,37,0.51,6,18,90
2020-05,57,34~84,良,15,28,0.539,7,14,104
2020-06,34,23~52,优,8,18,0.397,4,10,67
2020-07,30,14~75,优,8,17,0.287,4,11,59
2020-08,33,18~91,优,8,17,0.377,5,12,63
2020-09,30,15~70,优,10,20,0.573,4,14,58
2020-10,30,18~55,优,14,25,0.639,6,17,56
2020-11,41,19~59,优,21,33,0.597,7,21,71
2020-12,44,20~99,优,30,40,0.787,8,22,36
2021-01,57,25~105,良,40,53,0.826,9,25,62
2021-02,49,26~67,优,34,42,0.629,8,15,66
2021-03,59,20~100,良,38,54,0.71,9,17,95
2021-04,48,16~110,优,22,35,0.58,7,17,82
2021-05,47,31~76,优,14,23,0.361,8,14,89
2021-06,44,27~85,优,12,21,0.337,8,15,83
2021-07,37,18~67,优,9,18,0.468,7,16,73
2021-08,39,15~92,优,12,20,0.494,9,15,73
2021-09,37,21~64,优,11,18,0.51,8,13,73
2021-10,34,21~54,优,16,23,0.623,6,13,63
2021-11,36,20~57,优,21,30,0.68,7,15,61
2021-12,47,20~84,优,33,43,0.732,7,18,59
2022-01,35,22~67,优,23,30,0.8,5,12,47
2022-02,39,18~74,优,27,28,0.793,5,9,50
2022-03,57,22~102,良,25,35,0.594,4,12,100
2022-04,56,30~97,良,17,26,0.497,5,14,103
2022-05,39,22~72,优,8,14,0.432,4,11,76
2022-06,38,26~65,优,7,13,0.4,7,11,75
2022-07,37,21~78,优,7,13,0.3,6,10,71
2022-08,34,24~55,优,9,15,0.335,5,9,67
2022-09,43,19~82,优,18,26,0.35,7,14,81
2022-10,35,16~73,优,14,23,0.313,8,13,67
2022-11,45,28~64,优,26,37,0.347,7,15,76
2022-12,55,22~89,良,40,50,0.581,6,18,54
2023-01,65,35~127,良,46,58,0.574,8,19,64
2023-02,55,18~117,良,38,47,0.539,4,16,74
2023-03,56,32~102,良,32,43,0.465,3,13,96
2023-04,72,35~100,良,31,44,0.32,4,11,125
2023-05,56,20~87,良,17,27,0.303,4,12,103
2023-06,51,29~82,良,13,22,0.237,6,12,97
2023-07,40,26~86,优,9,18,0.255,4,9,77
2023-08,40,19~74,优,10,21,0.248,10,12,78
2023-09,42,26~79,优,13,22,0.19,7,11,81
2023-10,36,26~58,优,18,26,0.29,5,10,70
2023-11,42,16~69,优,27,38,0.317,6,14,71
2023-12,52,19~93,良,35,46,0.516,5,17,35
