month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,138,138~138,轻度污染,106,138,1.1,48,35,17
2014-01,80,31~208,良,57,81,1.126,51,31,26
2014-02,90,31~253,良,66,94,1.318,59,33,36
2014-03,60,37~104,良,38,67,0.852,34,24,62
2014-04,62,34~112,良,27,72,0.713,21,22,88
2014-05,46,31~80,优,15,44,0.823,10,14,78
2014-06,45,31~75,优,15,46,0.51,7,13,77
2014-07,68,23~190,良,42,65,0.642,10,15,82
2014-08,43,27~60,优,18,40,0.648,6,15,77
2014-09,38,18~63,优,14,33,0.65,11,17,66
2014-10,68,25~241,良,45,68,1.058,25,22,60
2014-11,95,27~253,良,69,94,1.157,47,25,46
2014-12,66,23~159,良,46,61,1.11,53,28,39
2015-01,72,29~181,良,51,71,1.168,55,31,46
2015-02,67,34~143,良,44,74,1.118,49,30,65
2015-03,64,35~151,良,41,69,0.939,35,24,86
2015-04,63,40~160,良,29,73,0.857,20,17,92
2015-05,50,33~108,优,14,34,0.568,10,17,94
2015-06,56,28~94,良,16,33,0.547,9,20,105
2015-07,54,32~88,良,18,41,0.665,10,20,99
2015-08,47,30~63,优,17,47,0.532,11,14,71
2015-09,45,26~69,优,17,47,0.51,5,19,57
2015-10,63,23~272,良,37,66,0.7,16,24,55
2015-11,112,46~312,轻度污染,84,106,0.863,42,35,42
2015-12,107,31~250,轻度污染,79,97,1.1,51,38,31
2016-01,62,39~132,良,43,57,0.868,50,27,41
2016-02,64,34~152,良,43,58,0.828,49,28,57
2016-03,68,33~180,良,43,74,0.684,32,26,80
2016-04,64,38~143,良,31,69,0.6,15,20,92
2016-05,64,31~191,良,24,77,0.445,9,16,97
2016-06,44,26~81,优,18,41,0.437,8,19,79
2016-07,50,31~75,良,22,50,0.539,4,19,84
2016-08,44,13~79,优,17,45,0.523,5,17,63
2016-09,44,16~72,优,20,46,0.537,5,19,45
2016-10,55,29~117,良,33,59,0.787,14,22,46
2016-11,85,42~225,良,62,77,1.227,36,32,39
2016-12,91,36~201,良,67,81,1.377,47,34,32
2017-01,117,32~304,轻度污染,89,95,1.587,52,35,42
2017-02,54,32~116,良,38,51,1,39,25,59
2017-03,60,33~117,良,42,60,0.929,30,26,72
2017-04,63,40~106,良,35,73,0.7,14,19,96
2017-05,87,39~459,良,20,74,0.565,9,17,112
2017-06,54,30~95,良,18,50,0.603,9,20,102
2017-07,61,38~111,良,19,48,0.674,9,18,110
2017-08,48,28~96,优,21,45,0.665,8,14,80
2017-09,45,33~62,优,17,44,0.583,5,15,69
2017-10,67,29~245,良,41,75,0.713,19,24,65
2017-11,81,35~383,良,58,87,0.79,31,25,53
2017-12,74,33~153,良,54,66,1.148,42,30,30
2018-01,71,32~186,良,51,63,0.832,33,22,52
2018-02,66,33~153,良,46,67,0.771,29,22,60
2018-03,60,0~143,良,41,59,0.719,20,21,90
2018-04,60,0~148,良,33,69,0.617,8,17,95
2018-05,60,29~90,良,21,53,0.448,5,13,106
2018-06,55,26~125,良,15,40,0.45,6,15,98
2018-07,47,20~104,优,17,33,0.474,6,12,86
2018-08,34,21~49,优,13,30,0.423,5,12,62
2018-09,40,20~90,优,13,34,0.497,6,13,67
2018-10,48,19~104,优,22,52,0.626,11,17,58
2018-11,46,0~64,优,23,48,0.557,17,18,47
2018-12,57,27~137,良,34,60,0.665,22,18,50
2019-01,63,34~189,良,39,69,0.758,28,20,50
2019-02,96,29~500,良,78,92,0.804,24,20,72
2019-03,66,37~142,良,38,73,0.606,20,20,80
2019-04,63,41~157,良,21,71,0.47,10,14,93
2019-05,58,28~160,良,16,58,0.445,6,13,93
2019-06,45,17~82,优,11,28,0.417,7,13,86
2019-07,47,26~71,优,13,31,0.452,7,13,91
2019-08,34,20~54,优,12,30,0.474,5,12,60
2019-09,38,26~58,优,12,36,0.497,6,15,67
2019-10,42,22~79,优,18,44,0.545,20,21,54
2019-11,35,18~127,优,23,32,0.46,23,18,34
2019-12,78,25~182,良,56,73,0.819,43,31,35
2020-01,110,39~231,轻度污染,82,106,1.071,45,34,55
2020-02,54,26~163,良,36,49,0.697,25,14,72
2020-03,59,34~175,良,36,58,0.729,21,15,89
2020-04,101,29~500,轻度污染,84,114,0.867,15,21,95
2020-05,49,31~99,优,15,45,0.452,5,10,91
2020-06,43,20~115,优,11,30,0.433,5,11,79
2020-07,63,37~101,良,19,42,0.571,5,12,113
2020-08,35,13~63,优,10,27,0.471,5,12,65
2020-09,36,17~60,优,12,35,0.51,5,15,54
2020-10,43,19~118,优,15,47,0.5,15,18,52
2020-11,41,24~73,优,17,44,0.523,19,18,43
2020-12,49,25~93,优,24,52,0.665,21,21,43
2021-01,51,28~110,良,31,55,0.735,31,22,50
2021-02,50,33~89,优,26,51,0.657,31,16,67
2021-03,60,38~135,良,26,58,0.606,24,17,83
2021-04,61,42~133,良,25,53,0.49,9,13,103
2021-05,60,35~132,良,12,34,0.465,5,12,106
2021-06,70,32~163,良,14,32,0.45,5,13,121
2021-07,46,30~70,优,13,28,0.426,5,10,91
2021-08,39,12~109,优,16,32,0.477,5,12,71
2021-09,35,22~55,优,10,29,0.487,5,13,66
2021-10,42,24~66,优,13,43,0.51,12,18,58
2021-11,46,26~95,优,23,48,0.583,24,21,47
2021-12,47,28~113,优,27,50,0.642,26,21,45
2022-01,74,29~201,良,53,74,0.752,35,26,49
2022-02,48,33~94,优,31,42,0.518,27,18,70
2022-03,44,33~67,优,20,39,0.51,19,16,81
2022-04,60,38~128,良,34,63,0.617,10,15,93
2022-05,48,30~83,优,14,36,0.484,5,14,91
2022-06,52,34~82,良,11,29,0.447,5,15,99
2022-07,48,26~78,优,11,30,0.452,5,12,91
2022-08,34,21~70,优,7,25,0.394,5,10,66
2022-09,40,22~89,优,9,34,0.383,5,12,73
2022-10,43,20~87,优,18,46,0.49,6,19,54
2022-11,50,25~159,优,28,51,0.54,8,18,47
2022-12,37,27~90,优,20,34,0.545,10,17,53
2023-01,69,26~182,良,48,68,0.668,11,25,53
2023-02,56,32~138,良,34,51,0.543,9,22,74
2023-03,68,39~358,良,30,71,0.468,7,16,88
2023-04,71,38~195,良,30,89,0.4,6,15,96
2023-05,60,32~165,良,14,61,0.368,6,11,96
2023-06,63,35~119,良,10,27,0.367,6,13,113
2023-07,53,28~124,良,17,31,0.384,5,12,95
2023-08,34,21~55,优,8,21,0.332,5,9,67
2023-09,33,19~61,优,11,27,0.333,5,12,65
2023-10,42,23~97,优,17,41,0.413,6,18,60
2023-11,44,25~125,优,25,41,0.48,6,18,55
2023-12,44,21~119,优,26,44,0.561,8,22,30
2024-01,45,23~89,优,28,44,0.558,9,21,53
2024-02,59,33~135,良,34,61,0.555,10,17,69
2024-03,52,37~179,良,22,51,0.448,8,14,84
2024-04,66,36~177,良,30,75,0.437,7,14,99
2024-05,52,34~87,良,14,37,0.348,7,12,97
2024-06,54,22~108,良,12,27,0.327,7,13,99
2024-07,65,22~101,良,28,46,0.477,8,15,114
2024-08,39,25~56,优,10,23,0.381,6,11,78
2024-09,37,25~56,优,9,27,0.367,7,12,74
2024-10,44,26~99,优,20,43,0.394,8,16,64
2024-11,79,24~216,良,55,76,0.503,6,22,51
2024-12,41,26~120,优,24,38,0.552,7,21,54
2025-01,103,28~276,轻度污染,76,96,0.861,8,32,54
2025-02,46,35~127,优,24,38,0.493,8,17,74
2025-03,53,37~142,良,26,48,0.423,6,15,90
2025-04,66,55~97,良,44,75,0.511,5,18,103
